"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",7,20,0.35
"TP53","Frame_Shift_Del",3,20,0.15
"TP53","Nonsense_Mutation",3,20,0.15
"TP53","Splice_Site",3,20,0.15
"TP53","Frame_Shift_Ins",2,20,0.1
"TP53","In_Frame_Del",1,20,0.05
"TP53","Splice_Region",1,20,0.05
"CTNNB1","Missense_Mutation",10,14,0.714285714285714
"CTNNB1","In_Frame_Del",2,14,0.142857142857143
"CTNNB1","Frame_Shift_Del",1,14,0.0714285714285714
"CTNNB1","Nonsense_Mutation",1,14,0.0714285714285714
"MEN1","Nonsense_Mutation",3,7,0.428571428571429
"MEN1","Frame_Shift_Del",2,7,0.285714285714286
"MEN1","Frame_Shift_Ins",1,7,0.142857142857143
"MEN1","Splice_Site",1,7,0.142857142857143
"PRKAR1A","Frame_Shift_Del",2,5,0.4
"PRKAR1A","Nonsense_Mutation",2,5,0.4
"PRKAR1A","Splice_Site",1,5,0.2
"ZNRF3","Frame_Shift_Del",2,5,0.4
"ZNRF3","Missense_Mutation",1,5,0.2
"ZNRF3","Nonsense_Mutation",1,5,0.2
"ZNRF3","Splice_Site",1,5,0.2
