"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",65,104,0.625
"TP53","Nonsense_Mutation",15,104,0.144230769230769
"TP53","Frame_Shift_Del",8,104,0.0769230769230769
"TP53","Splice_Site",8,104,0.0769230769230769
"TP53","Frame_Shift_Ins",6,104,0.0576923076923077
"TP53","In_Frame_Del",1,104,0.00961538461538462
"TP53","Splice_Region",1,104,0.00961538461538462
"KRAS","Missense_Mutation",88,88,1
"APC","Nonsense_Mutation",20,49,0.408163265306122
"APC","Frame_Shift_Ins",16,49,0.326530612244898
"APC","Frame_Shift_Del",8,49,0.163265306122449
"APC","Missense_Mutation",5,49,0.102040816326531
"SMAD4","Missense_Mutation",19,31,0.612903225806452
"SMAD4","Nonsense_Mutation",8,31,0.258064516129032
"SMAD4","Splice_Site",2,31,0.0645161290322581
"SMAD4","Frame_Shift_Del",1,31,0.032258064516129
"SMAD4","Frame_Shift_Ins",1,31,0.032258064516129
"ARID1A","Frame_Shift_Del",10,22,0.454545454545455
"ARID1A","Missense_Mutation",5,22,0.227272727272727
"ARID1A","Nonsense_Mutation",5,22,0.227272727272727
"ARID1A","Frame_Shift_Ins",2,22,0.0909090909090909
"PIK3CA","Missense_Mutation",22,22,1
"RNF43","Frame_Shift_Del",14,22,0.636363636363636
"RNF43","Missense_Mutation",4,22,0.181818181818182
"RNF43","Frame_Shift_Ins",1,22,0.0454545454545455
"RNF43","Nonsense_Mutation",1,22,0.0454545454545455
"RNF43","Splice_Region",1,22,0.0454545454545455
"RNF43","Splice_Site",1,22,0.0454545454545455
"CDKN2A","Nonsense_Mutation",9,20,0.45
"CDKN2A","Frame_Shift_Del",4,20,0.2
"CDKN2A","Missense_Mutation",2,20,0.1
"CDKN2A","Splice_Site",2,20,0.1
"CDKN2A","Frame_Shift_Ins",1,20,0.05
"CDKN2A","In_Frame_Del",1,20,0.05
"CDKN2A","Splice_Region",1,20,0.05
"KMT2D","Missense_Mutation",11,19,0.578947368421053
"KMT2D","Frame_Shift_Del",7,19,0.368421052631579
"KMT2D","Nonsense_Mutation",1,19,0.0526315789473684
"KMT2C","Frame_Shift_Del",7,17,0.411764705882353
"KMT2C","Missense_Mutation",3,17,0.176470588235294
"KMT2C","Nonsense_Mutation",3,17,0.176470588235294
"KMT2C","Splice_Region",3,17,0.176470588235294
"KMT2C","Frame_Shift_Ins",1,17,0.0588235294117647
"CTNNB1","Missense_Mutation",16,16,1
"NF1","Missense_Mutation",11,16,0.6875
"NF1","Frame_Shift_Del",3,16,0.1875
"NF1","Frame_Shift_Ins",1,16,0.0625
"NF1","Splice_Site",1,16,0.0625
"FBXW7","Missense_Mutation",9,12,0.75
"FBXW7","Nonsense_Mutation",2,12,0.166666666666667
"FBXW7","Frame_Shift_Del",1,12,0.0833333333333333
"PBRM1","Frame_Shift_Ins",3,12,0.25
"PBRM1","Nonsense_Mutation",3,12,0.25
"PBRM1","Splice_Region",3,12,0.25
"PBRM1","Frame_Shift_Del",1,12,0.0833333333333333
"PBRM1","Missense_Mutation",1,12,0.0833333333333333
"PBRM1","Splice_Site",1,12,0.0833333333333333
"NOTCH1","Missense_Mutation",10,10,1
"BRCA2","Missense_Mutation",4,8,0.5
"BRCA2","Frame_Shift_Del",2,8,0.25
"BRCA2","Frame_Shift_Ins",2,8,0.25
"PTEN","Missense_Mutation",3,8,0.375
"PTEN","Nonsense_Mutation",2,8,0.25
"PTEN","Frame_Shift_Del",1,8,0.125
"PTEN","Splice_Site",1,8,0.125
"PTEN","Translation_Start_Site",1,8,0.125
"ERBB2","Missense_Mutation",7,7,1
"BRCA1","Missense_Mutation",4,6,0.666666666666667
"BRCA1","Frame_Shift_Del",1,6,0.166666666666667
"BRCA1","Frame_Shift_Ins",1,6,0.166666666666667
"GNAS","Missense_Mutation",6,6,1
"MTOR","Missense_Mutation",6,6,1
"SF3B1","Missense_Mutation",6,6,1
"ALK","Missense_Mutation",4,5,0.8
"ALK","Splice_Site",1,5,0.2
"BRAF","Missense_Mutation",4,5,0.8
"BRAF","Frame_Shift_Del",1,5,0.2
"CDH1","Missense_Mutation",3,4,0.75
"CDH1","Frame_Shift_Ins",1,4,0.25
"ESR1","Missense_Mutation",4,4,1
"KDM6A","Frame_Shift_Del",3,4,0.75
"KDM6A","Frame_Shift_Ins",1,4,0.25
"MAP3K1","Missense_Mutation",2,4,0.5
"MAP3K1","Nonsense_Mutation",2,4,0.5
"SETD2","Missense_Mutation",3,4,0.75
"SETD2","Nonsense_Mutation",1,4,0.25
"STAG2","Missense_Mutation",4,4,1
"STK11","Missense_Mutation",2,4,0.5
"STK11","Frame_Shift_Del",1,4,0.25
"STK11","In_Frame_Del",1,4,0.25
"DNMT3A","Missense_Mutation",3,3,1
"MEN1","Frame_Shift_Del",1,3,0.333333333333333
"MEN1","Frame_Shift_Ins",1,3,0.333333333333333
"MEN1","Missense_Mutation",1,3,0.333333333333333
"RB1","Splice_Site",2,3,0.666666666666667
"RB1","Nonsense_Mutation",1,3,0.333333333333333
"TET2","Frame_Shift_Del",1,3,0.333333333333333
"TET2","Missense_Mutation",1,3,0.333333333333333
"TET2","Nonsense_Mutation",1,3,0.333333333333333
"JAK2","Frame_Shift_Ins",1,2,0.5
"JAK2","Nonsense_Mutation",1,2,0.5
"KEAP1","Missense_Mutation",1,2,0.5
"KEAP1","Nonsense_Mutation",1,2,0.5
"NRAS","Missense_Mutation",2,2,1
"VHL","Missense_Mutation",2,2,1
"ZNRF3","Frame_Shift_Del",1,2,0.5
"ZNRF3","Nonsense_Mutation",1,2,0.5
"ATRX","Missense_Mutation",1,1,1
"CD79B","Splice_Region",1,1,1
"EGFR","Missense_Mutation",1,1,1
"EZH2","Missense_Mutation",1,1,1
"FGFR3","Splice_Region",1,1,1
"GATA3","Missense_Mutation",1,1,1
"HRAS","Missense_Mutation",1,1,1
"IDH1","Missense_Mutation",1,1,1
"PIM1","Missense_Mutation",1,1,1
"WT1","Missense_Mutation",1,1,1
