"gene","mutationType","mutation_records","total_records","fraction"
"PTCH1","Nonsense_Mutation",117,337,0.347181008902077
"PTCH1","Missense_Mutation",114,337,0.338278931750742
"PTCH1","Splice_Site",46,337,0.136498516320475
"PTCH1","Frame_Shift_Del",34,337,0.100890207715134
"PTCH1","Frame_Shift_Ins",14,337,0.0415430267062315
"PTCH1","Splice_Region",9,337,0.0267062314540059
"PTCH1","In_Frame_Del",2,337,0.00593471810089021
"PTCH1","In_Frame_Ins",1,337,0.0029673590504451
"TP53","Missense_Mutation",183,286,0.63986013986014
"TP53","Nonsense_Mutation",79,286,0.276223776223776
"TP53","Splice_Site",15,286,0.0524475524475524
"TP53","Splice_Region",5,286,0.0174825174825175
"TP53","Frame_Shift_Del",4,286,0.013986013986014
"NOTCH1","Missense_Mutation",99,125,0.792
"NOTCH1","Nonsense_Mutation",14,125,0.112
"NOTCH1","Splice_Site",5,125,0.04
"NOTCH1","Frame_Shift_Del",3,125,0.024
"NOTCH1","Splice_Region",3,125,0.024
"NOTCH1","In_Frame_Del",1,125,0.008
"ARID1A","Missense_Mutation",75,114,0.657894736842105
"ARID1A","Nonsense_Mutation",32,114,0.280701754385965
"ARID1A","Splice_Region",3,114,0.0263157894736842
"ARID1A","Frame_Shift_Ins",2,114,0.0175438596491228
"ARID1A","In_Frame_Del",1,114,0.0087719298245614
"ARID1A","Splice_Site",1,114,0.0087719298245614
"KMT2D","Missense_Mutation",92,109,0.844036697247706
"KMT2D","Nonsense_Mutation",14,109,0.128440366972477
"KMT2D","Frame_Shift_Ins",2,109,0.018348623853211
"KMT2D","Frame_Shift_Del",1,109,0.00917431192660551
"ATRX","Missense_Mutation",75,89,0.842696629213483
"ATRX","Splice_Region",8,89,0.0898876404494382
"ATRX","Nonsense_Mutation",3,89,0.0337078651685393
"ATRX","Splice_Site",2,89,0.0224719101123595
"ATRX","In_Frame_Del",1,89,0.0112359550561798
"NF1","Missense_Mutation",60,88,0.681818181818182
"NF1","Splice_Region",19,88,0.215909090909091
"NF1","Nonsense_Mutation",8,88,0.0909090909090909
"NF1","Splice_Site",1,88,0.0113636363636364
"CREBBP","Missense_Mutation",65,87,0.747126436781609
"CREBBP","Nonsense_Mutation",14,87,0.160919540229885
"CREBBP","Splice_Region",3,87,0.0344827586206897
"CREBBP","Frame_Shift_Del",2,87,0.0229885057471264
"CREBBP","In_Frame_Del",2,87,0.0229885057471264
"CREBBP","Splice_Site",1,87,0.0114942528735632
"KMT2C","Missense_Mutation",73,80,0.9125
"KMT2C","Nonsense_Mutation",7,80,0.0875
"ATM","Missense_Mutation",65,79,0.822784810126582
"ATM","Nonsense_Mutation",7,79,0.0886075949367089
"ATM","Splice_Region",7,79,0.0886075949367089
"BRCA2","Missense_Mutation",66,77,0.857142857142857
"BRCA2","Nonsense_Mutation",7,77,0.0909090909090909
"BRCA2","Splice_Region",3,77,0.038961038961039
"BRCA2","Frame_Shift_Del",1,77,0.012987012987013
"EP300","Missense_Mutation",69,76,0.907894736842105
"EP300","Nonsense_Mutation",5,76,0.0657894736842105
"EP300","Frame_Shift_Del",1,76,0.0131578947368421
"EP300","In_Frame_Del",1,76,0.0131578947368421
"FLT3","Missense_Mutation",66,76,0.868421052631579
"FLT3","Nonsense_Mutation",8,76,0.105263157894737
"FLT3","Splice_Region",2,76,0.0263157894736842
"APC","Missense_Mutation",69,75,0.92
"APC","Nonsense_Mutation",5,75,0.0666666666666667
"APC","Splice_Region",1,75,0.0133333333333333
"SMO","Missense_Mutation",70,72,0.972222222222222
"SMO","In_Frame_Del",1,72,0.0138888888888889
"SMO","In_Frame_Ins",1,72,0.0138888888888889
"KIT","Missense_Mutation",62,70,0.885714285714286
"KIT","Splice_Region",7,70,0.1
"KIT","Nonsense_Mutation",1,70,0.0142857142857143
"ALK","Missense_Mutation",51,58,0.879310344827586
"ALK","Nonsense_Mutation",3,58,0.0517241379310345
"ALK","Frame_Shift_Del",1,58,0.0172413793103448
"ALK","In_Frame_Del",1,58,0.0172413793103448
"ALK","Splice_Region",1,58,0.0172413793103448
"ALK","Splice_Site",1,58,0.0172413793103448
"AR","Missense_Mutation",42,57,0.736842105263158
"AR","Nonsense_Mutation",7,57,0.12280701754386
"AR","Splice_Region",4,57,0.0701754385964912
"AR","In_Frame_Ins",3,57,0.0526315789473684
"AR","In_Frame_Del",1,57,0.0175438596491228
"BRCA1","Missense_Mutation",49,54,0.907407407407407
"BRCA1","Nonsense_Mutation",2,54,0.037037037037037
"BRCA1","Splice_Region",2,54,0.037037037037037
"BRCA1","Frame_Shift_Del",1,54,0.0185185185185185
"SETD2","Missense_Mutation",50,54,0.925925925925926
"SETD2","Splice_Region",2,54,0.037037037037037
"SETD2","Nonsense_Mutation",1,54,0.0185185185185185
"SETD2","Splice_Site",1,54,0.0185185185185185
"FAT1","Missense_Mutation",36,51,0.705882352941177
"FAT1","Nonsense_Mutation",13,51,0.254901960784314
"FAT1","Frame_Shift_Del",2,51,0.0392156862745098
"GNAS","Missense_Mutation",44,50,0.88
"GNAS","Splice_Region",2,50,0.04
"GNAS","Splice_Site",2,50,0.04
"GNAS","In_Frame_Ins",1,50,0.02
"GNAS","Nonsense_Mutation",1,50,0.02
"KMT2A","Missense_Mutation",48,50,0.96
"KMT2A","Nonsense_Mutation",2,50,0.04
"TSC2","Missense_Mutation",34,47,0.723404255319149
"TSC2","Splice_Region",8,47,0.170212765957447
"TSC2","Nonsense_Mutation",4,47,0.0851063829787234
"TSC2","Splice_Site",1,47,0.0212765957446809
"ERBB2","Missense_Mutation",27,46,0.58695652173913
"ERBB2","Splice_Region",16,46,0.347826086956522
"ERBB2","Nonsense_Mutation",3,46,0.0652173913043478
"RET","Missense_Mutation",40,46,0.869565217391304
"RET","Splice_Region",3,46,0.0652173913043478
"RET","Nonsense_Mutation",2,46,0.0434782608695652
"RET","Splice_Site",1,46,0.0217391304347826
"MAP3K1","Missense_Mutation",34,40,0.85
"MAP3K1","Nonsense_Mutation",2,40,0.05
"MAP3K1","Splice_Region",2,40,0.05
"MAP3K1","Frame_Shift_Del",1,40,0.025
"MAP3K1","Splice_Site",1,40,0.025
"STAG2","Missense_Mutation",29,40,0.725
"STAG2","Splice_Region",8,40,0.2
"STAG2","Nonsense_Mutation",2,40,0.05
"STAG2","Splice_Site",1,40,0.025
"TET2","Missense_Mutation",31,39,0.794871794871795
