"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",200,298,0.671140939597315
"TP53","Nonsense_Mutation",51,298,0.171140939597315
"TP53","Frame_Shift_Del",20,298,0.0671140939597315
"TP53","Splice_Site",14,298,0.0469798657718121
"TP53","Frame_Shift_Ins",9,298,0.0302013422818792
"TP53","Splice_Region",3,298,0.0100671140939597
"TP53","In_Frame_Del",1,298,0.00335570469798658
"KMT2D","Missense_Mutation",82,201,0.407960199004975
"KMT2D","Nonsense_Mutation",68,201,0.338308457711443
"KMT2D","Frame_Shift_Del",26,201,0.129353233830846
"KMT2D","Splice_Site",12,201,0.0597014925373134
"KMT2D","Frame_Shift_Ins",11,201,0.054726368159204
"KMT2D","In_Frame_Del",2,201,0.00995024875621891
"ARID1A","Nonsense_Mutation",65,163,0.398773006134969
"ARID1A","Missense_Mutation",45,163,0.276073619631902
"ARID1A","Frame_Shift_Del",29,163,0.177914110429448
"ARID1A","Frame_Shift_Ins",12,163,0.0736196319018405
"ARID1A","Splice_Site",9,163,0.0552147239263804
"ARID1A","In_Frame_Del",2,163,0.0122699386503067
"ARID1A","Splice_Region",1,163,0.00613496932515337
"KDM6A","Nonsense_Mutation",44,136,0.323529411764706
"KDM6A","Missense_Mutation",33,136,0.242647058823529
"KDM6A","Frame_Shift_Del",23,136,0.169117647058824
"KDM6A","Frame_Shift_Ins",20,136,0.147058823529412
"KDM6A","Splice_Site",15,136,0.110294117647059
"KDM6A","Splice_Region",1,136,0.00735294117647059
"RB1","Nonsense_Mutation",44,120,0.366666666666667
"RB1","Splice_Site",24,120,0.2
"RB1","Missense_Mutation",23,120,0.191666666666667
"RB1","Frame_Shift_Del",15,120,0.125
"RB1","Frame_Shift_Ins",11,120,0.0916666666666667
"RB1","Splice_Region",2,120,0.0166666666666667
"RB1","In_Frame_Del",1,120,0.00833333333333333
"KMT2C","Missense_Mutation",77,119,0.647058823529412
"KMT2C","Nonsense_Mutation",22,119,0.184873949579832
"KMT2C","Frame_Shift_Del",12,119,0.100840336134454
"KMT2C","Frame_Shift_Ins",3,119,0.0252100840336134
"KMT2C","Splice_Site",3,119,0.0252100840336134
"KMT2C","Splice_Region",2,119,0.0168067226890756
"PIK3CA","Missense_Mutation",109,112,0.973214285714286
"PIK3CA","In_Frame_Del",1,112,0.00892857142857143
"PIK3CA","Nonsense_Mutation",1,112,0.00892857142857143
"PIK3CA","Splice_Region",1,112,0.00892857142857143
"TERT","5'Flank",99,110,0.9
"TERT","Missense_Mutation",9,110,0.0818181818181818
"TERT","Nonsense_Mutation",1,110,0.00909090909090909
"TERT","Splice_Site",1,110,0.00909090909090909
"ERBB2","Missense_Mutation",79,86,0.918604651162791
"ERBB2","Splice_Site",5,86,0.0581395348837209
"ERBB2","In_Frame_Ins",1,86,0.0116279069767442
"ERBB2","Splice_Region",1,86,0.0116279069767442
"EP300","Missense_Mutation",44,82,0.536585365853659
"EP300","Nonsense_Mutation",22,82,0.268292682926829
"EP300","Frame_Shift_Del",6,82,0.0731707317073171
"EP300","Splice_Site",5,82,0.0609756097560976
"EP300","Frame_Shift_Ins",4,82,0.0487804878048781
"EP300","In_Frame_Del",1,82,0.0121951219512195
"ATM","Missense_Mutation",51,76,0.671052631578947
"ATM","Nonsense_Mutation",13,76,0.171052631578947
"ATM","Splice_Site",6,76,0.0789473684210526
"ATM","Frame_Shift_Del",2,76,0.0263157894736842
"ATM","In_Frame_Del",2,76,0.0263157894736842
"ATM","Frame_Shift_Ins",1,76,0.0131578947368421
"ATM","Splice_Region",1,76,0.0131578947368421
"FAT1","Missense_Mutation",45,71,0.633802816901408
"FAT1","Nonsense_Mutation",14,71,0.197183098591549
"FAT1","Frame_Shift_Del",7,71,0.0985915492957746
"FAT1","Frame_Shift_Ins",4,71,0.0563380281690141
"FAT1","Splice_Site",1,71,0.0140845070422535
"KMT2A","Missense_Mutation",41,71,0.577464788732394
"KMT2A","Nonsense_Mutation",21,71,0.295774647887324
"KMT2A","Frame_Shift_Del",5,71,0.0704225352112676
"KMT2A","Splice_Site",4,71,0.0563380281690141
"FGFR3","Missense_Mutation",66,69,0.956521739130435
"FGFR3","Frame_Shift_Del",1,69,0.0144927536231884
"FGFR3","Nonsense_Mutation",1,69,0.0144927536231884
"FGFR3","Splice_Site",1,69,0.0144927536231884
"CREBBP","Missense_Mutation",31,64,0.484375
"CREBBP","Nonsense_Mutation",20,64,0.3125
"CREBBP","Frame_Shift_Del",5,64,0.078125
"CREBBP","Splice_Site",5,64,0.078125
"CREBBP","In_Frame_Del",2,64,0.03125
"CREBBP","Frame_Shift_Ins",1,64,0.015625
"APC","Missense_Mutation",43,60,0.716666666666667
"APC","Nonsense_Mutation",12,60,0.2
"APC","Frame_Shift_Del",3,60,0.05
"APC","In_Frame_Del",1,60,0.0166666666666667
"APC","Splice_Site",1,60,0.0166666666666667
"STAG2","Nonsense_Mutation",23,59,0.389830508474576
"STAG2","Missense_Mutation",16,59,0.271186440677966
"STAG2","Frame_Shift_Del",8,59,0.135593220338983
"STAG2","Splice_Site",6,59,0.101694915254237
"STAG2","Frame_Shift_Ins",5,59,0.0847457627118644
"STAG2","In_Frame_Del",1,59,0.0169491525423729
"BRCA2","Missense_Mutation",44,57,0.771929824561403
"BRCA2","Nonsense_Mutation",10,57,0.175438596491228
"BRCA2","Frame_Shift_Del",1,57,0.0175438596491228
"BRCA2","Frame_Shift_Ins",1,57,0.0175438596491228
"BRCA2","In_Frame_Del",1,57,0.0175438596491228
"FBXW7","Missense_Mutation",32,46,0.695652173913043
"FBXW7","Nonsense_Mutation",10,46,0.217391304347826
"FBXW7","Frame_Shift_Del",2,46,0.0434782608695652
"FBXW7","In_Frame_Del",1,46,0.0217391304347826
"FBXW7","In_Frame_Ins",1,46,0.0217391304347826
"NF1","Missense_Mutation",22,45,0.488888888888889
"NF1","Nonsense_Mutation",14,45,0.311111111111111
"NF1","Frame_Shift_Ins",3,45,0.0666666666666667
"NF1","Splice_Site",3,45,0.0666666666666667
"NF1","Frame_Shift_Del",2,45,0.0444444444444444
"NF1","Splice_Region",1,45,0.0222222222222222
"TSC1","Nonsense_Mutation",17,42,0.404761904761905
"TSC1","Missense_Mutation",12,42,0.285714285714286
"TSC1","Frame_Shift_Del",5,42,0.119047619047619
"TSC1","Splice_Site",4,42,0.0952380952380952
"TSC1","Frame_Shift_Ins",2,42,0.0476190476190476
"TSC1","In_Frame_Del",1,42,0.0238095238095238
"TSC1","Splice_Region",1,42,0.0238095238095238
"CDKN2A","Missense_Mutation",20,37,0.540540540540541
"CDKN2A","Frame_Shift_Del",7,37,0.189189189189189
"CDKN2A","Nonsense_Mutation",6,37,0.162162162162162
"CDKN2A","Frame_Shift_Ins",2,37,0.0540540540540541
"CDKN2A","In_Frame_Ins",1,37,0.027027027027027
"CDKN2A","Splice_Site",1,37,0.027027027027027
"BRCA1","Missense_Mutation",28,36,0.777777777777778
"BRCA1","Nonsense_Mutation",7,36,0.194444444444444
"BRCA1","Frame_Shift_Del",1,36,0.0277777777777778
"SETD2","Missense_Mutation",24,33,0.727272727272727
"SETD2","Nonsense_Mutation",7,33,0.212121212121212
"SETD2","Frame_Shift_Del",1,33,0.0303030303030303
"SETD2","Splice_Site",1,33,0.0303030303030303
"SF3B1","Missense_Mutation",29,30,0.966666666666667
"SF3B1","Nonsense_Mutation",1,30,0.0333333333333333
"MTOR","Missense_Mutation",27,28,0.964285714285714
"MTOR","Splice_Region",1,28,0.0357142857142857
"PBRM1","Missense_Mutation",24,28,0.857142857142857
"PBRM1","Frame_Shift_Del",1,28,0.0357142857142857
"PBRM1","Nonsense_Mutation",1,28,0.0357142857142857
"PBRM1","Splice_Region",1,28,0.0357142857142857
"PBRM1","Splice_Site",1,28,0.0357142857142857
"NOTCH1","Missense_Mutation",16,25,0.64
"NOTCH1","Nonsense_Mutation",4,25,0.16
"NOTCH1","Splice_Region",2,25,0.08
"NOTCH1","Frame_Shift_Del",1,25,0.04
"NOTCH1","In_Frame_Del",1,25,0.04
"NOTCH1","Splice_Site",1,25,0.04
"BAP1","Missense_Mutation",13,23,0.565217391304348
"BAP1","Nonsense_Mutation",4,23,0.173913043478261
"BAP1","In_Frame_Del",2,23,0.0869565217391304
"BAP1","Frame_Shift_Del",1,23,0.0434782608695652
"BAP1","Frame_Shift_Ins",1,23,0.0434782608695652
"BAP1","Nonstop_Mutation",1,23,0.0434782608695652
"BAP1","Splice_Site",1,23,0.0434782608695652
"BRAF","Missense_Mutation",19,22,0.863636363636364
"BRAF","Nonsense_Mutation",1,22,0.0454545454545455
