"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",152,226,0.672566371681416
"TP53","Nonsense_Mutation",37,226,0.163716814159292
"TP53","Frame_Shift_Del",20,226,0.0884955752212389
"TP53","Frame_Shift_Ins",8,226,0.0353982300884956
"TP53","Splice_Site",5,226,0.0221238938053097
"TP53","In_Frame_Del",2,226,0.00884955752212389
"TP53","Splice_Region",2,226,0.00884955752212389
"KMT2D","Nonsense_Mutation",56,138,0.405797101449275
"KMT2D","Missense_Mutation",51,138,0.369565217391304
"KMT2D","Frame_Shift_Del",22,138,0.159420289855072
"KMT2D","Frame_Shift_Ins",9,138,0.0652173913043478
"ARID1A","Nonsense_Mutation",47,120,0.391666666666667
"ARID1A","Missense_Mutation",34,120,0.283333333333333
"ARID1A","Frame_Shift_Del",22,120,0.183333333333333
"ARID1A","Frame_Shift_Ins",11,120,0.0916666666666667
"ARID1A","Splice_Site",5,120,0.0416666666666667
"ARID1A","In_Frame_Del",1,120,0.00833333333333333
"KDM6A","Nonsense_Mutation",36,113,0.31858407079646
"KDM6A","Frame_Shift_Del",24,113,0.212389380530973
"KDM6A","Missense_Mutation",24,113,0.212389380530973
"KDM6A","Frame_Shift_Ins",14,113,0.123893805309735
"KDM6A","Splice_Site",13,113,0.115044247787611
"KDM6A","In_Frame_Del",1,113,0.00884955752212389
"KDM6A","In_Frame_Ins",1,113,0.00884955752212389
"PIK3CA","Missense_Mutation",92,93,0.989247311827957
"PIK3CA","Splice_Region",1,93,0.010752688172043
"KMT2C","Missense_Mutation",45,92,0.489130434782609
"KMT2C","Nonsense_Mutation",27,92,0.293478260869565
"KMT2C","Frame_Shift_Del",12,92,0.130434782608696
"KMT2C","Splice_Site",4,92,0.0434782608695652
"KMT2C","Frame_Shift_Ins",3,92,0.0326086956521739
"KMT2C","Splice_Region",1,92,0.0108695652173913
"RB1","Nonsense_Mutation",38,80,0.475
"RB1","Splice_Site",13,80,0.1625
"RB1","Frame_Shift_Del",10,80,0.125
"RB1","Frame_Shift_Ins",10,80,0.125
"RB1","Missense_Mutation",8,80,0.1
"RB1","In_Frame_Del",1,80,0.0125
"EP300","Missense_Mutation",42,71,0.591549295774648
"EP300","Nonsense_Mutation",20,71,0.28169014084507
"EP300","Frame_Shift_Del",5,71,0.0704225352112676
"EP300","Splice_Site",2,71,0.028169014084507
"EP300","Frame_Shift_Ins",1,71,0.0140845070422535
"EP300","In_Frame_Del",1,71,0.0140845070422535
"ATM","Missense_Mutation",40,59,0.677966101694915
"ATM","Nonsense_Mutation",11,59,0.186440677966102
"ATM","Splice_Site",5,59,0.0847457627118644
"ATM","In_Frame_Del",2,59,0.0338983050847458
"ATM","Frame_Shift_Ins",1,59,0.0169491525423729
"FGFR3","Missense_Mutation",56,59,0.949152542372881
"FGFR3","Frame_Shift_Del",2,59,0.0338983050847458
"FGFR3","Nonsense_Mutation",1,59,0.0169491525423729
"STAG2","Nonsense_Mutation",25,59,0.423728813559322
"STAG2","Missense_Mutation",14,59,0.23728813559322
"STAG2","Frame_Shift_Del",11,59,0.186440677966102
"STAG2","Splice_Site",4,59,0.0677966101694915
"STAG2","Frame_Shift_Ins",3,59,0.0508474576271186
"STAG2","In_Frame_Del",1,59,0.0169491525423729
"STAG2","Splice_Region",1,59,0.0169491525423729
"KMT2A","Missense_Mutation",28,53,0.528301886792453
"KMT2A","Nonsense_Mutation",17,53,0.320754716981132
"KMT2A","Frame_Shift_Del",4,53,0.0754716981132075
"KMT2A","Frame_Shift_Ins",2,53,0.0377358490566038
"KMT2A","Splice_Site",2,53,0.0377358490566038
"ERBB2","Missense_Mutation",52,52,1
"FAT1","Missense_Mutation",28,51,0.549019607843137
"FAT1","Nonsense_Mutation",13,51,0.254901960784314
"FAT1","Frame_Shift_Del",6,51,0.117647058823529
"FAT1","Frame_Shift_Ins",4,51,0.0784313725490196
"CREBBP","Missense_Mutation",21,49,0.428571428571429
"CREBBP","Nonsense_Mutation",19,49,0.387755102040816
"CREBBP","Splice_Site",4,49,0.0816326530612245
"CREBBP","Frame_Shift_Del",3,49,0.0612244897959184
"CREBBP","Frame_Shift_Ins",1,49,0.0204081632653061
"CREBBP","In_Frame_Del",1,49,0.0204081632653061
"BRCA2","Missense_Mutation",36,44,0.818181818181818
"BRCA2","Nonsense_Mutation",7,44,0.159090909090909
"BRCA2","Frame_Shift_Ins",1,44,0.0227272727272727
"FBXW7","Missense_Mutation",22,35,0.628571428571429
"FBXW7","Nonsense_Mutation",9,35,0.257142857142857
"FBXW7","Frame_Shift_Del",2,35,0.0571428571428571
"FBXW7","Frame_Shift_Ins",1,35,0.0285714285714286
"FBXW7","Splice_Site",1,35,0.0285714285714286
"NF1","Missense_Mutation",19,33,0.575757575757576
"NF1","Nonsense_Mutation",10,33,0.303030303030303
"NF1","Frame_Shift_Del",3,33,0.0909090909090909
"NF1","Splice_Site",1,33,0.0303030303030303
"CDKN2A","Missense_Mutation",17,31,0.548387096774194
"CDKN2A","Frame_Shift_Del",5,31,0.161290322580645
"CDKN2A","Nonsense_Mutation",5,31,0.161290322580645
"CDKN2A","Frame_Shift_Ins",2,31,0.0645161290322581
"CDKN2A","Splice_Site",2,31,0.0645161290322581
"TSC1","Nonsense_Mutation",12,31,0.387096774193548
"TSC1","Missense_Mutation",8,31,0.258064516129032
"TSC1","Frame_Shift_Del",5,31,0.161290322580645
"TSC1","Splice_Site",5,31,0.161290322580645
"TSC1","In_Frame_Del",1,31,0.032258064516129
"SETD2","Missense_Mutation",21,28,0.75
"SETD2","Nonsense_Mutation",5,28,0.178571428571429
"SETD2","Splice_Site",2,28,0.0714285714285714
"APC","Missense_Mutation",16,25,0.64
"APC","Nonsense_Mutation",8,25,0.32
"APC","Frame_Shift_Del",1,25,0.04
"PBRM1","Missense_Mutation",19,23,0.826086956521739
"PBRM1","Frame_Shift_Del",1,23,0.0434782608695652
"PBRM1","Nonsense_Mutation",1,23,0.0434782608695652
"PBRM1","Splice_Region",1,23,0.0434782608695652
"PBRM1","Splice_Site",1,23,0.0434782608695652
"ATRX","Missense_Mutation",20,22,0.909090909090909
"ATRX","Nonsense_Mutation",2,22,0.0909090909090909
"SF3B1","Missense_Mutation",22,22,1
"BRCA1","Missense_Mutation",16,21,0.761904761904762
"BRCA1","Nonsense_Mutation",5,21,0.238095238095238
"HRAS","Missense_Mutation",17,18,0.944444444444444
"HRAS","Nonsense_Mutation",1,18,0.0555555555555556
"PTCH1","Missense_Mutation",18,18,1
"BAP1","Missense_Mutation",11,17,0.647058823529412
"BAP1","Nonsense_Mutation",2,17,0.117647058823529
"BAP1","Splice_Site",2,17,0.117647058823529
"BAP1","Frame_Shift_Del",1,17,0.0588235294117647
"BAP1","In_Frame_Del",1,17,0.0588235294117647
"KRAS","Missense_Mutation",17,17,1
"PTEN","Missense_Mutation",9,16,0.5625
"PTEN","Nonsense_Mutation",5,16,0.3125
"PTEN","Frame_Shift_Del",1,16,0.0625
"PTEN","Splice_Site",1,16,0.0625
"NOTCH1","Missense_Mutation",11,15,0.733333333333333
"NOTCH1","Nonsense_Mutation",2,15,0.133333333333333
"NOTCH1","Frame_Shift_Del",1,15,0.0666666666666667
"NOTCH1","Splice_Region",1,15,0.0666666666666667
"CTNNB1","Missense_Mutation",14,14,1
"ALK","Missense_Mutation",11,12,0.916666666666667
"ALK","Splice_Region",1,12,0.0833333333333333
"CDH1","Missense_Mutation",6,12,0.5
"CDH1","Nonsense_Mutation",5,12,0.416666666666667
"CDH1","In_Frame_Del",1,12,0.0833333333333333
"FOXA1","Frame_Shift_Del",6,12,0.5
"FOXA1","Missense_Mutation",5,12,0.416666666666667
"FOXA1","Frame_Shift_Ins",1,12,0.0833333333333333
"BRAF","Missense_Mutation",9,11,0.818181818181818
"BRAF","Nonsense_Mutation",1,11,0.0909090909090909
"BRAF","Splice_Site",1,11,0.0909090909090909
"MTOR","Missense_Mutation",11,11,1
"RUNX1","Missense_Mutation",8,11,0.727272727272727
"RUNX1","Frame_Shift_Del",2,11,0.181818181818182
"RUNX1","In_Frame_Ins",1,11,0.0909090909090909
"FGFR2","Missense_Mutation",10,10,1
"KIT","Missense_Mutation",7,10,0.7
"KIT","Splice_Site",2,10,0.2
"KIT","Nonsense_Mutation",1,10,0.1
"MAP3K1","Missense_Mutation",7,10,0.7
"MAP3K1","Nonsense_Mutation",2,10,0.2
"MAP3K1","Splice_Site",1,10,0.1
"IDH1","Missense_Mutation",7,9,0.777777777777778
"IDH1","Frame_Shift_Del",1,9,0.111111111111111
"IDH1","Nonsense_Mutation",1,9,0.111111111111111
"KEAP1","Missense_Mutation",7,9,0.777777777777778
"KEAP1","Frame_Shift_Ins",1,9,0.111111111111111
"KEAP1","Splice_Site",1,9,0.111111111111111
"TSC2","Missense_Mutation",7,9,0.777777777777778
"TSC2","Nonsense_Mutation",2,9,0.222222222222222
"DNMT3A","Missense_Mutation",7,8,0.875
"DNMT3A","Splice_Region",1,8,0.125
"FLT3","Missense_Mutation",7,8,0.875
"FLT3","Frame_Shift_Ins",1,8,0.125
"NRAS","Missense_Mutation",7,8,0.875
"NRAS","Nonsense_Mutation",1,8,0.125
"RET","Missense_Mutation",8,8,1
"SMAD4","Missense_Mutation",8,8,1
"TET2","Missense_Mutation",7,8,0.875
"TET2","Nonsense_Mutation",1,8,0.125
"EGFR","Missense_Mutation",7,7,1
"GATA3","Missense_Mutation",4,7,0.571428571428571
"GATA3","Frame_Shift_Del",1,7,0.142857142857143
"GATA3","Frame_Shift_Ins",1,7,0.142857142857143
"GATA3","Splice_Region",1,7,0.142857142857143
"JAK2","Missense_Mutation",5,7,0.714285714285714
"JAK2","Nonsense_Mutation",2,7,0.285714285714286
"FGFR1","Missense_Mutation",6,6,1
"GNAS","Missense_Mutation",6,6,1
"SMO","Missense_Mutation",6,6,1
"SPOP","Missense_Mutation",5,6,0.833333333333333
