"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",109,162,0.672839506172839
"TP53","Nonsense_Mutation",24,162,0.148148148148148
"TP53","Splice_Site",13,162,0.0802469135802469
"TP53","Frame_Shift_Del",7,162,0.0432098765432099
"TP53","Frame_Shift_Ins",7,162,0.0432098765432099
"TP53","In_Frame_Del",2,162,0.0123456790123457
"APC","Nonsense_Mutation",26,47,0.553191489361702
"APC","Frame_Shift_Del",13,47,0.276595744680851
"APC","Missense_Mutation",4,47,0.0851063829787234
"APC","Frame_Shift_Ins",3,47,0.0638297872340425
"APC","Splice_Site",1,47,0.0212765957446809
"KRAS","Missense_Mutation",45,46,0.978260869565217
"KRAS","In_Frame_Ins",1,46,0.0217391304347826
"FAT1","Missense_Mutation",22,23,0.956521739130435
"FAT1","Nonsense_Mutation",1,23,0.0434782608695652
"FBXW7","Missense_Mutation",13,22,0.590909090909091
"FBXW7","Frame_Shift_Ins",4,22,0.181818181818182
"FBXW7","Nonsense_Mutation",3,22,0.136363636363636
"FBXW7","Splice_Site",2,22,0.0909090909090909
"SMAD4","Missense_Mutation",18,22,0.818181818181818
"SMAD4","In_Frame_Del",2,22,0.0909090909090909
"SMAD4","Nonsense_Mutation",2,22,0.0909090909090909
"KMT2C","Missense_Mutation",11,15,0.733333333333333
"KMT2C","Nonsense_Mutation",3,15,0.2
"KMT2C","Splice_Site",1,15,0.0666666666666667
"PIK3CA","Missense_Mutation",12,14,0.857142857142857
"PIK3CA","Frame_Shift_Ins",1,14,0.0714285714285714
"PIK3CA","In_Frame_Del",1,14,0.0714285714285714
"RNF43","Nonsense_Mutation",4,14,0.285714285714286
"RNF43","Frame_Shift_Del",3,14,0.214285714285714
"RNF43","Missense_Mutation",3,14,0.214285714285714
"RNF43","Frame_Shift_Ins",2,14,0.142857142857143
"RNF43","Splice_Site",1,14,0.0714285714285714
"RNF43","Translation_Start_Site",1,14,0.0714285714285714
"ERBB2","Missense_Mutation",13,13,1
"NF1","Missense_Mutation",9,13,0.692307692307692
"NF1","Nonsense_Mutation",2,13,0.153846153846154
"NF1","In_Frame_Del",1,13,0.0769230769230769
"NF1","Splice_Site",1,13,0.0769230769230769
"ARID1A","Missense_Mutation",5,11,0.454545454545455
"ARID1A","Frame_Shift_Del",3,11,0.272727272727273
"ARID1A","Frame_Shift_Ins",1,11,0.0909090909090909
"ARID1A","Nonsense_Mutation",1,11,0.0909090909090909
"ARID1A","Splice_Site",1,11,0.0909090909090909
"IDH1","Missense_Mutation",11,11,1
"TSC2","Missense_Mutation",5,10,0.5
"TSC2","Nonsense_Mutation",2,10,0.2
"TSC2","Splice_Site",2,10,0.2
"TSC2","Frame_Shift_Del",1,10,0.1
"ALK","Missense_Mutation",7,8,0.875
"ALK","Nonsense_Mutation",1,8,0.125
"CDH1","Missense_Mutation",5,8,0.625
"CDH1","Frame_Shift_Del",2,8,0.25
"CDH1","In_Frame_Del",1,8,0.125
"CREBBP","Missense_Mutation",5,8,0.625
"CREBBP","In_Frame_Ins",1,8,0.125
"CREBBP","Nonsense_Mutation",1,8,0.125
"CREBBP","Splice_Site",1,8,0.125
"KMT2A","Missense_Mutation",6,8,0.75
"KMT2A","In_Frame_Del",2,8,0.25
"NOTCH1","Missense_Mutation",7,8,0.875
"NOTCH1","Splice_Site",1,8,0.125
"KMT2D","Missense_Mutation",4,7,0.571428571428571
"KMT2D","Frame_Shift_Del",1,7,0.142857142857143
"KMT2D","In_Frame_Del",1,7,0.142857142857143
"KMT2D","In_Frame_Ins",1,7,0.142857142857143
"PBRM1","Missense_Mutation",5,7,0.714285714285714
"PBRM1","Frame_Shift_Del",1,7,0.142857142857143
"PBRM1","Frame_Shift_Ins",1,7,0.142857142857143
"TSC1","Missense_Mutation",5,7,0.714285714285714
"TSC1","In_Frame_Ins",1,7,0.142857142857143
"TSC1","Nonsense_Mutation",1,7,0.142857142857143
"AR","Missense_Mutation",4,6,0.666666666666667
"AR","In_Frame_Del",1,6,0.166666666666667
"AR","In_Frame_Ins",1,6,0.166666666666667
"BRAF","Missense_Mutation",6,6,1
"ESR1","Missense_Mutation",6,6,1
"MAP3K1","Missense_Mutation",5,6,0.833333333333333
"MAP3K1","Frame_Shift_Del",1,6,0.166666666666667
"SETD2","Missense_Mutation",5,6,0.833333333333333
"SETD2","Splice_Site",1,6,0.166666666666667
"ATM","Missense_Mutation",3,5,0.6
"ATM","Nonsense_Mutation",1,5,0.2
"ATM","Splice_Site",1,5,0.2
"BRCA2","Missense_Mutation",3,5,0.6
"BRCA2","Frame_Shift_Del",1,5,0.2
"BRCA2","Nonsense_Mutation",1,5,0.2
"KDM6A","Missense_Mutation",3,5,0.6
"KDM6A","Frame_Shift_Del",1,5,0.2
"KDM6A","Splice_Site",1,5,0.2
"MTOR","Missense_Mutation",4,5,0.8
"MTOR","Nonsense_Mutation",1,5,0.2
"BRCA1","Missense_Mutation",4,4,1
"EGFR","Missense_Mutation",3,4,0.75
"EGFR","Splice_Site",1,4,0.25
"PTEN","Missense_Mutation",2,4,0.5
"PTEN","Frame_Shift_Del",1,4,0.25
"PTEN","In_Frame_Ins",1,4,0.25
"TERT","5'Flank",4,4,1
"WT1","Missense_Mutation",3,4,0.75
"WT1","Nonsense_Mutation",1,4,0.25
"ATRX","Missense_Mutation",3,3,1
"CTNNB1","Frame_Shift_Del",1,3,0.333333333333333
"CTNNB1","Missense_Mutation",1,3,0.333333333333333
"CTNNB1","Splice_Site",1,3,0.333333333333333
