"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",23,35,0.657142857142857
"TP53","Nonsense_Mutation",8,35,0.228571428571429
"TP53","Splice_Site",3,35,0.0857142857142857
"TP53","Frame_Shift_Del",1,35,0.0285714285714286
"PIK3CA","Missense_Mutation",6,7,0.857142857142857
"PIK3CA","In_Frame_Del",1,7,0.142857142857143
"PTEN","Missense_Mutation",4,6,0.666666666666667
"PTEN","Frame_Shift_Del",2,6,0.333333333333333
"RB1","Nonsense_Mutation",2,4,0.5
"RB1","Frame_Shift_Del",1,4,0.25
"RB1","Missense_Mutation",1,4,0.25
"BRCA2","Frame_Shift_Del",1,3,0.333333333333333
"BRCA2","Missense_Mutation",1,3,0.333333333333333
"BRCA2","Nonsense_Mutation",1,3,0.333333333333333
"ERBB2","Missense_Mutation",3,3,1
"FLT3","Missense_Mutation",2,3,0.666666666666667
"FLT3","Nonsense_Mutation",1,3,0.333333333333333
"BRAF","Missense_Mutation",2,2,1
"CDH1","Missense_Mutation",2,2,1
"KDM6A","Frame_Shift_Ins",1,2,0.5
"KDM6A","Missense_Mutation",1,2,0.5
"KMT2C","Missense_Mutation",2,2,1
"NRAS","Missense_Mutation",2,2,1
"ARID1A","Nonsense_Mutation",1,1,1
"ATRX","Missense_Mutation",1,1,1
"BAP1","Missense_Mutation",1,1,1
"EGFR","Missense_Mutation",1,1,1
"KMT2D","Missense_Mutation",1,1,1
"MTOR","Missense_Mutation",1,1,1
"NOTCH1","Frame_Shift_Del",1,1,1
"SETD2","Nonsense_Mutation",1,1,1
"STAG2","Missense_Mutation",1,1,1
"TERT","Missense_Mutation",1,1,1
