"gene","mutationType","mutation_records","total_records","fraction"
"PIK3CA","Missense_Mutation",30,30,1
"TP53","Missense_Mutation",19,29,0.655172413793103
"TP53","Nonsense_Mutation",4,29,0.137931034482759
"TP53","Splice_Site",4,29,0.137931034482759
"TP53","Frame_Shift_Del",2,29,0.0689655172413793
"KMT2C","Missense_Mutation",3,7,0.428571428571429
"KMT2C","Nonsense_Mutation",2,7,0.285714285714286
"KMT2C","Frame_Shift_Del",1,7,0.142857142857143
"KMT2C","Splice_Site",1,7,0.142857142857143
"MAP3K1","Nonsense_Mutation",2,5,0.4
"MAP3K1","Frame_Shift_Del",1,5,0.2
"MAP3K1","Frame_Shift_Ins",1,5,0.2
"MAP3K1","Missense_Mutation",1,5,0.2
"GATA3","Frame_Shift_Ins",2,4,0.5
"GATA3","Frame_Shift_Del",1,4,0.25
"GATA3","Splice_Site",1,4,0.25
"EGFR","Missense_Mutation",3,3,1
"ERBB2","Missense_Mutation",3,3,1
"ARID1A","Missense_Mutation",1,2,0.5
"ARID1A","Nonsense_Mutation",1,2,0.5
"BRCA1","Missense_Mutation",1,2,0.5
"BRCA1","Nonsense_Mutation",1,2,0.5
"BRCA2","Frame_Shift_Del",1,2,0.5
"BRCA2","Missense_Mutation",1,2,0.5
"CDH1","Missense_Mutation",1,2,0.5
"CDH1","Nonsense_Mutation",1,2,0.5
"JAK2","Splice_Site",2,2,1
"KMT2D","Missense_Mutation",2,2,1
"MTOR","Missense_Mutation",2,2,1
"PTEN","Frame_Shift_Del",1,2,0.5
"PTEN","Missense_Mutation",1,2,0.5
"SF3B1","Missense_Mutation",2,2,1
"ALK","Frame_Shift_Del",1,1,1
"ATRX","Missense_Mutation",1,1,1
"BRAF","Missense_Mutation",1,1,1
"CTNNB1","Nonsense_Mutation",1,1,1
"ESR1","Missense_Mutation",1,1,1
"FBXW7","Missense_Mutation",1,1,1
"FLT3","Nonsense_Mutation",1,1,1
"NOTCH1","Missense_Mutation",1,1,1
"SETD2","Missense_Mutation",1,1,1
"SMAD4","Missense_Mutation",1,1,1
"STAG2","Missense_Mutation",1,1,1
"TET2","Missense_Mutation",1,1,1
