"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",46,91,0.505494505494505
"TP53","Frame_Shift_Del",19,91,0.208791208791209
"TP53","Nonsense_Mutation",11,91,0.120879120879121
"TP53","Splice_Site",7,91,0.0769230769230769
"TP53","Frame_Shift_Ins",6,91,0.0659340659340659
"TP53","In_Frame_Del",2,91,0.021978021978022
"PIK3CA","Missense_Mutation",44,44,1
"GATA3","Frame_Shift_Ins",12,17,0.705882352941177
"GATA3","Missense_Mutation",3,17,0.176470588235294
"GATA3","Frame_Shift_Del",2,17,0.117647058823529
"NF1","Missense_Mutation",5,13,0.384615384615385
"NF1","Nonsense_Mutation",4,13,0.307692307692308
"NF1","Splice_Site",3,13,0.230769230769231
"NF1","Frame_Shift_Del",1,13,0.0769230769230769
"CDH1","Frame_Shift_Del",4,12,0.333333333333333
"CDH1","Nonsense_Mutation",3,12,0.25
"CDH1","Frame_Shift_Ins",2,12,0.166666666666667
"CDH1","Missense_Mutation",2,12,0.166666666666667
"CDH1","Splice_Site",1,12,0.0833333333333333
"ERBB2","Missense_Mutation",11,11,1
"KMT2C","Nonsense_Mutation",4,10,0.4
"KMT2C","Frame_Shift_Del",2,10,0.2
"KMT2C","Missense_Mutation",2,10,0.2
"KMT2C","Frame_Shift_Ins",1,10,0.1
"KMT2C","Splice_Site",1,10,0.1
"ARID1A","Nonsense_Mutation",3,7,0.428571428571429
"ARID1A","Frame_Shift_Del",1,7,0.142857142857143
"ARID1A","Frame_Shift_Ins",1,7,0.142857142857143
"ARID1A","Missense_Mutation",1,7,0.142857142857143
"ARID1A","Splice_Site",1,7,0.142857142857143
"ATM","Missense_Mutation",5,7,0.714285714285714
"ATM","Frame_Shift_Del",1,7,0.142857142857143
"ATM","Nonsense_Mutation",1,7,0.142857142857143
"KMT2D","Missense_Mutation",5,6,0.833333333333333
"KMT2D","Nonsense_Mutation",1,6,0.166666666666667
"ALK","Missense_Mutation",5,5,1
"FAT1","Missense_Mutation",4,5,0.8
"FAT1","Nonsense_Mutation",1,5,0.2
"PTEN","Frame_Shift_Ins",2,5,0.4
"PTEN","Missense_Mutation",2,5,0.4
"PTEN","Frame_Shift_Del",1,5,0.2
"RUNX1","Frame_Shift_Ins",3,5,0.6
"RUNX1","Frame_Shift_Del",1,5,0.2
"RUNX1","Nonsense_Mutation",1,5,0.2
"APC","Missense_Mutation",3,4,0.75
"APC","Nonsense_Mutation",1,4,0.25
"ESR1","Missense_Mutation",3,4,0.75
"ESR1","In_Frame_Del",1,4,0.25
"KMT2A","Missense_Mutation",3,4,0.75
"KMT2A","In_Frame_Ins",1,4,0.25
"RB1","Splice_Site",2,4,0.5
"RB1","Missense_Mutation",1,4,0.25
"RB1","Nonsense_Mutation",1,4,0.25
"SMAD4","Nonsense_Mutation",3,4,0.75
"SMAD4","Missense_Mutation",1,4,0.25
"BRCA2","Missense_Mutation",2,3,0.666666666666667
"BRCA2","Frame_Shift_Del",1,3,0.333333333333333
"CREBBP","Missense_Mutation",2,3,0.666666666666667
"CREBBP","Nonsense_Mutation",1,3,0.333333333333333
"NOTCH1","Missense_Mutation",3,3,1
"RET","Missense_Mutation",3,3,1
"TERT","Missense_Mutation",2,3,0.666666666666667
"TERT","5'Flank",1,3,0.333333333333333
"TSC2","Missense_Mutation",2,3,0.666666666666667
"TSC2","In_Frame_Del",1,3,0.333333333333333
"ATRX","Missense_Mutation",1,2,0.5
"ATRX","Nonsense_Mutation",1,2,0.5
"BRCA1","Frame_Shift_Del",1,2,0.5
"BRCA1","Missense_Mutation",1,2,0.5
"EP300","Missense_Mutation",2,2,1
"FOXA1","Frame_Shift_Del",2,2,1
"IDH2","Missense_Mutation",1,2,0.5
"IDH2","Splice_Site",1,2,0.5
"KRAS","Missense_Mutation",2,2,1
"MAP3K1","Frame_Shift_Del",1,2,0.5
"MAP3K1","Frame_Shift_Ins",1,2,0.5
"MDM2","Missense_Mutation",2,2,1
"MTOR","Missense_Mutation",1,2,0.5
"MTOR","Splice_Site",1,2,0.5
"PTCH1","Missense_Mutation",1,2,0.5
"PTCH1","Nonsense_Mutation",1,2,0.5
"RNF43","Missense_Mutation",2,2,1
"SF3B1","Missense_Mutation",2,2,1
"STK11","Missense_Mutation",1,2,0.5
"STK11","Nonsense_Mutation",1,2,0.5
"WT1","Missense_Mutation",2,2,1
"BAP1","Missense_Mutation",1,1,1
"BRAF","Missense_Mutation",1,1,1
"CTNNB1","Missense_Mutation",1,1,1
"DNMT3A","Missense_Mutation",1,1,1
"FBXW7","Missense_Mutation",1,1,1
"FGFR1","Missense_Mutation",1,1,1
"FGFR3","Missense_Mutation",1,1,1
"FLT3","Nonsense_Mutation",1,1,1
"GNAS","Missense_Mutation",1,1,1
"JAK2","Missense_Mutation",1,1,1
"KDM6A","Nonsense_Mutation",1,1,1
"KIT","Splice_Site",1,1,1
"MEN1","Nonsense_Mutation",1,1,1
"MYD88","Frame_Shift_Del",1,1,1
"PBRM1","Missense_Mutation",1,1,1
"TSC1","Missense_Mutation",1,1,1
