"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",20,38,0.526315789473684
"TP53","Frame_Shift_Del",6,38,0.157894736842105
"TP53","Nonsense_Mutation",6,38,0.157894736842105
"TP53","Splice_Site",3,38,0.0789473684210526
"TP53","In_Frame_Del",2,38,0.0526315789473684
"TP53","In_Frame_Ins",1,38,0.0263157894736842
"PIK3CA","Missense_Mutation",33,34,0.970588235294118
"PIK3CA","In_Frame_Del",1,34,0.0294117647058824
"GATA3","Frame_Shift_Ins",13,16,0.8125
"GATA3","Frame_Shift_Del",1,16,0.0625
"GATA3","Missense_Mutation",1,16,0.0625
"GATA3","Splice_Site",1,16,0.0625
"KMT2C","Missense_Mutation",7,13,0.538461538461538
"KMT2C","Frame_Shift_Ins",2,13,0.153846153846154
"KMT2C","Nonsense_Mutation",2,13,0.153846153846154
"KMT2C","Frame_Shift_Del",1,13,0.0769230769230769
"KMT2C","Splice_Site",1,13,0.0769230769230769
"CDH1","Frame_Shift_Del",4,10,0.4
"CDH1","Missense_Mutation",3,10,0.3
"CDH1","Nonsense_Mutation",3,10,0.3
"MAP3K1","Frame_Shift_Ins",4,10,0.4
"MAP3K1","Frame_Shift_Del",3,10,0.3
"MAP3K1","Splice_Site",2,10,0.2
"MAP3K1","Missense_Mutation",1,10,0.1
"BRCA2","Frame_Shift_Del",3,5,0.6
"BRCA2","Missense_Mutation",2,5,0.4
"BRCA1","Frame_Shift_Del",1,4,0.25
"BRCA1","Frame_Shift_Ins",1,4,0.25
"BRCA1","Splice_Region",1,4,0.25
"BRCA1","Splice_Site",1,4,0.25
"PTEN","Frame_Shift_Del",2,4,0.5
"PTEN","Missense_Mutation",1,4,0.25
"PTEN","Nonsense_Mutation",1,4,0.25
"SF3B1","Missense_Mutation",4,4,1
"APC","Missense_Mutation",2,3,0.666666666666667
"APC","Nonsense_Mutation",1,3,0.333333333333333
"ARID1A","Nonsense_Mutation",2,3,0.666666666666667
"ARID1A","Missense_Mutation",1,3,0.333333333333333
"FBXW7","Missense_Mutation",3,3,1
"NF1","Frame_Shift_Del",1,3,0.333333333333333
"NF1","Missense_Mutation",1,3,0.333333333333333
"NF1","Splice_Site",1,3,0.333333333333333
"SETD2","Nonsense_Mutation",2,3,0.666666666666667
"SETD2","Missense_Mutation",1,3,0.333333333333333
"ALK","Missense_Mutation",2,2,1
"BAP1","Missense_Mutation",1,2,0.5
"BAP1","Nonsense_Mutation",1,2,0.5
"KMT2D","Missense_Mutation",1,2,0.5
"KMT2D","Nonsense_Mutation",1,2,0.5
"RB1","Frame_Shift_Del",2,2,1
"SMAD4","Missense_Mutation",1,2,0.5
"SMAD4","Nonsense_Mutation",1,2,0.5
"TET2","Missense_Mutation",2,2,1
"BRAF","Missense_Mutation",1,1,1
"ERBB2","In_Frame_Ins",1,1,1
"HRAS","Missense_Mutation",1,1,1
"KRAS","Missense_Mutation",1,1,1
"NOTCH1","Missense_Mutation",1,1,1
"RNF43","Missense_Mutation",1,1,1
"STAG2","Nonsense_Mutation",1,1,1
"STK11","Frame_Shift_Ins",1,1,1
