"gene","mutationType","mutation_records","total_records","fraction"
"PIK3CA","Missense_Mutation",370,387,0.956072351421189
"PIK3CA","In_Frame_Del",15,387,0.0387596899224806
"PIK3CA","In_Frame_Ins",1,387,0.00258397932816537
"PIK3CA","Splice_Region",1,387,0.00258397932816537
"TP53","Missense_Mutation",216,353,0.611898016997167
"TP53","Frame_Shift_Del",47,353,0.13314447592068
"TP53","Nonsense_Mutation",46,353,0.130311614730878
"TP53","Splice_Site",24,353,0.0679886685552408
"TP53","Frame_Shift_Ins",14,353,0.0396600566572238
"TP53","In_Frame_Del",5,353,0.0141643059490085
"TP53","Splice_Region",1,353,0.0028328611898017
"CDH1","Frame_Shift_Del",34,132,0.257575757575758
"CDH1","Frame_Shift_Ins",32,132,0.242424242424242
"CDH1","Nonsense_Mutation",31,132,0.234848484848485
"CDH1","Missense_Mutation",15,132,0.113636363636364
"CDH1","Splice_Site",13,132,0.0984848484848485
"CDH1","In_Frame_Del",4,132,0.0303030303030303
"CDH1","Splice_Region",3,132,0.0227272727272727
"MAP3K1","Frame_Shift_Del",39,132,0.295454545454545
"MAP3K1","Frame_Shift_Ins",32,132,0.242424242424242
"MAP3K1","Missense_Mutation",29,132,0.21969696969697
"MAP3K1","Nonsense_Mutation",22,132,0.166666666666667
"MAP3K1","In_Frame_Del",4,132,0.0303030303030303
"MAP3K1","Splice_Site",4,132,0.0303030303030303
"MAP3K1","Splice_Region",2,132,0.0151515151515152
"GATA3","Frame_Shift_Ins",65,130,0.5
"GATA3","Frame_Shift_Del",24,130,0.184615384615385
"GATA3","Splice_Site",23,130,0.176923076923077
"GATA3","Missense_Mutation",13,130,0.1
"GATA3","Nonsense_Mutation",4,130,0.0307692307692308
"GATA3","In_Frame_Del",1,130,0.00769230769230769
"PTEN","Missense_Mutation",21,64,0.328125
"PTEN","Frame_Shift_Del",17,64,0.265625
"PTEN","Nonsense_Mutation",12,64,0.1875
"PTEN","Frame_Shift_Ins",6,64,0.09375
"PTEN","Splice_Site",6,64,0.09375
"PTEN","In_Frame_Del",2,64,0.03125
"ERBB2","Missense_Mutation",29,33,0.878787878787879
"ERBB2","Frame_Shift_Del",3,33,0.0909090909090909
"ERBB2","In_Frame_Del",1,33,0.0303030303030303
"BRCA2","Missense_Mutation",20,32,0.625
"BRCA2","Frame_Shift_Del",7,32,0.21875
"BRCA2","In_Frame_Del",2,32,0.0625
"BRCA2","Nonsense_Mutation",2,32,0.0625
"BRCA2","Splice_Site",1,32,0.03125
"AKT1","Missense_Mutation",27,27,1
"BRCA1","Missense_Mutation",13,27,0.481481481481481
"BRCA1","Nonsense_Mutation",6,27,0.222222222222222
"BRCA1","Frame_Shift_Del",3,27,0.111111111111111
"BRCA1","In_Frame_Del",2,27,0.0740740740740741
"BRCA1","Splice_Site",2,27,0.0740740740740741
"BRCA1","Frame_Shift_Ins",1,27,0.037037037037037
