"gene","mutationType","mutation_records","total_records","fraction"
"PIK3CA","Missense_Mutation",186,195,0.953846153846154
"PIK3CA","In_Frame_Del",7,195,0.0358974358974359
"PIK3CA","In_Frame_Ins",1,195,0.00512820512820513
"PIK3CA","Splice_Region",1,195,0.00512820512820513
"TP53","Missense_Mutation",116,194,0.597938144329897
"TP53","Frame_Shift_Del",31,194,0.15979381443299
"TP53","Nonsense_Mutation",21,194,0.108247422680412
"TP53","Splice_Site",14,194,0.0721649484536082
"TP53","Frame_Shift_Ins",6,194,0.0309278350515464
"TP53","In_Frame_Del",4,194,0.0206185567010309
"TP53","Splice_Region",2,194,0.0103092783505155
"MAP3K1","Frame_Shift_Del",23,66,0.348484848484849
"MAP3K1","Frame_Shift_Ins",15,66,0.227272727272727
"MAP3K1","Nonsense_Mutation",12,66,0.181818181818182
"MAP3K1","Missense_Mutation",9,66,0.136363636363636
"MAP3K1","In_Frame_Del",3,66,0.0454545454545455
"MAP3K1","Splice_Region",2,66,0.0303030303030303
"MAP3K1","Splice_Site",2,66,0.0303030303030303
"GATA3","Frame_Shift_Ins",29,58,0.5
"GATA3","Splice_Site",15,58,0.258620689655172
"GATA3","Frame_Shift_Del",9,58,0.155172413793103
"GATA3","Missense_Mutation",5,58,0.0862068965517241
"KMT2C","Missense_Mutation",15,39,0.384615384615385
"KMT2C","Frame_Shift_Del",9,39,0.230769230769231
"KMT2C","Nonsense_Mutation",7,39,0.179487179487179
"KMT2C","Frame_Shift_Ins",3,39,0.0769230769230769
"KMT2C","Splice_Region",2,39,0.0512820512820513
"KMT2C","In_Frame_Del",1,39,0.0256410256410256
"KMT2C","In_Frame_Ins",1,39,0.0256410256410256
"KMT2C","Splice_Site",1,39,0.0256410256410256
"CDH1","Frame_Shift_Del",10,34,0.294117647058824
"CDH1","Frame_Shift_Ins",8,34,0.235294117647059
"CDH1","Nonsense_Mutation",5,34,0.147058823529412
"CDH1","Missense_Mutation",4,34,0.117647058823529
"CDH1","Splice_Site",3,34,0.0882352941176471
"CDH1","In_Frame_Del",2,34,0.0588235294117647
"CDH1","In_Frame_Ins",1,34,0.0294117647058824
"CDH1","Splice_Region",1,34,0.0294117647058824
"BRCA2","Frame_Shift_Del",9,25,0.36
"BRCA2","Missense_Mutation",7,25,0.28
"BRCA2","Nonsense_Mutation",5,25,0.2
"BRCA2","Frame_Shift_Ins",2,25,0.08
"BRCA2","In_Frame_Del",1,25,0.04
"BRCA2","Splice_Site",1,25,0.04
"BRCA1","Missense_Mutation",7,19,0.368421052631579
"BRCA1","Frame_Shift_Del",4,19,0.210526315789474
"BRCA1","Frame_Shift_Ins",3,19,0.157894736842105
"BRCA1","Splice_Site",3,19,0.157894736842105
"BRCA1","Nonsense_Mutation",2,19,0.105263157894737
"PTEN","Frame_Shift_Del",6,19,0.315789473684211
"PTEN","Missense_Mutation",5,19,0.263157894736842
"PTEN","Splice_Site",4,19,0.210526315789474
"PTEN","Nonsense_Mutation",2,19,0.105263157894737
"PTEN","Frame_Shift_Ins",1,19,0.0526315789473684
"PTEN","In_Frame_Del",1,19,0.0526315789473684
"RUNX1","Missense_Mutation",6,18,0.333333333333333
"RUNX1","Frame_Shift_Del",4,18,0.222222222222222
"RUNX1","Frame_Shift_Ins",3,18,0.166666666666667
"RUNX1","Splice_Site",2,18,0.111111111111111
"RUNX1","In_Frame_Del",1,18,0.0555555555555556
"RUNX1","Nonsense_Mutation",1,18,0.0555555555555556
"RUNX1","Splice_Region",1,18,0.0555555555555556
"NF1","Missense_Mutation",7,15,0.466666666666667
"NF1","Frame_Shift_Del",3,15,0.2
"NF1","Splice_Site",2,15,0.133333333333333
"NF1","Frame_Shift_Ins",1,15,0.0666666666666667
"NF1","In_Frame_Del",1,15,0.0666666666666667
"NF1","Nonsense_Mutation",1,15,0.0666666666666667
"ARID1A","Missense_Mutation",4,11,0.363636363636364
"ARID1A","Nonsense_Mutation",4,11,0.363636363636364
"ARID1A","Frame_Shift_Del",2,11,0.181818181818182
"ARID1A","Frame_Shift_Ins",1,11,0.0909090909090909
"RB1","Nonsense_Mutation",4,10,0.4
"RB1","Frame_Shift_Del",2,10,0.2
"RB1","Frame_Shift_Ins",2,10,0.2
"RB1","Missense_Mutation",2,10,0.2
"SF3B1","Missense_Mutation",9,10,0.9
"SF3B1","Nonsense_Mutation",1,10,0.1
"ATRX","Missense_Mutation",8,9,0.888888888888889
"ATRX","Frame_Shift_Del",1,9,0.111111111111111
"MTOR","Missense_Mutation",7,9,0.777777777777778
"MTOR","Nonsense_Mutation",1,9,0.111111111111111
"MTOR","Splice_Region",1,9,0.111111111111111
"ERBB2","Missense_Mutation",8,8,1
"KMT2D","Missense_Mutation",7,8,0.875
"KMT2D","Frame_Shift_Del",1,8,0.125
"STAG2","Missense_Mutation",4,6,0.666666666666667
"STAG2","Nonsense_Mutation",2,6,0.333333333333333
"JAK2","Missense_Mutation",2,5,0.4
"JAK2","Nonsense_Mutation",2,5,0.4
"JAK2","Frame_Shift_Del",1,5,0.2
"KDM6A","Missense_Mutation",2,5,0.4
"KDM6A","Splice_Site",2,5,0.4
"KDM6A","Frame_Shift_Del",1,5,0.2
"KIT","Missense_Mutation",5,5,1
"SETD2","Missense_Mutation",3,5,0.6
"SETD2","Frame_Shift_Del",1,5,0.2
"SETD2","Nonsense_Mutation",1,5,0.2
"EGFR","Missense_Mutation",4,4,1
"GNAS","Missense_Mutation",3,4,0.75
"GNAS","Frame_Shift_Ins",1,4,0.25
"ALK","In_Frame_Del",1,3,0.333333333333333
"ALK","Missense_Mutation",1,3,0.333333333333333
"ALK","Nonsense_Mutation",1,3,0.333333333333333
"APC","Missense_Mutation",3,3,1
"BRAF","Missense_Mutation",2,3,0.666666666666667
"BRAF","Nonsense_Mutation",1,3,0.333333333333333
"DNMT3A","Missense_Mutation",3,3,1
"FLT3","Missense_Mutation",3,3,1
"KRAS","Missense_Mutation",3,3,1
"RNF43","Missense_Mutation",2,3,0.666666666666667
"RNF43","Frame_Shift_Del",1,3,0.333333333333333
"BAP1","Missense_Mutation",2,2,1
"ESR1","Frame_Shift_Del",1,2,0.5
"ESR1","Missense_Mutation",1,2,0.5
"FBXW7","Missense_Mutation",2,2,1
"KEAP1","Frame_Shift_Del",1,2,0.5
"KEAP1","Frame_Shift_Ins",1,2,0.5
"MDM2","Missense_Mutation",2,2,1
"MEN1","Frame_Shift_Del",1,2,0.5
"MEN1","Splice_Site",1,2,0.5
"NOTCH1","Missense_Mutation",2,2,1
"PBRM1","Missense_Mutation",2,2,1
"TET2","Missense_Mutation",1,2,0.5
"TET2","Nonsense_Mutation",1,2,0.5
"CD79B","Missense_Mutation",1,1,1
"EZH2","Nonsense_Mutation",1,1,1
"IDH1","Missense_Mutation",1,1,1
"PRKAR1A","Missense_Mutation",1,1,1
"SMAD4","Frame_Shift_Del",1,1,1
"WT1","Missense_Mutation",1,1,1
"ZNRF3","Missense_Mutation",1,1,1
