"gene","mutationType","mutation_records","total_records","fraction"
"PIK3CA","Missense_Mutation",801,826,0.969733656174334
"PIK3CA","In_Frame_Del",20,826,0.0242130750605327
"PIK3CA","Frame_Shift_Del",3,826,0.0036319612590799
"PIK3CA","Frame_Shift_Ins",1,826,0.00121065375302663
"PIK3CA","In_Frame_Ins",1,826,0.00121065375302663
"TP53","Missense_Mutation",385,696,0.55316091954023
"TP53","Nonsense_Mutation",106,696,0.152298850574713
"TP53","Frame_Shift_Del",90,696,0.129310344827586
"TP53","Splice_Site",59,696,0.0847701149425287
"TP53","Frame_Shift_Ins",34,696,0.0488505747126437
"TP53","In_Frame_Del",19,696,0.0272988505747126
"TP53","In_Frame_Ins",2,696,0.0028735632183908
"TP53","Splice_Region",1,696,0.0014367816091954
"CDH1","Nonsense_Mutation",86,313,0.274760383386581
"CDH1","Frame_Shift_Del",80,313,0.255591054313099
"CDH1","Frame_Shift_Ins",66,313,0.210862619808307
"CDH1","Splice_Site",38,313,0.121405750798722
"CDH1","Missense_Mutation",25,313,0.0798722044728434
"CDH1","In_Frame_Del",7,313,0.0223642172523962
"CDH1","Splice_Region",7,313,0.0223642172523962
"CDH1","Translation_Start_Site",4,313,0.012779552715655
"GATA3","Frame_Shift_Ins",168,298,0.563758389261745
"GATA3","Frame_Shift_Del",51,298,0.171140939597315
"GATA3","Missense_Mutation",47,298,0.157718120805369
"GATA3","Splice_Site",19,298,0.063758389261745
"GATA3","Nonsense_Mutation",7,298,0.023489932885906
"GATA3","In_Frame_Del",5,298,0.0167785234899329
"GATA3","In_Frame_Ins",1,298,0.00335570469798658
"MAP3K1","Frame_Shift_Del",69,220,0.313636363636364
"MAP3K1","Frame_Shift_Ins",50,220,0.227272727272727
"MAP3K1","Missense_Mutation",48,220,0.218181818181818
"MAP3K1","Nonsense_Mutation",35,220,0.159090909090909
"MAP3K1","Splice_Site",13,220,0.0590909090909091
"MAP3K1","In_Frame_Del",5,220,0.0227272727272727
"ESR1","Missense_Mutation",168,175,0.96
"ESR1","In_Frame_Del",4,175,0.0228571428571429
"ESR1","Frame_Shift_Ins",1,175,0.00571428571428571
"ESR1","Nonsense_Mutation",1,175,0.00571428571428571
"ESR1","Splice_Site",1,175,0.00571428571428571
"KMT2C","Missense_Mutation",62,173,0.358381502890173
"KMT2C","Nonsense_Mutation",58,173,0.335260115606936
"KMT2C","Frame_Shift_Del",33,173,0.190751445086705
"KMT2C","Frame_Shift_Ins",9,173,0.0520231213872832
"KMT2C","Splice_Site",8,173,0.046242774566474
"KMT2C","In_Frame_Del",2,173,0.0115606936416185
"KMT2C","Splice_Region",1,173,0.00578034682080925
"PTEN","Missense_Mutation",51,155,0.329032258064516
"PTEN","Frame_Shift_Del",34,155,0.219354838709677
"PTEN","Nonsense_Mutation",27,155,0.174193548387097
"PTEN","Frame_Shift_Ins",22,155,0.141935483870968
"PTEN","Splice_Site",14,155,0.0903225806451613
"PTEN","In_Frame_Del",7,155,0.0451612903225806
"ARID1A","Nonsense_Mutation",36,113,0.31858407079646
"ARID1A","Frame_Shift_Del",27,113,0.238938053097345
"ARID1A","Missense_Mutation",24,113,0.212389380530973
"ARID1A","Frame_Shift_Ins",20,113,0.176991150442478
"ARID1A","Splice_Site",4,113,0.0353982300884956
"ARID1A","In_Frame_Del",1,113,0.00884955752212389
"ARID1A","In_Frame_Ins",1,113,0.00884955752212389
"NF1","Missense_Mutation",34,97,0.350515463917526
"NF1","Nonsense_Mutation",30,97,0.309278350515464
"NF1","Frame_Shift_Del",10,97,0.103092783505155
"NF1","Frame_Shift_Ins",9,97,0.0927835051546392
"NF1","Splice_Site",8,97,0.0824742268041237
"NF1","In_Frame_Del",3,97,0.0309278350515464
"NF1","Splice_Region",3,97,0.0309278350515464
"ERBB2","Missense_Mutation",68,91,0.747252747252747
