"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",808,1194,0.676716917922948
"TP53","Nonsense_Mutation",135,1194,0.113065326633166
"TP53","Splice_Site",94,1194,0.0787269681742044
"TP53","Frame_Shift_Del",89,1194,0.0745393634840871
"TP53","Frame_Shift_Ins",28,1194,0.0234505862646566
"TP53","In_Frame_Del",20,1194,0.016750418760469
"TP53","Splice_Region",16,1194,0.0134003350083752
"TP53","In_Frame_Ins",4,1194,0.0033500837520938
"PTEN","Missense_Mutation",109,245,0.444897959183673
"PTEN","Frame_Shift_Del",45,245,0.183673469387755
"PTEN","Nonsense_Mutation",38,245,0.155102040816327
"PTEN","Frame_Shift_Ins",29,245,0.118367346938776
"PTEN","Splice_Site",17,245,0.0693877551020408
"PTEN","In_Frame_Del",5,245,0.0204081632653061
"PTEN","Nonstop_Mutation",1,245,0.00408163265306122
"PTEN","Splice_Region",1,245,0.00408163265306122
"KRAS","Missense_Mutation",226,235,0.961702127659574
"KRAS","Splice_Region",4,235,0.0170212765957447
"KRAS","Frame_Shift_Del",3,235,0.0127659574468085
"KRAS","In_Frame_Ins",1,235,0.00425531914893617
"KRAS","Nonsense_Mutation",1,235,0.00425531914893617
"BRAF","Missense_Mutation",183,210,0.871428571428571
"BRAF","Frame_Shift_Del",8,210,0.0380952380952381
"BRAF","In_Frame_Del",7,210,0.0333333333333333
"BRAF","Frame_Shift_Ins",3,210,0.0142857142857143
"BRAF","Splice_Region",3,210,0.0142857142857143
"BRAF","Splice_Site",3,210,0.0142857142857143
"BRAF","Nonsense_Mutation",2,210,0.00952380952380952
"BRAF","In_Frame_Ins",1,210,0.00476190476190476
"PIK3CA","Missense_Mutation",173,186,0.93010752688172
"PIK3CA","In_Frame_Del",4,186,0.021505376344086
"PIK3CA","Splice_Site",3,186,0.0161290322580645
"PIK3CA","Frame_Shift_Ins",2,186,0.010752688172043
"PIK3CA","Nonstop_Mutation",2,186,0.010752688172043
"PIK3CA","Frame_Shift_Del",1,186,0.00537634408602151
"PIK3CA","Nonsense_Mutation",1,186,0.00537634408602151
"EGFR","Missense_Mutation",113,138,0.818840579710145
"EGFR","In_Frame_Del",9,138,0.0652173913043478
"EGFR","Nonsense_Mutation",7,138,0.0507246376811594
"EGFR","Frame_Shift_Del",6,138,0.0434782608695652
"EGFR","Frame_Shift_Ins",1,138,0.0072463768115942
"EGFR","Splice_Region",1,138,0.0072463768115942
"EGFR","Splice_Site",1,138,0.0072463768115942
"ALK","Missense_Mutation",115,130,0.884615384615385
"ALK","Frame_Shift_Del",6,130,0.0461538461538462
"ALK","Frame_Shift_Ins",4,130,0.0307692307692308
"ALK","In_Frame_Del",2,130,0.0153846153846154
"ALK","Nonsense_Mutation",2,130,0.0153846153846154
"ALK","Splice_Region",1,130,0.00769230769230769
