"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",871,1337,0.651458489154824
"TP53","Nonsense_Mutation",160,1337,0.119670905011219
"TP53","Splice_Site",112,1337,0.0837696335078534
"TP53","Frame_Shift_Del",107,1337,0.0800299177262528
"TP53","Frame_Shift_Ins",39,1337,0.0291697830964847
"TP53","In_Frame_Del",25,1337,0.018698578908003
"TP53","Splice_Region",18,1337,0.0134629768137622
"TP53","In_Frame_Ins",5,1337,0.0037397157816006
"KMT2D","Missense_Mutation",348,616,0.564935064935065
"KMT2D","Frame_Shift_Del",112,616,0.181818181818182
"KMT2D","Nonsense_Mutation",91,616,0.147727272727273
"KMT2D","Frame_Shift_Ins",46,616,0.0746753246753247
"KMT2D","In_Frame_Del",9,616,0.0146103896103896
"KMT2D","Splice_Site",9,616,0.0146103896103896
"KMT2D","In_Frame_Ins",1,616,0.00162337662337662
"ARID1A","Missense_Mutation",115,361,0.318559556786704
"ARID1A","Frame_Shift_Del",111,361,0.307479224376731
"ARID1A","Nonsense_Mutation",74,361,0.204986149584488
"ARID1A","Frame_Shift_Ins",50,361,0.138504155124654
"ARID1A","Splice_Site",6,361,0.0166204986149584
"ARID1A","In_Frame_Del",5,361,0.0138504155124654
"CREBBP","Missense_Mutation",189,309,0.611650485436893
"CREBBP","Nonsense_Mutation",39,309,0.12621359223301
"CREBBP","Frame_Shift_Del",36,309,0.116504854368932
"CREBBP","Frame_Shift_Ins",21,309,0.0679611650485437
"CREBBP","Splice_Site",14,309,0.0453074433656958
"CREBBP","In_Frame_Del",10,309,0.0323624595469256
"TERT","5'Flank",257,298,0.86241610738255
"TERT","Missense_Mutation",35,298,0.11744966442953
"TERT","Frame_Shift_Del",2,298,0.00671140939597315
"TERT","Nonsense_Mutation",2,298,0.00671140939597315
"TERT","Splice_Site",1,298,0.00335570469798658
"TERT","Translation_Start_Site",1,298,0.00335570469798658
"NF1","Missense_Mutation",133,273,0.487179487179487
"NF1","Nonsense_Mutation",51,273,0.186813186813187
"NF1","Splice_Site",43,273,0.157509157509158
"NF1","Frame_Shift_Del",28,273,0.102564102564103
"NF1","Frame_Shift_Ins",16,273,0.0586080586080586
"NF1","In_Frame_Del",2,273,0.00732600732600733
"PTEN","Missense_Mutation",108,259,0.416988416988417
"PTEN","Frame_Shift_Del",52,259,0.200772200772201
"PTEN","Nonsense_Mutation",40,259,0.154440154440154
"PTEN","Frame_Shift_Ins",29,259,0.111969111969112
"PTEN","Splice_Site",22,259,0.0849420849420849
"PTEN","In_Frame_Del",6,259,0.0231660231660232
"PTEN","Nonstop_Mutation",2,259,0.00772200772200772
"KRAS","Missense_Mutation",252,256,0.984375
"KRAS","Frame_Shift_Del",1,256,0.00390625
"KRAS","Frame_Shift_Ins",1,256,0.00390625
"KRAS","In_Frame_Del",1,256,0.00390625
"KRAS","Nonsense_Mutation",1,256,0.00390625
"ATM","Missense_Mutation",149,231,0.645021645021645
"ATM","Frame_Shift_Ins",26,231,0.112554112554113
"ATM","Nonsense_Mutation",26,231,0.112554112554113
"ATM","Frame_Shift_Del",20,231,0.0865800865800866
"ATM","Splice_Site",10,231,0.0432900432900433
"BRCA2","Missense_Mutation",141,220,0.640909090909091
"BRCA2","Frame_Shift_Del",35,220,0.159090909090909
"BRCA2","Nonsense_Mutation",23,220,0.104545454545455
"BRCA2","Frame_Shift_Ins",18,220,0.0818181818181818
"BRCA2","Splice_Site",3,220,0.0136363636363636
"KMT2A","Missense_Mutation",158,215,0.734883720930233
"KMT2A","Frame_Shift_Del",34,215,0.158139534883721
"KMT2A","Frame_Shift_Ins",14,215,0.0651162790697674
"KMT2A","Nonsense_Mutation",8,215,0.0372093023255814
"KMT2A","Splice_Site",1,215,0.00465116279069767
"RB1","Nonsense_Mutation",75,214,0.350467289719626
"RB1","Missense_Mutation",52,214,0.242990654205607
