"gene","mutationType","mutation_records","total_records","fraction"
"VHL","Missense_Mutation",8,25,0.32
"VHL","Nonsense_Mutation",6,25,0.24
"VHL","Frame_Shift_Del",4,25,0.16
"VHL","Frame_Shift_Ins",3,25,0.12
"VHL","Splice_Site",3,25,0.12
"VHL","Splice_Region",1,25,0.04
"PBRM1","Frame_Shift_Del",8,19,0.421052631578947
"PBRM1","Splice_Site",5,19,0.263157894736842
"PBRM1","Nonsense_Mutation",4,19,0.210526315789474
"PBRM1","Frame_Shift_Ins",1,19,0.0526315789473684
"PBRM1","In_Frame_Del",1,19,0.0526315789473684
"SETD2","Nonsense_Mutation",8,16,0.5
"SETD2","Missense_Mutation",5,16,0.3125
"SETD2","Frame_Shift_Del",1,16,0.0625
"SETD2","Frame_Shift_Ins",1,16,0.0625
"SETD2","Splice_Region",1,16,0.0625
"BAP1","Missense_Mutation",4,6,0.666666666666667
"BAP1","Frame_Shift_Del",2,6,0.333333333333333
"MTOR","Missense_Mutation",4,4,1
"TP53","In_Frame_Del",1,2,0.5
"TP53","Missense_Mutation",1,2,0.5
