"gene","mutationType","mutation_records","total_records","fraction"
"PIK3CA","Missense_Mutation",97,97,1
"FBXW7","Missense_Mutation",25,38,0.657894736842105
"FBXW7","Nonsense_Mutation",12,38,0.315789473684211
"FBXW7","Frame_Shift_Del",1,38,0.0263157894736842
"PTEN","Missense_Mutation",15,31,0.483870967741935
"PTEN","Nonsense_Mutation",8,31,0.258064516129032
"PTEN","Frame_Shift_Del",4,31,0.129032258064516
"PTEN","Splice_Site",4,31,0.129032258064516
"TP53","Missense_Mutation",21,28,0.75
"TP53","Nonsense_Mutation",6,28,0.214285714285714
"TP53","Frame_Shift_Del",1,28,0.0357142857142857
"ARID1A","Nonsense_Mutation",9,19,0.473684210526316
"ARID1A","Missense_Mutation",7,19,0.368421052631579
"ARID1A","Frame_Shift_Ins",2,19,0.105263157894737
"ARID1A","Splice_Region",1,19,0.0526315789473684
"KRAS","Missense_Mutation",15,15,1
