"gene","mutationType","mutation_records","total_records","fraction"
"SF3B1","Missense_Mutation",199,202,0.985148514851485
"SF3B1","In_Frame_Del",1,202,0.00495049504950495
"SF3B1","In_Frame_Ins",1,202,0.00495049504950495
"SF3B1","Splice_Site",1,202,0.00495049504950495
"ATM","Missense_Mutation",98,155,0.632258064516129
"ATM","Frame_Shift_Del",21,155,0.135483870967742
"ATM","Splice_Site",16,155,0.103225806451613
"ATM","Nonsense_Mutation",14,155,0.0903225806451613
"ATM","Frame_Shift_Ins",4,155,0.0258064516129032
"ATM","In_Frame_Del",2,155,0.0129032258064516
"TP53","Missense_Mutation",94,121,0.776859504132231
"TP53","Nonsense_Mutation",7,121,0.0578512396694215
"TP53","Splice_Site",7,121,0.0578512396694215
"TP53","Frame_Shift_Del",4,121,0.0330578512396694
"TP53","In_Frame_Del",4,121,0.0330578512396694
"TP53","Splice_Region",3,121,0.0247933884297521
"TP53","Frame_Shift_Ins",1,121,0.00826446280991736
"TP53","In_Frame_Ins",1,121,0.00826446280991736
"NOTCH1","Frame_Shift_Del",38,55,0.690909090909091
"NOTCH1","Nonsense_Mutation",9,55,0.163636363636364
"NOTCH1","Missense_Mutation",8,55,0.145454545454545
"BRAF","Missense_Mutation",39,39,1
"MYD88","Missense_Mutation",36,37,0.972972972972973
"MYD88","Nonsense_Mutation",1,37,0.027027027027027
"FAT1","Missense_Mutation",29,33,0.878787878787879
"FAT1","Nonsense_Mutation",3,33,0.0909090909090909
"FAT1","Splice_Site",1,33,0.0303030303030303
"FBXW7","Missense_Mutation",28,33,0.848484848484849
"FBXW7","Nonsense_Mutation",3,33,0.0909090909090909
"FBXW7","Frame_Shift_Ins",1,33,0.0303030303030303
"FBXW7","Splice_Site",1,33,0.0303030303030303
"KRAS","Missense_Mutation",28,28,1
"KMT2D","Missense_Mutation",14,23,0.608695652173913
"KMT2D","Nonsense_Mutation",5,23,0.217391304347826
"KMT2D","Frame_Shift_Ins",2,23,0.0869565217391304
"KMT2D","Frame_Shift_Del",1,23,0.0434782608695652
"KMT2D","Splice_Site",1,23,0.0434782608695652
"ARID1A","Nonsense_Mutation",9,18,0.5
"ARID1A","Missense_Mutation",4,18,0.222222222222222
"ARID1A","Frame_Shift_Del",2,18,0.111111111111111
"ARID1A","In_Frame_Del",2,18,0.111111111111111
"ARID1A","Frame_Shift_Ins",1,18,0.0555555555555556
"NRAS","Missense_Mutation",16,16,1
"ATRX","Missense_Mutation",13,15,0.866666666666667
"ATRX","Frame_Shift_Del",1,15,0.0666666666666667
"ATRX","Nonsense_Mutation",1,15,0.0666666666666667
"KMT2C","Missense_Mutation",11,15,0.733333333333333
"KMT2C","Frame_Shift_Del",2,15,0.133333333333333
"KMT2C","Nonsense_Mutation",1,15,0.0666666666666667
"KMT2C","Splice_Site",1,15,0.0666666666666667
"MTOR","Missense_Mutation",10,12,0.833333333333333
"MTOR","Frame_Shift_Del",1,12,0.0833333333333333
"MTOR","Nonsense_Mutation",1,12,0.0833333333333333
"CREBBP","Nonsense_Mutation",5,10,0.5
"CREBBP","Missense_Mutation",3,10,0.3
"CREBBP","Frame_Shift_Del",1,10,0.1
"CREBBP","Splice_Site",1,10,0.1
