"gene","mutationType","mutation_records","total_records","fraction"
"NOTCH1","Frame_Shift_Del",41,48,0.854166666666667
"NOTCH1","Nonsense_Mutation",5,48,0.104166666666667
"NOTCH1","In_Frame_Del",1,48,0.0208333333333333
"NOTCH1","Missense_Mutation",1,48,0.0208333333333333
"SF3B1","Missense_Mutation",40,42,0.952380952380952
"SF3B1","NA",2,42,0.0476190476190476
"ATM","Missense_Mutation",19,36,0.527777777777778
"ATM","Nonsense_Mutation",5,36,0.138888888888889
"ATM","Frame_Shift_Del",4,36,0.111111111111111
"ATM","Frame_Shift_Ins",4,36,0.111111111111111
"ATM","Splice_Site",4,36,0.111111111111111
"MYD88","Missense_Mutation",18,18,1
"TP53","Missense_Mutation",14,17,0.823529411764706
"TP53","Splice_Site",2,17,0.117647058823529
"TP53","In_Frame_Ins",1,17,0.0588235294117647
"BRAF","Missense_Mutation",10,10,1
"FAT1","Missense_Mutation",7,8,0.875
"FAT1","Frame_Shift_Del",1,8,0.125
"ARID1A","Frame_Shift_Del",2,7,0.285714285714286
"ARID1A","Missense_Mutation",2,7,0.285714285714286
"ARID1A","Nonsense_Mutation",2,7,0.285714285714286
"ARID1A","In_Frame_Del",1,7,0.142857142857143
"ATRX","Missense_Mutation",6,7,0.857142857142857
"ATRX","Frame_Shift_Del",1,7,0.142857142857143
"FBXW7","Missense_Mutation",4,5,0.8
"FBXW7","Nonsense_Mutation",1,5,0.2
"KMT2C","Missense_Mutation",4,5,0.8
"KMT2C","Splice_Site",1,5,0.2
"KMT2D","Missense_Mutation",3,5,0.6
"KMT2D","Nonsense_Mutation",1,5,0.2
"KMT2D","Splice_Site",1,5,0.2
"SETD2","Nonsense_Mutation",2,5,0.4
"SETD2","Frame_Shift_Del",1,5,0.2
"SETD2","Missense_Mutation",1,5,0.2
"SETD2","Splice_Site",1,5,0.2
"PIM1","Missense_Mutation",4,4,1
"STAG2","Missense_Mutation",4,4,1
"APC","Missense_Mutation",3,3,1
"BCL2","Missense_Mutation",3,3,1
"CREBBP","Nonsense_Mutation",3,3,1
"FGFR2","Missense_Mutation",3,3,1
"KRAS","Missense_Mutation",3,3,1
"AR","Missense_Mutation",2,2,1
"BRCA2","Missense_Mutation",2,2,1
"EP300","Missense_Mutation",2,2,1
"FGFR1","Missense_Mutation",2,2,1
"GATA3","Missense_Mutation",2,2,1
"GNAS","Missense_Mutation",2,2,1
"MTOR","In_Frame_Del",1,2,0.5
"MTOR","Missense_Mutation",1,2,0.5
"NF1","Missense_Mutation",2,2,1
"RNF43","Missense_Mutation",2,2,1
"TET2","Missense_Mutation",2,2,1
"ALK","Missense_Mutation",1,1,1
"CD79B","Missense_Mutation",1,1,1
"CDH1","Missense_Mutation",1,1,1
"CDKN2A","Nonsense_Mutation",1,1,1
"EGFR","Missense_Mutation",1,1,1
"FGFR3","Missense_Mutation",1,1,1
"FOXA1","Missense_Mutation",1,1,1
"KIT","Missense_Mutation",1,1,1
"NRAS","Missense_Mutation",1,1,1
"PTCH1","Missense_Mutation",1,1,1
"PTEN","Missense_Mutation",1,1,1
"RB1","Missense_Mutation",1,1,1
"STK11","Missense_Mutation",1,1,1
"TSC1","Missense_Mutation",1,1,1
"ZNRF3","Missense_Mutation",1,1,1
