"gene","mutationType","mutation_records","total_records","fraction"
"APC","Nonsense_Mutation",60,121,0.495867768595041
"APC","Frame_Shift_Del",28,121,0.231404958677686
"APC","Frame_Shift_Ins",21,121,0.173553719008264
"APC","Missense_Mutation",12,121,0.0991735537190083
"TP53","Missense_Mutation",38,60,0.633333333333333
"TP53","Nonsense_Mutation",12,60,0.2
"TP53","Frame_Shift_Del",7,60,0.116666666666667
"TP53","Frame_Shift_Ins",2,60,0.0333333333333333
"TP53","In_Frame_Del",1,60,0.0166666666666667
"KRAS","Missense_Mutation",35,35,1
"KMT2D","Missense_Mutation",19,33,0.575757575757576
"KMT2D","Frame_Shift_Del",7,33,0.212121212121212
"KMT2D","Frame_Shift_Ins",4,33,0.121212121212121
"KMT2D","Nonsense_Mutation",3,33,0.0909090909090909
"PIK3CA","Missense_Mutation",28,29,0.96551724137931
"PIK3CA","Frame_Shift_Ins",1,29,0.0344827586206897
"KMT2C","Missense_Mutation",20,28,0.714285714285714
"KMT2C","Frame_Shift_Del",3,28,0.107142857142857
"KMT2C","Nonsense_Mutation",3,28,0.107142857142857
"KMT2C","Frame_Shift_Ins",1,28,0.0357142857142857
"KMT2C","In_Frame_Ins",1,28,0.0357142857142857
"ARID1A","Frame_Shift_Del",9,25,0.36
"ARID1A","Missense_Mutation",6,25,0.24
"ARID1A","Nonsense_Mutation",6,25,0.24
"ARID1A","Frame_Shift_Ins",3,25,0.12
"ARID1A","In_Frame_Ins",1,25,0.04
"FBXW7","Missense_Mutation",13,24,0.541666666666667
"FBXW7","Frame_Shift_Del",5,24,0.208333333333333
"FBXW7","Nonsense_Mutation",5,24,0.208333333333333
"FBXW7","Frame_Shift_Ins",1,24,0.0416666666666667
"NOTCH1","Missense_Mutation",18,22,0.818181818181818
"NOTCH1","Frame_Shift_Del",3,22,0.136363636363636
"NOTCH1","Splice_Region",1,22,0.0454545454545455
"BRAF","Missense_Mutation",18,19,0.947368421052632
"BRAF","Nonsense_Mutation",1,19,0.0526315789473684
"RNF43","Frame_Shift_Del",14,19,0.736842105263158
"RNF43","Missense_Mutation",3,19,0.157894736842105
"RNF43","Nonsense_Mutation",2,19,0.105263157894737
