"gene","mutationType","mutation_records","total_records","fraction"
"APC","Nonsense_Mutation",168,247,0.680161943319838
"APC","Frame_Shift_Del",33,247,0.133603238866397
"APC","Missense_Mutation",31,247,0.125506072874494
"APC","Frame_Shift_Ins",13,247,0.0526315789473684
"APC","Splice_Site",2,247,0.00809716599190283
"TP53","Missense_Mutation",84,123,0.682926829268293
"TP53","Nonsense_Mutation",21,123,0.170731707317073
"TP53","Frame_Shift_Del",10,123,0.0813008130081301
"TP53","Frame_Shift_Ins",6,123,0.0487804878048781
"TP53","In_Frame_Del",1,123,0.00813008130081301
"TP53","Splice_Region",1,123,0.00813008130081301
"KRAS","Missense_Mutation",93,94,0.98936170212766
"KRAS","Nonsense_Mutation",1,94,0.0106382978723404
"PIK3CA","Missense_Mutation",53,53,1
"SMAD4","Missense_Mutation",25,30,0.833333333333333
"SMAD4","Nonsense_Mutation",3,30,0.1
"SMAD4","Frame_Shift_Del",1,30,0.0333333333333333
"SMAD4","In_Frame_Del",1,30,0.0333333333333333
"BRAF","Missense_Mutation",22,22,1
