"gene","mutationType","mutation_records","total_records","fraction"
"APC","Nonsense_Mutation",21,34,0.617647058823529
"APC","Frame_Shift_Del",9,34,0.264705882352941
"APC","Frame_Shift_Ins",3,34,0.0882352941176471
"APC","Splice_Site",1,34,0.0294117647058824
"TP53","Missense_Mutation",21,26,0.807692307692308
"TP53","Nonsense_Mutation",3,26,0.115384615384615
"TP53","Frame_Shift_Del",1,26,0.0384615384615385
"TP53","In_Frame_Del",1,26,0.0384615384615385
"KRAS","Missense_Mutation",10,10,1
"FBXW7","Missense_Mutation",4,5,0.8
"FBXW7","Nonsense_Mutation",1,5,0.2
"PIK3CA","Missense_Mutation",4,4,1
"ATM","Missense_Mutation",3,3,1
"KMT2C","Missense_Mutation",1,2,0.5
"KMT2C","Splice_Site",1,2,0.5
"NRAS","Missense_Mutation",2,2,1
"RB1","Missense_Mutation",2,2,1
"SMAD4","Missense_Mutation",2,2,1
"ARID1A","Frame_Shift_Del",1,1,1
"BRAF","Missense_Mutation",1,1,1
"BRCA2","Missense_Mutation",1,1,1
"ERBB2","Missense_Mutation",1,1,1
"EZH2","Nonsense_Mutation",1,1,1
"FAT1","Missense_Mutation",1,1,1
"GATA3","Missense_Mutation",1,1,1
"JAK2","Missense_Mutation",1,1,1
"KIT","Missense_Mutation",1,1,1
"KMT2D","Missense_Mutation",1,1,1
"MAP3K1","Missense_Mutation",1,1,1
"MTOR","Missense_Mutation",1,1,1
"MYD88","Missense_Mutation",1,1,1
"PBRM1","Nonsense_Mutation",1,1,1
"RET","Missense_Mutation",1,1,1
"SF3B1","Missense_Mutation",1,1,1
