"gene","mutationType","mutation_records","total_records","fraction"
"APC","Nonsense_Mutation",364,665,0.547368421052632
"APC","Frame_Shift_Del",158,665,0.237593984962406
"APC","Frame_Shift_Ins",58,665,0.087218045112782
"APC","Missense_Mutation",58,665,0.087218045112782
"APC","Splice_Site",23,665,0.0345864661654135
"APC","In_Frame_Del",3,665,0.00451127819548872
"APC","In_Frame_Ins",1,665,0.00150375939849624
"TP53","Missense_Mutation",312,488,0.639344262295082
"TP53","Nonsense_Mutation",81,488,0.165983606557377
"TP53","Splice_Site",39,488,0.0799180327868853
"TP53","Frame_Shift_Del",35,488,0.0717213114754098
"TP53","Frame_Shift_Ins",18,488,0.0368852459016393
"TP53","In_Frame_Del",3,488,0.00614754098360656
"KRAS","Missense_Mutation",243,243,1
"PIK3CA","Missense_Mutation",160,166,0.963855421686747
"PIK3CA","In_Frame_Del",3,166,0.0180722891566265
"PIK3CA","Nonsense_Mutation",2,166,0.0120481927710843
"PIK3CA","In_Frame_Ins",1,166,0.00602409638554217
"FBXW7","Missense_Mutation",100,149,0.671140939597315
"FBXW7","Nonsense_Mutation",29,149,0.194630872483221
"FBXW7","Frame_Shift_Del",8,149,0.0536912751677852
"FBXW7","Frame_Shift_Ins",8,149,0.0536912751677852
"FBXW7","Splice_Site",3,149,0.0201342281879195
"FBXW7","Nonstop_Mutation",1,149,0.00671140939597315
"FAT1","Missense_Mutation",113,141,0.801418439716312
"FAT1","Nonsense_Mutation",14,141,0.099290780141844
"FAT1","Frame_Shift_Del",7,141,0.049645390070922
"FAT1","Frame_Shift_Ins",4,141,0.0283687943262411
"FAT1","In_Frame_Del",2,141,0.0141843971631206
"FAT1","Splice_Site",1,141,0.00709219858156028
"ATM","Missense_Mutation",66,110,0.6
"ATM","Nonsense_Mutation",21,110,0.190909090909091
"ATM","Frame_Shift_Del",12,110,0.109090909090909
"ATM","Frame_Shift_Ins",6,110,0.0545454545454545
"ATM","Splice_Site",4,110,0.0363636363636364
"ATM","In_Frame_Del",1,110,0.00909090909090909
"KMT2D","Missense_Mutation",76,110,0.690909090909091
"KMT2D","Frame_Shift_Del",18,110,0.163636363636364
"KMT2D","Nonsense_Mutation",7,110,0.0636363636363636
"KMT2D","In_Frame_Del",4,110,0.0363636363636364
"KMT2D","Frame_Shift_Ins",3,110,0.0272727272727273
"KMT2D","In_Frame_Ins",1,110,0.00909090909090909
"KMT2D","Splice_Site",1,110,0.00909090909090909
"KMT2C","Missense_Mutation",73,104,0.701923076923077
"KMT2C","Nonsense_Mutation",13,104,0.125
"KMT2C","Frame_Shift_Del",11,104,0.105769230769231
"KMT2C","Frame_Shift_Ins",5,104,0.0480769230769231
"KMT2C","In_Frame_Del",1,104,0.00961538461538462
"KMT2C","Splice_Site",1,104,0.00961538461538462
"BRCA2","Missense_Mutation",78,103,0.757281553398058
"BRCA2","Nonsense_Mutation",9,103,0.087378640776699
"BRCA2","Frame_Shift_Ins",7,103,0.0679611650485437
"BRCA2","Frame_Shift_Del",5,103,0.0485436893203883
"BRCA2","In_Frame_Del",2,103,0.0194174757281553
"BRCA2","Splice_Site",2,103,0.0194174757281553
"SMAD4","Missense_Mutation",69,90,0.766666666666667
"SMAD4","Nonsense_Mutation",10,90,0.111111111111111
"SMAD4","Frame_Shift_Del",6,90,0.0666666666666667
"SMAD4","Frame_Shift_Ins",2,90,0.0222222222222222
"SMAD4","Splice_Site",2,90,0.0222222222222222
"SMAD4","Nonstop_Mutation",1,90,0.0111111111111111
"ARID1A","Nonsense_Mutation",22,82,0.268292682926829
"ARID1A","Frame_Shift_Del",21,82,0.25609756097561
"ARID1A","Missense_Mutation",19,82,0.231707317073171
"ARID1A","Frame_Shift_Ins",16,82,0.195121951219512
"ARID1A","In_Frame_Del",3,82,0.0365853658536585
"ARID1A","In_Frame_Ins",1,82,0.0121951219512195
"KMT2A","Missense_Mutation",69,80,0.8625
"KMT2A","Frame_Shift_Del",4,80,0.05
"KMT2A","Nonsense_Mutation",4,80,0.05
"KMT2A","In_Frame_Del",2,80,0.025
"KMT2A","In_Frame_Ins",1,80,0.0125
"SETD2","Missense_Mutation",57,75,0.76
"SETD2","Nonsense_Mutation",7,75,0.0933333333333333
"SETD2","Frame_Shift_Del",6,75,0.08
"SETD2","Frame_Shift_Ins",2,75,0.0266666666666667
"SETD2","Splice_Site",2,75,0.0266666666666667
"SETD2","In_Frame_Del",1,75,0.0133333333333333
"RNF43","Frame_Shift_Del",30,73,0.410958904109589
"RNF43","Nonsense_Mutation",16,73,0.219178082191781
"RNF43","Missense_Mutation",15,73,0.205479452054795
"RNF43","Frame_Shift_Ins",9,73,0.123287671232877
"RNF43","Splice_Site",2,73,0.0273972602739726
"RNF43","In_Frame_Del",1,73,0.0136986301369863
"NF1","Missense_Mutation",40,70,0.571428571428571
"NF1","Nonsense_Mutation",15,70,0.214285714285714
"NF1","Frame_Shift_Del",6,70,0.0857142857142857
"NF1","Splice_Site",5,70,0.0714285714285714
"NF1","Frame_Shift_Ins",4,70,0.0571428571428571
"CREBBP","Missense_Mutation",47,64,0.734375
"CREBBP","Frame_Shift_Del",11,64,0.171875
"CREBBP","Splice_Site",3,64,0.046875
"CREBBP","Nonsense_Mutation",2,64,0.03125
"CREBBP","Frame_Shift_Ins",1,64,0.015625
"ALK","Missense_Mutation",52,63,0.825396825396825
"ALK","Nonsense_Mutation",6,63,0.0952380952380952
"ALK","Frame_Shift_Del",4,63,0.0634920634920635
"ALK","Frame_Shift_Ins",1,63,0.0158730158730159
"PTEN","Missense_Mutation",33,59,0.559322033898305
"PTEN","Frame_Shift_Del",12,59,0.203389830508475
"PTEN","Nonsense_Mutation",10,59,0.169491525423729
"PTEN","Splice_Site",2,59,0.0338983050847458
"PTEN","Frame_Shift_Ins",1,59,0.0169491525423729
"PTEN","In_Frame_Del",1,59,0.0169491525423729
"ATRX","Missense_Mutation",46,57,0.807017543859649
"ATRX","Nonsense_Mutation",4,57,0.0701754385964912
"ATRX","Frame_Shift_Del",3,57,0.0526315789473684
"ATRX","Splice_Site",3,57,0.0526315789473684
"ATRX","In_Frame_Del",1,57,0.0175438596491228
"CTNNB1","Missense_Mutation",41,56,0.732142857142857
"CTNNB1","Nonsense_Mutation",8,56,0.142857142857143
"CTNNB1","In_Frame_Del",3,56,0.0535714285714286
"CTNNB1","Splice_Site",2,56,0.0357142857142857
"CTNNB1","Frame_Shift_Del",1,56,0.0178571428571429
"CTNNB1","In_Frame_Ins",1,56,0.0178571428571429
"MTOR","Missense_Mutation",49,52,0.942307692307692
"MTOR","Frame_Shift_Ins",1,52,0.0192307692307692
"MTOR","In_Frame_Ins",1,52,0.0192307692307692
"MTOR","Nonsense_Mutation",1,52,0.0192307692307692
"EP300","Missense_Mutation",34,48,0.708333333333333
"EP300","Nonsense_Mutation",6,48,0.125
"EP300","Frame_Shift_Del",4,48,0.0833333333333333
"EP300","Frame_Shift_Ins",3,48,0.0625
"EP300","Splice_Site",1,48,0.0208333333333333
"BRAF","Missense_Mutation",39,43,0.906976744186046
"BRAF","Frame_Shift_Del",2,43,0.0465116279069767
"BRAF","In_Frame_Del",1,43,0.0232558139534884
"BRAF","Nonsense_Mutation",1,43,0.0232558139534884
"NOTCH1","Missense_Mutation",34,43,0.790697674418605
"NOTCH1","Frame_Shift_Del",5,43,0.116279069767442
"NOTCH1","Splice_Site",2,43,0.0465116279069767
"NOTCH1","Frame_Shift_Ins",1,43,0.0232558139534884
"NOTCH1","Nonsense_Mutation",1,43,0.0232558139534884
"PBRM1","Missense_Mutation",19,41,0.463414634146341
"PBRM1","Nonsense_Mutation",11,41,0.268292682926829
"PBRM1","Frame_Shift_Ins",4,41,0.0975609756097561
"PBRM1","Frame_Shift_Del",3,41,0.0731707317073171
"PBRM1","Splice_Site",3,41,0.0731707317073171
"PBRM1","In_Frame_Del",1,41,0.024390243902439
"ERBB2","Missense_Mutation",31,37,0.837837837837838
"ERBB2","In_Frame_Del",2,37,0.0540540540540541
"ERBB2","In_Frame_Ins",2,37,0.0540540540540541
"ERBB2","Frame_Shift_Ins",1,37,0.027027027027027
"ERBB2","Splice_Site",1,37,0.027027027027027
"PTCH1","Missense_Mutation",25,37,0.675675675675676
"PTCH1","Frame_Shift_Del",8,37,0.216216216216216
"PTCH1","Nonsense_Mutation",3,37,0.0810810810810811
"PTCH1","Frame_Shift_Ins",1,37,0.027027027027027
"RB1","Missense_Mutation",23,37,0.621621621621622
"RB1","Nonsense_Mutation",11,37,0.297297297297297
"RB1","Splice_Site",2,37,0.0540540540540541
"RB1","Frame_Shift_Ins",1,37,0.027027027027027
"TET2","Missense_Mutation",32,37,0.864864864864865
"TET2","Nonsense_Mutation",4,37,0.108108108108108
"TET2","Frame_Shift_Del",1,37,0.027027027027027
"ESR1","Missense_Mutation",30,35,0.857142857142857
"ESR1","Frame_Shift_Del",2,35,0.0571428571428571
"ESR1","Nonsense_Mutation",2,35,0.0571428571428571
"ESR1","Frame_Shift_Ins",1,35,0.0285714285714286
"BRCA1","Missense_Mutation",23,32,0.71875
"BRCA1","Nonsense_Mutation",5,32,0.15625
"BRCA1","Frame_Shift_Del",2,32,0.0625
"BRCA1","In_Frame_Del",1,32,0.03125
"BRCA1","Splice_Site",1,32,0.03125
"MAP3K1","Missense_Mutation",26,32,0.8125
"MAP3K1","Nonsense_Mutation",5,32,0.15625
"MAP3K1","Splice_Site",1,32,0.03125
"JAK2","Missense_Mutation",20,31,0.645161290322581
"JAK2","Nonsense_Mutation",6,31,0.193548387096774
"JAK2","Splice_Site",4,31,0.129032258064516
"JAK2","Frame_Shift_Ins",1,31,0.032258064516129
"AR","Missense_Mutation",30,30,1
"KDM6A","Missense_Mutation",19,30,0.633333333333333
"KDM6A","Frame_Shift_Del",5,30,0.166666666666667
"KDM6A","Frame_Shift_Ins",2,30,0.0666666666666667
"KDM6A","Nonsense_Mutation",2,30,0.0666666666666667
"KDM6A","In_Frame_Ins",1,30,0.0333333333333333
"KDM6A","Splice_Site",1,30,0.0333333333333333
"RET","Missense_Mutation",25,29,0.862068965517241
"RET","Frame_Shift_Del",1,29,0.0344827586206897
"RET","In_Frame_Del",1,29,0.0344827586206897
"RET","In_Frame_Ins",1,29,0.0344827586206897
"RET","Splice_Site",1,29,0.0344827586206897
"SMO","Missense_Mutation",23,29,0.793103448275862
"SMO","Frame_Shift_Del",4,29,0.137931034482759
"SMO","Frame_Shift_Ins",2,29,0.0689655172413793
"STAG2","Missense_Mutation",23,29,0.793103448275862
"STAG2","Nonsense_Mutation",4,29,0.137931034482759
"STAG2","Frame_Shift_Ins",1,29,0.0344827586206897
"STAG2","Splice_Site",1,29,0.0344827586206897
"FLT3","Missense_Mutation",22,28,0.785714285714286
"FLT3","Nonsense_Mutation",3,28,0.107142857142857
"FLT3","Frame_Shift_Del",2,28,0.0714285714285714
"FLT3","Frame_Shift_Ins",1,28,0.0357142857142857
"TSC1","Missense_Mutation",25,28,0.892857142857143
"TSC1","Nonsense_Mutation",2,28,0.0714285714285714
"TSC1","Frame_Shift_Del",1,28,0.0357142857142857
"ZNRF3","Missense_Mutation",13,26,0.5
"ZNRF3","Frame_Shift_Del",7,26,0.269230769230769
"ZNRF3","Nonsense_Mutation",4,26,0.153846153846154
"ZNRF3","Frame_Shift_Ins",1,26,0.0384615384615385
"ZNRF3","Splice_Site",1,26,0.0384615384615385
"CDH1","Missense_Mutation",18,24,0.75
"CDH1","Frame_Shift_Del",3,24,0.125
"CDH1","Frame_Shift_Ins",2,24,0.0833333333333333
"CDH1","Nonsense_Mutation",1,24,0.0416666666666667
"FGFR1","Missense_Mutation",21,24,0.875
"FGFR1","Frame_Shift_Del",1,24,0.0416666666666667
"FGFR1","In_Frame_Ins",1,24,0.0416666666666667
"FGFR1","Nonsense_Mutation",1,24,0.0416666666666667
"KIT","Missense_Mutation",19,24,0.791666666666667
"KIT","Nonsense_Mutation",2,24,0.0833333333333333
"KIT","Splice_Site",2,24,0.0833333333333333
"KIT","Frame_Shift_Del",1,24,0.0416666666666667
"NRAS","Missense_Mutation",23,24,0.958333333333333
"NRAS","Nonsense_Mutation",1,24,0.0416666666666667
"SF3B1","Missense_Mutation",22,24,0.916666666666667
"SF3B1","In_Frame_Del",1,24,0.0416666666666667
"SF3B1","Nonsense_Mutation",1,24,0.0416666666666667
"TSC2","Missense_Mutation",22,24,0.916666666666667
"TSC2","Frame_Shift_Del",1,24,0.0416666666666667
"TSC2","In_Frame_Del",1,24,0.0416666666666667
"TERT","Missense_Mutation",21,23,0.91304347826087
"TERT","Frame_Shift_Del",1,23,0.0434782608695652
"TERT","Splice_Site",1,23,0.0434782608695652
"GATA3","Missense_Mutation",15,19,0.789473684210526
"GATA3","Frame_Shift_Del",2,19,0.105263157894737
"GATA3","Frame_Shift_Ins",2,19,0.105263157894737
"GNAS","Missense_Mutation",18,18,1
"DNMT3A","Missense_Mutation",10,17,0.588235294117647
