"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",193,254,0.759842519685039
"TP53","Nonsense_Mutation",21,254,0.0826771653543307
"TP53","Frame_Shift_Del",16,254,0.062992125984252
"TP53","Splice_Site",14,254,0.0551181102362205
"TP53","Frame_Shift_Ins",4,254,0.015748031496063
"TP53","Splice_Region",4,254,0.015748031496063
"TP53","In_Frame_Del",2,254,0.0078740157480315
"IDH1","Missense_Mutation",188,188,1
"ATRX","Frame_Shift_Del",53,123,0.430894308943089
"ATRX","Missense_Mutation",27,123,0.219512195121951
"ATRX","Nonsense_Mutation",20,123,0.16260162601626
"ATRX","Frame_Shift_Ins",11,123,0.0894308943089431
"ATRX","Splice_Site",11,123,0.0894308943089431
"ATRX","Splice_Region",1,123,0.00813008130081301
"EGFR","Missense_Mutation",103,114,0.903508771929825
"EGFR","Splice_Region",5,114,0.043859649122807
"EGFR","Splice_Site",4,114,0.0350877192982456
"EGFR","In_Frame_Del",1,114,0.0087719298245614
"EGFR","In_Frame_Ins",1,114,0.0087719298245614
"PTEN","Missense_Mutation",49,107,0.457943925233645
"PTEN","Frame_Shift_Del",14,107,0.130841121495327
"PTEN","Nonsense_Mutation",14,107,0.130841121495327
"PTEN","Splice_Region",8,107,0.0747663551401869
"PTEN","Splice_Site",7,107,0.0654205607476635
"PTEN","Frame_Shift_Ins",6,107,0.0560747663551402
"PTEN","In_Frame_Del",6,107,0.0560747663551402
"PTEN","Translation_Start_Site",2,107,0.0186915887850467
"PTEN","In_Frame_Ins",1,107,0.00934579439252336
"NF1","Missense_Mutation",28,94,0.297872340425532
"NF1","Nonsense_Mutation",19,94,0.202127659574468
"NF1","Frame_Shift_Del",18,94,0.191489361702128
"NF1","Splice_Site",17,94,0.180851063829787
"NF1","In_Frame_Del",5,94,0.0531914893617021
"NF1","Splice_Region",5,94,0.0531914893617021
"NF1","Frame_Shift_Ins",2,94,0.0212765957446809
"KMT2D","Missense_Mutation",57,63,0.904761904761905
"KMT2D","Splice_Site",3,63,0.0476190476190476
"KMT2D","Splice_Region",2,63,0.0317460317460317
"KMT2D","Nonsense_Mutation",1,63,0.0158730158730159
"KMT2C","Missense_Mutation",49,58,0.844827586206897
