"gene","mutationType","mutation_records","total_records","fraction"
"CTNNB1","Missense_Mutation",48,51,0.941176470588235
"CTNNB1","Nonsense_Mutation",2,51,0.0392156862745098
"CTNNB1","In_Frame_Del",1,51,0.0196078431372549
"TP53","Missense_Mutation",32,45,0.711111111111111
"TP53","Nonsense_Mutation",8,45,0.177777777777778
"TP53","Splice_Site",4,45,0.0888888888888889
"TP53","Frame_Shift_Del",1,45,0.0222222222222222
"ARID1A","Nonsense_Mutation",9,28,0.321428571428571
"ARID1A","Frame_Shift_Del",7,28,0.25
"ARID1A","Frame_Shift_Ins",7,28,0.25
"ARID1A","Missense_Mutation",4,28,0.142857142857143
"ARID1A","Splice_Site",1,28,0.0357142857142857
"APC","Missense_Mutation",7,11,0.636363636363636
"APC","Frame_Shift_Ins",2,11,0.181818181818182
"APC","Nonsense_Mutation",2,11,0.181818181818182
"ATM","Missense_Mutation",6,9,0.666666666666667
"ATM","Nonsense_Mutation",1,9,0.111111111111111
"ATM","Splice_Region",1,9,0.111111111111111
"ATM","Splice_Site",1,9,0.111111111111111
"KMT2D","Missense_Mutation",5,8,0.625
"KMT2D","Frame_Shift_Del",2,8,0.25
"KMT2D","Nonsense_Mutation",1,8,0.125
"SETD2","Missense_Mutation",5,8,0.625
"SETD2","Frame_Shift_Del",2,8,0.25
"SETD2","Frame_Shift_Ins",1,8,0.125
"ALK","Missense_Mutation",6,7,0.857142857142857
"ALK","Nonsense_Mutation",1,7,0.142857142857143
"FAT1","Missense_Mutation",7,7,1
"EP300","Missense_Mutation",5,6,0.833333333333333
"EP300","Nonsense_Mutation",1,6,0.166666666666667
"KMT2C","Missense_Mutation",6,6,1
"SF3B1","Missense_Mutation",6,6,1
"TSC2","Missense_Mutation",3,6,0.5
"TSC2","Frame_Shift_Ins",1,6,0.166666666666667
"TSC2","Nonsense_Mutation",1,6,0.166666666666667
"TSC2","Splice_Region",1,6,0.166666666666667
"KEAP1","Missense_Mutation",5,5,1
"MTOR","Missense_Mutation",4,5,0.8
"MTOR","Nonsense_Mutation",1,5,0.2
"NF1","Missense_Mutation",4,5,0.8
"NF1","Frame_Shift_Ins",1,5,0.2
"RNF43","Missense_Mutation",3,5,0.6
"RNF43","Frame_Shift_Del",1,5,0.2
"RNF43","Frame_Shift_Ins",1,5,0.2
"BRCA1","Missense_Mutation",3,4,0.75
"BRCA1","Frame_Shift_Del",1,4,0.25
"CREBBP","Missense_Mutation",3,4,0.75
"CREBBP","Nonsense_Mutation",1,4,0.25
"DNMT3A","Missense_Mutation",4,4,1
"KMT2A","Missense_Mutation",3,4,0.75
"KMT2A","Nonsense_Mutation",1,4,0.25
"PIK3CA","Missense_Mutation",4,4,1
"TSC1","Frame_Shift_Del",2,4,0.5
"TSC1","Nonsense_Mutation",2,4,0.5
"AR","Missense_Mutation",3,3,1
"CDKN2A","Frame_Shift_Del",2,3,0.666666666666667
"CDKN2A","Missense_Mutation",1,3,0.333333333333333
"GNAS","Missense_Mutation",3,3,1
"KIT","Missense_Mutation",2,3,0.666666666666667
"KIT","Nonsense_Mutation",1,3,0.333333333333333
"MAP3K1","In_Frame_Del",1,3,0.333333333333333
"MAP3K1","Missense_Mutation",1,3,0.333333333333333
"MAP3K1","Splice_Region",1,3,0.333333333333333
"NOTCH1","Missense_Mutation",3,3,1
"NPM1","Missense_Mutation",3,3,1
"PBRM1","Nonsense_Mutation",2,3,0.666666666666667
"PBRM1","Missense_Mutation",1,3,0.333333333333333
"PTEN","Frame_Shift_Del",1,3,0.333333333333333
"PTEN","In_Frame_Del",1,3,0.333333333333333
"PTEN","Missense_Mutation",1,3,0.333333333333333
"RB1","Frame_Shift_Ins",1,3,0.333333333333333
"RB1","Missense_Mutation",1,3,0.333333333333333
"RB1","Nonsense_Mutation",1,3,0.333333333333333
"SMAD4","Missense_Mutation",2,3,0.666666666666667
"SMAD4","Nonsense_Mutation",1,3,0.333333333333333
"TERT","Frame_Shift_Del",2,3,0.666666666666667
"TERT","Missense_Mutation",1,3,0.333333333333333
"ZNRF3","Missense_Mutation",3,3,1
"ATRX","Missense_Mutation",2,2,1
"BAP1","Missense_Mutation",2,2,1
"BRCA2","Missense_Mutation",1,2,0.5
"BRCA2","Nonsense_Mutation",1,2,0.5
"ESR1","Missense_Mutation",2,2,1
"GATA3","Missense_Mutation",2,2,1
"JAK2","Missense_Mutation",2,2,1
"NRAS","Missense_Mutation",1,2,0.5
"NRAS","Splice_Site",1,2,0.5
"PRKAR1A","Frame_Shift_Del",1,2,0.5
"PRKAR1A","Missense_Mutation",1,2,0.5
"TET2","Missense_Mutation",2,2,1
"BCL2","Missense_Mutation",1,1,1
"CD79B","Missense_Mutation",1,1,1
"CDH1","Missense_Mutation",1,1,1
"EGFR","Missense_Mutation",1,1,1
"ERBB2","Missense_Mutation",1,1,1
"FBXW7","Frame_Shift_Del",1,1,1
"FGFR1","Frame_Shift_Del",1,1,1
"FGFR2","Missense_Mutation",1,1,1
"FLT3","Missense_Mutation",1,1,1
"FOXA1","Missense_Mutation",1,1,1
"IDH2","Missense_Mutation",1,1,1
"KDM6A","Missense_Mutation",1,1,1
"MDM2","In_Frame_Del",1,1,1
"MEN1","Missense_Mutation",1,1,1
"MYD88","Missense_Mutation",1,1,1
"PTCH1","Nonsense_Mutation",1,1,1
"RET","Missense_Mutation",1,1,1
"RUNX1","Missense_Mutation",1,1,1
"SMO","Missense_Mutation",1,1,1
"STAG2","Nonsense_Mutation",1,1,1
"WT1","Missense_Mutation",1,1,1
