"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",61,76,0.802631578947368
"TP53","Nonsense_Mutation",6,76,0.0789473684210526
"TP53","Splice_Site",5,76,0.0657894736842105
"TP53","Frame_Shift_Del",4,76,0.0526315789473684
"KMT2D","Missense_Mutation",9,15,0.6
"KMT2D","Nonsense_Mutation",6,15,0.4
"ARID1A","Frame_Shift_Ins",6,14,0.428571428571429
"ARID1A","Nonsense_Mutation",4,14,0.285714285714286
"ARID1A","Frame_Shift_Del",2,14,0.142857142857143
"ARID1A","Missense_Mutation",2,14,0.142857142857143
"RB1","Nonsense_Mutation",8,14,0.571428571428571
"RB1","Splice_Site",3,14,0.214285714285714
"RB1","Frame_Shift_Del",2,14,0.142857142857143
"RB1","Frame_Shift_Ins",1,14,0.0714285714285714
"KEAP1","Missense_Mutation",12,12,1
"PTEN","Missense_Mutation",9,11,0.818181818181818
"PTEN","Frame_Shift_Del",1,11,0.0909090909090909
"PTEN","Nonsense_Mutation",1,11,0.0909090909090909
"CTNNB1","Missense_Mutation",9,9,1
"NF1","Missense_Mutation",7,8,0.875
"NF1","Splice_Site",1,8,0.125
"IDH1","Missense_Mutation",7,7,1
"BAP1","Frame_Shift_Del",2,6,0.333333333333333
"BAP1","Nonsense_Mutation",2,6,0.333333333333333
"BAP1","Splice_Site",2,6,0.333333333333333
"PBRM1","Missense_Mutation",4,6,0.666666666666667
"PBRM1","Frame_Shift_Ins",1,6,0.166666666666667
"PBRM1","Nonsense_Mutation",1,6,0.166666666666667
"TERT","Missense_Mutation",6,6,1
"BRAF","Missense_Mutation",4,4,1
"EGFR","Missense_Mutation",4,4,1
"EZH2","Missense_Mutation",3,4,0.75
"EZH2","Nonsense_Mutation",1,4,0.25
"ALK","Splice_Site",2,3,0.666666666666667
"ALK","Frame_Shift_Del",1,3,0.333333333333333
"ATRX","Missense_Mutation",3,3,1
"CDKN2A","Missense_Mutation",1,3,0.333333333333333
"CDKN2A","Nonsense_Mutation",1,3,0.333333333333333
"CDKN2A","Splice_Site",1,3,0.333333333333333
"DNMT3A","Missense_Mutation",2,3,0.666666666666667
"DNMT3A","Nonsense_Mutation",1,3,0.333333333333333
"JAK2","Missense_Mutation",3,3,1
"MEN1","Missense_Mutation",3,3,1
"PIK3CA","Missense_Mutation",3,3,1
"BRCA1","Nonsense_Mutation",2,2,1
"CEBPA","In_Frame_Ins",2,2,1
"FBXW7","Missense_Mutation",2,2,1
"KDM6A","Frame_Shift_Del",2,2,1
"KIT","Missense_Mutation",2,2,1
"NOTCH1","Missense_Mutation",1,2,0.5
"NOTCH1","Nonsense_Mutation",1,2,0.5
"RUNX1","Frame_Shift_Del",1,2,0.5
"RUNX1","Missense_Mutation",1,2,0.5
"STAG2","Splice_Site",2,2,1
"ZNRF3","Nonsense_Mutation",1,2,0.5
"ZNRF3","Splice_Site",1,2,0.5
"APC","Missense_Mutation",1,1,1
"CD79B","In_Frame_Del",1,1,1
"CDK4","Missense_Mutation",1,1,1
"ESR1","Missense_Mutation",1,1,1
"FGFR3","Missense_Mutation",1,1,1
"GATA3","Missense_Mutation",1,1,1
"IDH2","Missense_Mutation",1,1,1
"KMT2C","Nonsense_Mutation",1,1,1
"MAP3K1","Splice_Site",1,1,1
"MTOR","Nonsense_Mutation",1,1,1
"NRAS","Missense_Mutation",1,1,1
"RNF43","Missense_Mutation",1,1,1
"SMAD4","Missense_Mutation",1,1,1
"VHL","Missense_Mutation",1,1,1
"WT1","Missense_Mutation",1,1,1
