"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",252,436,0.577981651376147
"TP53","Nonsense_Mutation",69,436,0.158256880733945
"TP53","Frame_Shift_Del",44,436,0.100917431192661
"TP53","Splice_Site",32,436,0.073394495412844
"TP53","Frame_Shift_Ins",20,436,0.0458715596330275
"TP53","In_Frame_Del",8,436,0.018348623853211
"TP53","Splice_Region",8,436,0.018348623853211
"TP53","In_Frame_Ins",2,436,0.00458715596330275
"TP53","Translation_Start_Site",1,436,0.00229357798165138
"CDKN2A","Nonsense_Mutation",59,112,0.526785714285714
"CDKN2A","Missense_Mutation",22,112,0.196428571428571
"CDKN2A","Frame_Shift_Del",14,112,0.125
"CDKN2A","Splice_Site",11,112,0.0982142857142857
"CDKN2A","Frame_Shift_Ins",4,112,0.0357142857142857
"CDKN2A","In_Frame_Del",2,112,0.0178571428571429
"PIK3CA","Missense_Mutation",92,94,0.978723404255319
"PIK3CA","Frame_Shift_Ins",1,94,0.0106382978723404
"PIK3CA","In_Frame_Del",1,94,0.0106382978723404
