"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",29,44,0.659090909090909
"TP53","Nonsense_Mutation",6,44,0.136363636363636
"TP53","Splice_Site",6,44,0.136363636363636
"TP53","Frame_Shift_Del",1,44,0.0227272727272727
"TP53","In_Frame_Del",1,44,0.0227272727272727
"TP53","Splice_Region",1,44,0.0227272727272727
"KRAS","Missense_Mutation",17,17,1
"ARID1A","Nonsense_Mutation",5,8,0.625
"ARID1A","Frame_Shift_Del",1,8,0.125
"ARID1A","Missense_Mutation",1,8,0.125
"ARID1A","Splice_Site",1,8,0.125
"PTEN","Nonsense_Mutation",3,7,0.428571428571429
"PTEN","Missense_Mutation",2,7,0.285714285714286
"PTEN","Splice_Site",2,7,0.285714285714286
"IDH1","Missense_Mutation",5,5,1
"RB1","Nonsense_Mutation",2,5,0.4
"RB1","Frame_Shift_Del",1,5,0.2
"RB1","Frame_Shift_Ins",1,5,0.2
"RB1","Splice_Site",1,5,0.2
"KMT2C","Missense_Mutation",3,4,0.75
"KMT2C","Nonsense_Mutation",1,4,0.25
"NF1","In_Frame_Del",1,4,0.25
"NF1","Missense_Mutation",1,4,0.25
"NF1","Nonsense_Mutation",1,4,0.25
"NF1","Splice_Site",1,4,0.25
"PIK3CA","Missense_Mutation",4,4,1
"SMAD4","Missense_Mutation",3,4,0.75
"SMAD4","Frame_Shift_Del",1,4,0.25
"ATM","Nonsense_Mutation",2,3,0.666666666666667
"ATM","Missense_Mutation",1,3,0.333333333333333
"BRCA2","Missense_Mutation",2,3,0.666666666666667
"BRCA2","Nonsense_Mutation",1,3,0.333333333333333
"KMT2D","Missense_Mutation",3,3,1
"SETD2","Nonsense_Mutation",2,3,0.666666666666667
"SETD2","Missense_Mutation",1,3,0.333333333333333
"TSC1","In_Frame_Del",1,3,0.333333333333333
"TSC1","Missense_Mutation",1,3,0.333333333333333
"TSC1","Nonsense_Mutation",1,3,0.333333333333333
"ALK","Missense_Mutation",2,2,1
"BRAF","Missense_Mutation",2,2,1
"EGFR","Missense_Mutation",2,2,1
"KMT2A","Missense_Mutation",2,2,1
"NRAS","Missense_Mutation",2,2,1
"PBRM1","Frame_Shift_Del",1,2,0.5
"PBRM1","Splice_Site",1,2,0.5
"PTCH1","Missense_Mutation",2,2,1
"RUNX1","Missense_Mutation",2,2,1
"STK11","Missense_Mutation",2,2,1
"APC","Frame_Shift_Del",1,1,1
"AR","Missense_Mutation",1,1,1
"BAP1","Frame_Shift_Del",1,1,1
"ESR1","Missense_Mutation",1,1,1
"FAT1","Missense_Mutation",1,1,1
"FGFR3","Missense_Mutation",1,1,1
"FLT3","Splice_Region",1,1,1
"GNAS","Missense_Mutation",1,1,1
"KIT","Missense_Mutation",1,1,1
"MTOR","Missense_Mutation",1,1,1
"SF3B1","Missense_Mutation",1,1,1
"SMO","Missense_Mutation",1,1,1
"SUFU","Missense_Mutation",1,1,1
"TSC2","Missense_Mutation",1,1,1
