"gene","mutationType","mutation_records","total_records","fraction"
"FLT3","In_Frame_Ins",29,61,0.475409836065574
"FLT3","Missense_Mutation",22,61,0.360655737704918
"FLT3","Nonsense_Mutation",6,61,0.0983606557377049
"FLT3","Splice_Region",2,61,0.0327868852459016
"FLT3","In_Frame_Del",1,61,0.0163934426229508
"FLT3","Splice_Site",1,61,0.0163934426229508
"DNMT3A","Missense_Mutation",43,56,0.767857142857143
"DNMT3A","Nonsense_Mutation",6,56,0.107142857142857
"DNMT3A","Frame_Shift_Del",4,56,0.0714285714285714
"DNMT3A","Splice_Site",3,56,0.0535714285714286
"NPM1","Frame_Shift_Ins",54,56,0.964285714285714
"NPM1","Missense_Mutation",1,56,0.0178571428571429
"NPM1","Nonsense_Mutation",1,56,0.0178571428571429
"TET2","Frame_Shift_Del",10,27,0.37037037037037
"TET2","Nonsense_Mutation",8,27,0.296296296296296
"TET2","Frame_Shift_Ins",4,27,0.148148148148148
"TET2","Missense_Mutation",4,27,0.148148148148148
"TET2","Splice_Region",1,27,0.037037037037037
"TP53","Missense_Mutation",11,20,0.55
"TP53","Splice_Site",3,20,0.15
"TP53","Frame_Shift_Del",2,20,0.1
"TP53","Frame_Shift_Ins",2,20,0.1
"TP53","Nonsense_Mutation",1,20,0.05
"TP53","Splice_Region",1,20,0.05
"IDH1","Missense_Mutation",19,19,1
