"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",17,25,0.68
"TP53","Nonsense_Mutation",4,25,0.16
"TP53","Splice_Site",2,25,0.08
"TP53","Frame_Shift_Del",1,25,0.04
"TP53","Frame_Shift_Ins",1,25,0.04
"ALK","Missense_Mutation",8,8,1
"ATRX","Missense_Mutation",5,8,0.625
"ATRX","Nonsense_Mutation",2,8,0.25
"ATRX","Frame_Shift_Del",1,8,0.125
"KMT2D","Missense_Mutation",4,6,0.666666666666667
"KMT2D","Frame_Shift_Del",1,6,0.166666666666667
"KMT2D","Frame_Shift_Ins",1,6,0.166666666666667
"CREBBP","Frame_Shift_Del",1,5,0.2
"CREBBP","Frame_Shift_Ins",1,5,0.2
"CREBBP","Missense_Mutation",1,5,0.2
"CREBBP","Nonsense_Mutation",1,5,0.2
"CREBBP","Splice_Site",1,5,0.2
"ATM","Missense_Mutation",3,4,0.75
"ATM","Splice_Site",1,4,0.25
"BRAF","Missense_Mutation",2,4,0.5
"BRAF","Frame_Shift_Del",1,4,0.25
"BRAF","Splice_Site",1,4,0.25
"BRCA2","Nonsense_Mutation",2,4,0.5
"BRCA2","Missense_Mutation",1,4,0.25
"BRCA2","Splice_Site",1,4,0.25
"KIT","Missense_Mutation",4,4,1
"TERT","5'Flank",3,4,0.75
"TERT","Missense_Mutation",1,4,0.25
"CTNNB1","Missense_Mutation",2,3,0.666666666666667
"CTNNB1","In_Frame_Del",1,3,0.333333333333333
"EZH2","Frame_Shift_Del",2,3,0.666666666666667
"EZH2","Missense_Mutation",1,3,0.333333333333333
"NF1","Frame_Shift_Del",2,3,0.666666666666667
"NF1","Nonsense_Mutation",1,3,0.333333333333333
"NOTCH1","Frame_Shift_Ins",1,3,0.333333333333333
"NOTCH1","In_Frame_Ins",1,3,0.333333333333333
"NOTCH1","Missense_Mutation",1,3,0.333333333333333
"RB1","Frame_Shift_Del",1,3,0.333333333333333
"RB1","Missense_Mutation",1,3,0.333333333333333
"RB1","Nonsense_Mutation",1,3,0.333333333333333
"TSC1","Missense_Mutation",2,3,0.666666666666667
"TSC1","Nonsense_Mutation",1,3,0.333333333333333
"TSC2","Missense_Mutation",3,3,1
"AR","In_Frame_Ins",1,2,0.5
"AR","Missense_Mutation",1,2,0.5
"ARID1A","Frame_Shift_Del",1,2,0.5
"ARID1A","Missense_Mutation",1,2,0.5
"EP300","Frame_Shift_Del",1,2,0.5
"EP300","Splice_Site",1,2,0.5
"KRAS","Missense_Mutation",2,2,1
"MAP3K1","Splice_Site",2,2,1
"MTOR","Missense_Mutation",2,2,1
"PIK3CA","Missense_Mutation",2,2,1
"STAG2","Missense_Mutation",2,2,1
"STK11","Frame_Shift_Ins",1,2,0.5
"STK11","Missense_Mutation",1,2,0.5
"APC","Missense_Mutation",1,1,1
"CDH1","Missense_Mutation",1,1,1
"EGFR","Splice_Site",1,1,1
"NRAS","Missense_Mutation",1,1,1
"PBRM1","Splice_Site",1,1,1
"PTCH1","Frame_Shift_Del",1,1,1
"RNF43","Missense_Mutation",1,1,1
"TET2","Missense_Mutation",1,1,1
