"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",58,67,0.865671641791045
"TP53","Nonsense_Mutation",3,67,0.0447761194029851
"TP53","Splice_Site",3,67,0.0447761194029851
"TP53","Frame_Shift_Ins",2,67,0.0298507462686567
"TP53","Frame_Shift_Del",1,67,0.0149253731343284
"RET","Missense_Mutation",59,64,0.921875
"RET","In_Frame_Del",5,64,0.078125
"ARID1A","Missense_Mutation",17,33,0.515151515151515
"ARID1A","Nonsense_Mutation",9,33,0.272727272727273
"ARID1A","Frame_Shift_Del",3,33,0.0909090909090909
"ARID1A","In_Frame_Ins",2,33,0.0606060606060606
"ARID1A","Frame_Shift_Ins",1,33,0.0303030303030303
"ARID1A","In_Frame_Del",1,33,0.0303030303030303
"GATA3","Missense_Mutation",24,26,0.923076923076923
"GATA3","Splice_Site",2,26,0.0769230769230769
"NF1","Missense_Mutation",12,22,0.545454545454545
"NF1","Nonsense_Mutation",8,22,0.363636363636364
"NF1","Splice_Site",2,22,0.0909090909090909
"PIK3CA","Missense_Mutation",18,18,1
"KRAS","Missense_Mutation",15,17,0.882352941176471
"KRAS","In_Frame_Del",2,17,0.117647058823529
"PTEN","Missense_Mutation",12,17,0.705882352941177
"PTEN","Nonsense_Mutation",2,17,0.117647058823529
"PTEN","Splice_Site",2,17,0.117647058823529
"PTEN","Frame_Shift_Del",1,17,0.0588235294117647
"TSC2","Missense_Mutation",13,16,0.8125
"TSC2","Frame_Shift_Del",2,16,0.125
"TSC2","In_Frame_Ins",1,16,0.0625
"ATM","Frame_Shift_Del",8,15,0.533333333333333
"ATM","Missense_Mutation",7,15,0.466666666666667
"BRCA2","Missense_Mutation",12,13,0.923076923076923
"BRCA2","Nonsense_Mutation",1,13,0.0769230769230769
"KEAP1","Missense_Mutation",12,13,0.923076923076923
"KEAP1","Nonsense_Mutation",1,13,0.0769230769230769
"SETD2","Nonsense_Mutation",4,13,0.307692307692308
"SETD2","Frame_Shift_Del",3,13,0.230769230769231
"SETD2","Missense_Mutation",3,13,0.230769230769231
"SETD2","Frame_Shift_Ins",2,13,0.153846153846154
"SETD2","In_Frame_Del",1,13,0.0769230769230769
"APC","Missense_Mutation",6,9,0.666666666666667
"APC","Nonsense_Mutation",2,9,0.222222222222222
"APC","Frame_Shift_Del",1,9,0.111111111111111
"BCL2","Missense_Mutation",8,8,1
"AR","Missense_Mutation",5,7,0.714285714285714
"AR","Frame_Shift_Del",1,7,0.142857142857143
"AR","In_Frame_Ins",1,7,0.142857142857143
"SF3B1","Missense_Mutation",7,7,1
"SMAD4","Missense_Mutation",2,6,0.333333333333333
"SMAD4","Nonsense_Mutation",2,6,0.333333333333333
"SMAD4","Frame_Shift_Ins",1,6,0.166666666666667
"SMAD4","Splice_Site",1,6,0.166666666666667
"ALK","Missense_Mutation",5,5,1
"CDKN2A","Missense_Mutation",4,5,0.8
"CDKN2A","Nonsense_Mutation",1,5,0.2
"KDM6A","Missense_Mutation",5,5,1
"RB1","Nonsense_Mutation",4,5,0.8
"RB1","Frame_Shift_Del",1,5,0.2
"STK11","Missense_Mutation",4,5,0.8
"STK11","Nonsense_Mutation",1,5,0.2
"TERT","5'Flank",5,5,1
"BRAF","Missense_Mutation",4,4,1
"BRCA1","Missense_Mutation",4,4,1
"FGFR1","Missense_Mutation",4,4,1
"KIT","Missense_Mutation",4,4,1
"CDH1","Missense_Mutation",3,3,1
"CREBBP","Nonsense_Mutation",3,3,1
"EP300","Missense_Mutation",2,3,0.666666666666667
"EP300","Nonsense_Mutation",1,3,0.333333333333333
"KMT2D","Frame_Shift_Del",1,3,0.333333333333333
"KMT2D","Missense_Mutation",1,3,0.333333333333333
"KMT2D","Nonsense_Mutation",1,3,0.333333333333333
"CTNNB1","Missense_Mutation",2,2,1
"EGFR","Missense_Mutation",2,2,1
"FAT1","Missense_Mutation",2,2,1
"FBXW7","Missense_Mutation",2,2,1
"FGFR3","In_Frame_Del",1,2,0.5
"FGFR3","Missense_Mutation",1,2,0.5
"KMT2A","Missense_Mutation",2,2,1
"MDM2","Missense_Mutation",2,2,1
"PBRM1","Missense_Mutation",2,2,1
"PTCH1","Missense_Mutation",2,2,1
"DNMT3A","Missense_Mutation",1,1,1
"FGFR2","Missense_Mutation",1,1,1
"KMT2C","Missense_Mutation",1,1,1
"MAP3K1","Missense_Mutation",1,1,1
"NRAS","Missense_Mutation",1,1,1
"SMO","In_Frame_Del",1,1,1
"TSC1","Nonsense_Mutation",1,1,1
