"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",403,648,0.621913580246914
"TP53","Nonsense_Mutation",112,648,0.172839506172839
"TP53","Frame_Shift_Del",71,648,0.109567901234568
"TP53","Splice_Site",36,648,0.0555555555555556
"TP53","Frame_Shift_Ins",22,648,0.0339506172839506
"TP53","In_Frame_Del",4,648,0.00617283950617284
"EGFR","Missense_Mutation",173,337,0.513353115727003
"EGFR","In_Frame_Del",136,337,0.403560830860534
"EGFR","In_Frame_Ins",21,337,0.0623145400593472
"EGFR","Frame_Shift_Del",5,337,0.0148367952522255
"EGFR","Nonsense_Mutation",2,337,0.00593471810089021
"KRAS","Missense_Mutation",231,231,1
"ARID1A","Nonsense_Mutation",60,175,0.342857142857143
"ARID1A","Missense_Mutation",53,175,0.302857142857143
"ARID1A","Frame_Shift_Del",39,175,0.222857142857143
"ARID1A","Frame_Shift_Ins",19,175,0.108571428571429
"ARID1A","Splice_Site",4,175,0.0228571428571429
"KEAP1","Missense_Mutation",83,112,0.741071428571429
"KEAP1","Frame_Shift_Del",15,112,0.133928571428571
"KEAP1","Nonsense_Mutation",12,112,0.107142857142857
"KEAP1","Frame_Shift_Ins",2,112,0.0178571428571429
"STK11","Nonsense_Mutation",35,112,0.3125
"STK11","Missense_Mutation",23,112,0.205357142857143
"STK11","Splice_Site",20,112,0.178571428571429
"STK11","Frame_Shift_Del",17,112,0.151785714285714
"STK11","Frame_Shift_Ins",15,112,0.133928571428571
"STK11","In_Frame_Del",2,112,0.0178571428571429
"PIK3CA","Missense_Mutation",110,111,0.990990990990991
"PIK3CA","Nonsense_Mutation",1,111,0.00900900900900901
"ATM","Missense_Mutation",70,108,0.648148148148148
"ATM","Nonsense_Mutation",13,108,0.12037037037037
"ATM","Splice_Site",12,108,0.111111111111111
"ATM","Frame_Shift_Del",9,108,0.0833333333333333
"ATM","Frame_Shift_Ins",3,108,0.0277777777777778
"ATM","Translation_Start_Site",1,108,0.00925925925925926
"TERT","5'Flank",95,107,0.88785046728972
"TERT","Missense_Mutation",12,107,0.11214953271028
"KDM6A","Missense_Mutation",35,99,0.353535353535354
"KDM6A","Frame_Shift_Ins",27,99,0.272727272727273
"KDM6A","Frame_Shift_Del",18,99,0.181818181818182
"KDM6A","Nonsense_Mutation",13,99,0.131313131313131
"KDM6A","Splice_Site",6,99,0.0606060606060606
"FGFR3","Missense_Mutation",97,97,1
"SMAD4","Missense_Mutation",54,86,0.627906976744186
"SMAD4","Nonsense_Mutation",15,86,0.174418604651163
"SMAD4","Frame_Shift_Del",9,86,0.104651162790698
"SMAD4","Frame_Shift_Ins",4,86,0.0465116279069767
"SMAD4","In_Frame_Del",3,86,0.0348837209302326
"SMAD4","Splice_Site",1,86,0.0116279069767442
"APC","Missense_Mutation",37,84,0.44047619047619
"APC","Nonsense_Mutation",19,84,0.226190476190476
"APC","Frame_Shift_Del",16,84,0.19047619047619
"APC","Frame_Shift_Ins",12,84,0.142857142857143
"BRCA2","Missense_Mutation",42,83,0.506024096385542
"BRCA2","Nonsense_Mutation",15,83,0.180722891566265
"BRCA2","Frame_Shift_Del",13,83,0.156626506024096
"BRCA2","Splice_Site",8,83,0.0963855421686747
"BRCA2","Frame_Shift_Ins",4,83,0.0481927710843374
"BRCA2","In_Frame_Del",1,83,0.0120481927710843
"RB1","Frame_Shift_Del",23,83,0.27710843373494
