"gene","mutationType","mutation_records","total_records","fraction"
"KRAS","Missense_Mutation",103,103,1
"TP53","Missense_Mutation",39,55,0.709090909090909
"TP53","Nonsense_Mutation",10,55,0.181818181818182
"TP53","Frame_Shift_Del",5,55,0.0909090909090909
"TP53","Frame_Shift_Ins",1,55,0.0181818181818182
"SMAD4","Nonsense_Mutation",10,22,0.454545454545455
"SMAD4","Missense_Mutation",8,22,0.363636363636364
"SMAD4","Frame_Shift_Ins",3,22,0.136363636363636
"SMAD4","Frame_Shift_Del",1,22,0.0454545454545455
"CDKN2A","Missense_Mutation",3,7,0.428571428571429
"CDKN2A","Nonsense_Mutation",3,7,0.428571428571429
"CDKN2A","Frame_Shift_Del",1,7,0.142857142857143
"RNF43","Missense_Mutation",3,6,0.5
"RNF43","Frame_Shift_Del",1,6,0.166666666666667
"RNF43","Frame_Shift_Ins",1,6,0.166666666666667
"RNF43","Nonsense_Mutation",1,6,0.166666666666667
"GNAS","Missense_Mutation",5,5,1
