"gene","mutationType","mutation_records","total_records","fraction"
"TERT","5'Flank",1209,1249,0.967974379503603
"TERT","Missense_Mutation",35,1249,0.0280224179343475
"TERT","Frame_Shift_Del",2,1249,0.00160128102481986
"TERT","Nonsense_Mutation",1,1249,0.000800640512409928
"TERT","Splice_Region",1,1249,0.000800640512409928
"TERT","Splice_Site",1,1249,0.000800640512409928
"TP53","Missense_Mutation",697,1006,0.692842942345924
"TP53","Nonsense_Mutation",167,1006,0.166003976143141
"TP53","Frame_Shift_Del",62,1006,0.0616302186878728
"TP53","Splice_Site",52,1006,0.0516898608349901
"TP53","In_Frame_Del",12,1006,0.0119284294234592
"TP53","Frame_Shift_Ins",11,1006,0.010934393638171
"TP53","In_Frame_Ins",4,1006,0.00397614314115308
"TP53","Nonstop_Mutation",1,1006,0.00099403578528827
"KMT2D","Missense_Mutation",251,614,0.408794788273616
"KMT2D","Nonsense_Mutation",202,614,0.328990228013029
"KMT2D","Frame_Shift_Del",105,614,0.171009771986971
"KMT2D","Frame_Shift_Ins",29,614,0.0472312703583062
"KMT2D","Splice_Site",19,614,0.0309446254071661
"KMT2D","In_Frame_Del",8,614,0.0130293159609121
"ARID1A","Nonsense_Mutation",236,611,0.386252045826514
"ARID1A","Missense_Mutation",161,611,0.263502454991817
"ARID1A","Frame_Shift_Del",125,611,0.204582651391162
"ARID1A","Frame_Shift_Ins",63,611,0.103109656301146
"ARID1A","Splice_Site",17,611,0.027823240589198
"ARID1A","In_Frame_Del",8,611,0.0130932896890344
"ARID1A","Nonstop_Mutation",1,611,0.0016366612111293
"KDM6A","Nonsense_Mutation",184,549,0.335154826958106
"KDM6A","Missense_Mutation",111,549,0.202185792349727
"KDM6A","Frame_Shift_Del",103,549,0.187613843351548
"KDM6A","Frame_Shift_Ins",83,549,0.151183970856102
"KDM6A","Splice_Site",55,549,0.100182149362477
"KDM6A","In_Frame_Del",7,549,0.0127504553734062
"KDM6A","In_Frame_Ins",5,549,0.00910746812386157
"KDM6A","Nonstop_Mutation",1,549,0.00182149362477231
"FGFR3","Missense_Mutation",421,430,0.97906976744186
"FGFR3","Frame_Shift_Ins",3,430,0.00697674418604651
"FGFR3","Frame_Shift_Del",2,430,0.00465116279069767
"FGFR3","Nonsense_Mutation",2,430,0.00465116279069767
"FGFR3","In_Frame_Ins",1,430,0.00232558139534884
"FGFR3","Splice_Site",1,430,0.00232558139534884
"PIK3CA","Missense_Mutation",351,355,0.988732394366197
"PIK3CA","In_Frame_Del",3,355,0.00845070422535211
"PIK3CA","Frame_Shift_Ins",1,355,0.0028169014084507
"RB1","Nonsense_Mutation",139,338,0.411242603550296
"RB1","Splice_Site",66,338,0.195266272189349
"RB1","Frame_Shift_Del",56,338,0.165680473372781
"RB1","Missense_Mutation",53,338,0.156804733727811
"RB1","Frame_Shift_Ins",19,338,0.0562130177514793
"RB1","Translation_Start_Site",3,338,0.00887573964497041
"RB1","Splice_Region",2,338,0.00591715976331361
