"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",3875,6246,0.620397054114633
"TP53","Nonsense_Mutation",873,6246,0.139769452449568
"TP53","Frame_Shift_Del",564,6246,0.090297790585975
"TP53","Splice_Site",484,6246,0.0774895933397374
"TP53","Frame_Shift_Ins",200,6246,0.032020493115594
"TP53","In_Frame_Del",116,6246,0.0185718860070445
"TP53","Splice_Region",114,6246,0.0182516810758886
"TP53","In_Frame_Ins",18,6246,0.00288184438040346
"TP53","Nonstop_Mutation",2,6246,0.00032020493115594
"APC","Nonsense_Mutation",833,1822,0.457189901207464
"APC","Frame_Shift_Del",406,1822,0.222832052689352
"APC","Missense_Mutation",292,1822,0.1602634467618
"APC","Frame_Shift_Ins",220,1822,0.120746432491767
"APC","Splice_Site",44,1822,0.0241492864983535
"APC","Splice_Region",24,1822,0.013172338090011
"APC","In_Frame_Del",2,1822,0.00109769484083425
"APC","Nonstop_Mutation",1,1822,0.000548847420417124
"KRAS","Missense_Mutation",1731,1739,0.995399654974123
"KRAS","In_Frame_Del",4,1739,0.00230017251293847
"KRAS","Frame_Shift_Del",1,1739,0.000575043128234618
"KRAS","In_Frame_Ins",1,1739,0.000575043128234618
"KRAS","Nonsense_Mutation",1,1739,0.000575043128234618
"KRAS","Splice_Site",1,1739,0.000575043128234618
"EGFR","Missense_Mutation",851,1326,0.641779788838612
"EGFR","In_Frame_Del",397,1326,0.299396681749623
"EGFR","In_Frame_Ins",41,1326,0.030920060331825
"EGFR","Splice_Region",21,1326,0.0158371040723982
"EGFR","Frame_Shift_Del",5,1326,0.00377073906485671
"EGFR","Nonsense_Mutation",5,1326,0.00377073906485671
"EGFR","Splice_Site",4,1326,0.00301659125188537
"EGFR","Frame_Shift_Ins",2,1326,0.00150829562594268
"KMT2D","Missense_Mutation",583,1209,0.48221670802316
"KMT2D","Nonsense_Mutation",234,1209,0.193548387096774
"KMT2D","Frame_Shift_Del",218,1209,0.180314309346567
"KMT2D","Frame_Shift_Ins",72,1209,0.0595533498759305
"KMT2D","Splice_Region",46,1209,0.0380479735318445
"KMT2D","Splice_Site",33,1209,0.0272952853598015
"KMT2D","In_Frame_Del",21,1209,0.0173697270471464
"KMT2D","In_Frame_Ins",2,1209,0.00165425971877585
"ARID1A","Frame_Shift_Del",349,1134,0.307760141093474
"ARID1A","Nonsense_Mutation",312,1134,0.275132275132275
"ARID1A","Missense_Mutation",240,1134,0.211640211640212
"ARID1A","Frame_Shift_Ins",171,1134,0.150793650793651
"ARID1A","Splice_Site",38,1134,0.0335097001763668
"ARID1A","In_Frame_Del",14,1134,0.0123456790123457
"ARID1A","Splice_Region",8,1134,0.00705467372134039
"ARID1A","In_Frame_Ins",2,1134,0.0017636684303351
"PIK3CA","Missense_Mutation",1039,1090,0.953211009174312
"PIK3CA","In_Frame_Del",28,1090,0.0256880733944954
"PIK3CA","Splice_Region",9,1090,0.00825688073394495
"PIK3CA","Nonsense_Mutation",7,1090,0.00642201834862385
"PIK3CA","Frame_Shift_Ins",3,1090,0.00275229357798165
"PIK3CA","In_Frame_Ins",2,1090,0.0018348623853211
"PIK3CA","Frame_Shift_Del",1,1090,0.000917431192660551
"PIK3CA","Splice_Site",1,1090,0.000917431192660551
"TERT","5'Flank",738,961,0.767950052029136
"TERT","Missense_Mutation",198,961,0.206035379812695
"TERT","Splice_Region",17,961,0.0176899063475546
"TERT","Frame_Shift_Del",4,961,0.00416233090530697
"TERT","Nonsense_Mutation",3,961,0.00312174817898023
"TERT","Splice_Site",1,961,0.00104058272632674
"KMT2C","Missense_Mutation",515,960,0.536458333333333
"KMT2C","Nonsense_Mutation",156,960,0.1625
"KMT2C","Splice_Region",139,960,0.144791666666667
"KMT2C","Frame_Shift_Del",90,960,0.09375
"KMT2C","Frame_Shift_Ins",31,960,0.0322916666666667
"KMT2C","Splice_Site",24,960,0.025
"KMT2C","In_Frame_Del",5,960,0.00520833333333333
"FAT1","Missense_Mutation",475,735,0.646258503401361
"FAT1","Nonsense_Mutation",112,735,0.152380952380952
"FAT1","Frame_Shift_Del",74,735,0.100680272108844
"FAT1","Frame_Shift_Ins",31,735,0.0421768707482993
"FAT1","Splice_Region",22,735,0.0299319727891156
"FAT1","Splice_Site",15,735,0.0204081632653061
"FAT1","In_Frame_Del",4,735,0.0054421768707483
"FAT1","In_Frame_Ins",1,735,0.00136054421768707
"FAT1","Translation_Start_Site",1,735,0.00136054421768707
"SMAD4","Missense_Mutation",416,735,0.565986394557823
"SMAD4","Nonsense_Mutation",140,735,0.19047619047619
"SMAD4","Frame_Shift_Del",84,735,0.114285714285714
"SMAD4","Splice_Site",38,735,0.0517006802721088
"SMAD4","Frame_Shift_Ins",35,735,0.0476190476190476
"SMAD4","In_Frame_Del",8,735,0.0108843537414966
"SMAD4","Splice_Region",7,735,0.00952380952380952
"SMAD4","In_Frame_Ins",3,735,0.00408163265306122
"SMAD4","Nonstop_Mutation",3,735,0.00408163265306122
"SMAD4","Translation_Start_Site",1,735,0.00136054421768707
"RB1","Nonsense_Mutation",207,706,0.293201133144476
"RB1","Splice_Site",145,706,0.205382436260623
"RB1","Missense_Mutation",136,706,0.192634560906516
"RB1","Frame_Shift_Del",121,706,0.171388101983003
"RB1","Splice_Region",46,706,0.0651558073654391
"RB1","Frame_Shift_Ins",42,706,0.0594900849858357
"RB1","In_Frame_Del",8,706,0.0113314447592068
