"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",28,38,0.736842105263158
"TP53","Nonsense_Mutation",5,38,0.131578947368421
"TP53","Frame_Shift_Del",3,38,0.0789473684210526
"TP53","Frame_Shift_Ins",2,38,0.0526315789473684
"KMT2D","Missense_Mutation",7,10,0.7
"KMT2D","Nonsense_Mutation",2,10,0.2
"KMT2D","Frame_Shift_Del",1,10,0.1
"KMT2C","Missense_Mutation",7,9,0.777777777777778
"KMT2C","Nonsense_Mutation",1,9,0.111111111111111
"KMT2C","Splice_Site",1,9,0.111111111111111
"AR","Missense_Mutation",4,8,0.5
"AR","In_Frame_Del",2,8,0.25
"AR","In_Frame_Ins",2,8,0.25
"CTNNB1","Missense_Mutation",8,8,1
"FOXA1","Frame_Shift_Del",4,8,0.5
"FOXA1","In_Frame_Del",2,8,0.25
"FOXA1","Missense_Mutation",2,8,0.25
"TSC1","Missense_Mutation",5,7,0.714285714285714
"TSC1","Splice_Site",2,7,0.285714285714286
"APC","Frame_Shift_Del",3,6,0.5
"APC","Missense_Mutation",2,6,0.333333333333333
"APC","Nonsense_Mutation",1,6,0.166666666666667
"CDH1","Missense_Mutation",4,6,0.666666666666667
"CDH1","Nonsense_Mutation",1,6,0.166666666666667
"CDH1","Splice_Site",1,6,0.166666666666667
"CREBBP","Missense_Mutation",6,6,1
"FAT1","Missense_Mutation",5,6,0.833333333333333
"FAT1","Frame_Shift_Ins",1,6,0.166666666666667
"SETD2","Missense_Mutation",4,6,0.666666666666667
"SETD2","Frame_Shift_Del",2,6,0.333333333333333
"BRAF","Missense_Mutation",5,5,1
"BRCA2","Frame_Shift_Del",2,5,0.4
"BRCA2","Missense_Mutation",2,5,0.4
"BRCA2","In_Frame_Del",1,5,0.2
"NOTCH1","Missense_Mutation",3,5,0.6
"NOTCH1","Nonsense_Mutation",2,5,0.4
"TET2","Missense_Mutation",5,5,1
"ATM","Missense_Mutation",3,4,0.75
"ATM","Nonsense_Mutation",1,4,0.25
"EGFR","Frame_Shift_Del",3,4,0.75
"EGFR","Missense_Mutation",1,4,0.25
"NF1","Missense_Mutation",4,4,1
"PIK3CA","In_Frame_Del",3,4,0.75
"PIK3CA","Missense_Mutation",1,4,0.25
"PTEN","Frame_Shift_Del",3,4,0.75
"PTEN","Missense_Mutation",1,4,0.25
"BAP1","Missense_Mutation",3,3,1
"FGFR1","Missense_Mutation",2,3,0.666666666666667
"FGFR1","Splice_Region",1,3,0.333333333333333
"FLT3","Missense_Mutation",3,3,1
"JAK2","Missense_Mutation",3,3,1
"MEN1","Missense_Mutation",2,3,0.666666666666667
"MEN1","Nonsense_Mutation",1,3,0.333333333333333
"RB1","Frame_Shift_Del",2,3,0.666666666666667
"RB1","Nonsense_Mutation",1,3,0.333333333333333
"RET","Missense_Mutation",3,3,1
"TERT","Missense_Mutation",2,3,0.666666666666667
"TERT","Splice_Site",1,3,0.333333333333333
"EP300","Missense_Mutation",2,2,1
"KDM6A","Splice_Site",2,2,1
"KEAP1","Missense_Mutation",2,2,1
"KMT2A","Missense_Mutation",2,2,1
"MTOR","Missense_Mutation",2,2,1
"PRKAR1A","Missense_Mutation",1,2,0.5
"PRKAR1A","Splice_Site",1,2,0.5
"PTCH1","Missense_Mutation",2,2,1
"SF3B1","Missense_Mutation",2,2,1
"WT1","Missense_Mutation",2,2,1
"ZNRF3","Missense_Mutation",2,2,1
"ALK","Missense_Mutation",1,1,1
"ATRX","Missense_Mutation",1,1,1
"BRCA1","Missense_Mutation",1,1,1
"CDK4","Missense_Mutation",1,1,1
"CDKN2A","Missense_Mutation",1,1,1
"DNMT3A","Missense_Mutation",1,1,1
"ERBB2","Missense_Mutation",1,1,1
"FGFR3","Frame_Shift_Ins",1,1,1
"GNAS","Missense_Mutation",1,1,1
"PBRM1","Missense_Mutation",1,1,1
"RUNX1","Missense_Mutation",1,1,1
"SMAD4","Missense_Mutation",1,1,1
"SMO","Missense_Mutation",1,1,1
"SPOP","Missense_Mutation",1,1,1
"STAG2","Missense_Mutation",1,1,1
"STK11","Missense_Mutation",1,1,1
"SUFU","Missense_Mutation",1,1,1
"TSC2","In_Frame_Del",1,1,1
