"gene","mutationType","mutation_records","total_records","fraction"
"TP53","Missense_Mutation",39,73,0.534246575342466
"TP53","Splice_Site",12,73,0.164383561643836
"TP53","Nonsense_Mutation",8,73,0.10958904109589
"TP53","Frame_Shift_Del",7,73,0.0958904109589041
"TP53","In_Frame_Del",5,73,0.0684931506849315
"TP53","Frame_Shift_Ins",2,73,0.0273972602739726
"ATRX","Nonsense_Mutation",13,34,0.382352941176471
"ATRX","Missense_Mutation",9,34,0.264705882352941
"ATRX","Frame_Shift_Del",6,34,0.176470588235294
"ATRX","Splice_Site",4,34,0.117647058823529
"ATRX","Frame_Shift_Ins",2,34,0.0588235294117647
"RB1","Nonsense_Mutation",7,19,0.368421052631579
"RB1","Frame_Shift_Del",5,19,0.263157894736842
"RB1","Splice_Site",5,19,0.263157894736842
"RB1","Frame_Shift_Ins",1,19,0.0526315789473684
"RB1","Missense_Mutation",1,19,0.0526315789473684
"NF1","Missense_Mutation",3,6,0.5
"NF1","Frame_Shift_Del",2,6,0.333333333333333
"NF1","Frame_Shift_Ins",1,6,0.166666666666667
"CDK4","Missense_Mutation",1,1,1
"MDM2","Missense_Mutation",1,1,1
