"gene","mutationType","mutation_records","total_records","fraction"
"ARID1A","Frame_Shift_Del",29,47,0.617021276595745
"ARID1A","Frame_Shift_Ins",8,47,0.170212765957447
"ARID1A","Nonsense_Mutation",7,47,0.148936170212766
"ARID1A","Missense_Mutation",3,47,0.0638297872340425
"PTEN","Missense_Mutation",18,41,0.439024390243902
"PTEN","Frame_Shift_Del",10,41,0.24390243902439
"PTEN","Frame_Shift_Ins",6,41,0.146341463414634
"PTEN","Nonsense_Mutation",3,41,0.0731707317073171
"PTEN","In_Frame_Del",2,41,0.0487804878048781
"PTEN","Splice_Site",2,41,0.0487804878048781
"PIK3CA","Missense_Mutation",25,27,0.925925925925926
"PIK3CA","In_Frame_Del",1,27,0.037037037037037
"PIK3CA","In_Frame_Ins",1,27,0.037037037037037
"KMT2D","Frame_Shift_Del",11,25,0.44
"KMT2D","Missense_Mutation",9,25,0.36
"KMT2D","Frame_Shift_Ins",3,25,0.12
"KMT2D","Nonsense_Mutation",2,25,0.08
"NF1","Missense_Mutation",7,16,0.4375
"NF1","Frame_Shift_Del",4,16,0.25
"NF1","Frame_Shift_Ins",4,16,0.25
"NF1","Nonsense_Mutation",1,16,0.0625
"RNF43","Frame_Shift_Del",10,12,0.833333333333333
"RNF43","Frame_Shift_Ins",1,12,0.0833333333333333
"RNF43","Nonsense_Mutation",1,12,0.0833333333333333
"FAT1","Missense_Mutation",10,11,0.909090909090909
"FAT1","Nonsense_Mutation",1,11,0.0909090909090909
"KMT2C","Missense_Mutation",5,11,0.454545454545455
"KMT2C","Frame_Shift_Del",4,11,0.363636363636364
"KMT2C","Frame_Shift_Ins",1,11,0.0909090909090909
"KMT2C","Nonsense_Mutation",1,11,0.0909090909090909
"PTCH1","Frame_Shift_Del",6,11,0.545454545454545
"PTCH1","Missense_Mutation",3,11,0.272727272727273
"PTCH1","Frame_Shift_Ins",1,11,0.0909090909090909
"PTCH1","In_Frame_Del",1,11,0.0909090909090909
"ATM","Missense_Mutation",6,10,0.6
"ATM","Frame_Shift_Del",2,10,0.2
"ATM","Nonsense_Mutation",1,10,0.1
"ATM","Splice_Site",1,10,0.1
"CREBBP","Missense_Mutation",5,10,0.5
"CREBBP","Frame_Shift_Del",3,10,0.3
"CREBBP","In_Frame_Del",1,10,0.1
"CREBBP","Nonsense_Mutation",1,10,0.1
"ERBB2","Missense_Mutation",8,10,0.8
"ERBB2","Frame_Shift_Del",1,10,0.1
"ERBB2","Frame_Shift_Ins",1,10,0.1
"NOTCH1","Missense_Mutation",6,10,0.6
"NOTCH1","Frame_Shift_Del",3,10,0.3
"NOTCH1","In_Frame_Del",1,10,0.1
"ALK","Missense_Mutation",6,9,0.666666666666667
"ALK","Frame_Shift_Del",1,9,0.111111111111111
"ALK","In_Frame_Del",1,9,0.111111111111111
"ALK","Nonsense_Mutation",1,9,0.111111111111111
"KEAP1","Missense_Mutation",8,9,0.888888888888889
"KEAP1","Nonsense_Mutation",1,9,0.111111111111111
"MTOR","Missense_Mutation",7,9,0.777777777777778
"MTOR","Frame_Shift_Del",1,9,0.111111111111111
"MTOR","Nonsense_Mutation",1,9,0.111111111111111
"BRCA2","Missense_Mutation",3,8,0.375
"BRCA2","Frame_Shift_Del",2,8,0.25
"BRCA2","Frame_Shift_Ins",2,8,0.25
"BRCA2","Splice_Site",1,8,0.125
"KDM6A","Frame_Shift_Del",4,8,0.5
"KDM6A","Missense_Mutation",3,8,0.375
"KDM6A","Splice_Site",1,8,0.125
"KRAS","Missense_Mutation",8,8,1
"CTNNB1","Missense_Mutation",6,7,0.857142857142857
"CTNNB1","In_Frame_Del",1,7,0.142857142857143
"PBRM1","Frame_Shift_Del",3,7,0.428571428571429
"PBRM1","Missense_Mutation",2,7,0.285714285714286
"PBRM1","Frame_Shift_Ins",1,7,0.142857142857143
"PBRM1","Nonsense_Mutation",1,7,0.142857142857143
"TP53","Missense_Mutation",5,7,0.714285714285714
"TP53","Frame_Shift_Del",1,7,0.142857142857143
"TP53","Splice_Site",1,7,0.142857142857143
"APC","Missense_Mutation",5,6,0.833333333333333
"APC","Nonsense_Mutation",1,6,0.166666666666667
"ATRX","Missense_Mutation",6,6,1
"EP300","Missense_Mutation",4,6,0.666666666666667
"EP300","Frame_Shift_Del",1,6,0.166666666666667
"EP300","Nonsense_Mutation",1,6,0.166666666666667
"TSC2","Missense_Mutation",6,6,1
"FGFR2","Missense_Mutation",5,5,1
"KMT2A","Missense_Mutation",4,5,0.8
"KMT2A","Frame_Shift_Del",1,5,0.2
"MAP3K1","Frame_Shift_Del",2,5,0.4
"MAP3K1","Missense_Mutation",2,5,0.4
"MAP3K1","Nonsense_Mutation",1,5,0.2
"RB1","Frame_Shift_Ins",2,5,0.4
"RB1","Missense_Mutation",2,5,0.4
"RB1","Nonsense_Mutation",1,5,0.2
"BRAF","Missense_Mutation",2,4,0.5
"BRAF","Frame_Shift_Del",1,4,0.25
"BRAF","Nonsense_Mutation",1,4,0.25
"FBXW7","Missense_Mutation",4,4,1
"RET","In_Frame_Del",2,4,0.5
"RET","Missense_Mutation",2,4,0.5
"SF3B1","Missense_Mutation",4,4,1
"SMAD4","Frame_Shift_Del",2,4,0.5
"SMAD4","Missense_Mutation",1,4,0.25
"SMAD4","Nonsense_Mutation",1,4,0.25
"SMO","Missense_Mutation",3,4,0.75
"SMO","Frame_Shift_Del",1,4,0.25
"SPOP","Missense_Mutation",3,4,0.75
"SPOP","Frame_Shift_Del",1,4,0.25
"TET2","Missense_Mutation",4,4,1
"TSC1","Missense_Mutation",3,4,0.75
"TSC1","Frame_Shift_Del",1,4,0.25
"AR","Missense_Mutation",3,3,1
"BRCA1","Missense_Mutation",3,3,1
"CDKN2A","Frame_Shift_Del",1,3,0.333333333333333
"CDKN2A","Frame_Shift_Ins",1,3,0.333333333333333
"CDKN2A","Missense_Mutation",1,3,0.333333333333333
"ESR1","Missense_Mutation",3,3,1
"GATA3","Frame_Shift_Del",1,3,0.333333333333333
"GATA3","Frame_Shift_Ins",1,3,0.333333333333333
"GATA3","Missense_Mutation",1,3,0.333333333333333
"IDH1","Frame_Shift_Del",2,3,0.666666666666667
"IDH1","Missense_Mutation",1,3,0.333333333333333
"IDH2","Missense_Mutation",2,3,0.666666666666667
"IDH2","Frame_Shift_Del",1,3,0.333333333333333
"MEN1","Frame_Shift_Del",1,3,0.333333333333333
"MEN1","Frame_Shift_Ins",1,3,0.333333333333333
"MEN1","Missense_Mutation",1,3,0.333333333333333
"SETD2","Frame_Shift_Del",2,3,0.666666666666667
"SETD2","Missense_Mutation",1,3,0.333333333333333
"STAG2","Missense_Mutation",3,3,1
"TERT","Missense_Mutation",3,3,1
"BAP1","Missense_Mutation",2,2,1
"CDH1","Missense_Mutation",1,2,0.5
"CDH1","Nonsense_Mutation",1,2,0.5
"CDK4","In_Frame_Del",1,2,0.5
"CDK4","Missense_Mutation",1,2,0.5
"FOXA1","Frame_Shift_Ins",1,2,0.5
"FOXA1","Missense_Mutation",1,2,0.5
"PIM1","Missense_Mutation",1,2,0.5
"PIM1","Nonsense_Mutation",1,2,0.5
"RUNX1","Missense_Mutation",2,2,1
"DNMT3A","Missense_Mutation",1,1,1
"EZH2","Missense_Mutation",1,1,1
"FGFR3","Missense_Mutation",1,1,1
"HRAS","Missense_Mutation",1,1,1
"JAK2","Missense_Mutation",1,1,1
"KIT","Missense_Mutation",1,1,1
"NRAS","Missense_Mutation",1,1,1
"STK11","Missense_Mutation",1,1,1
"SUFU","Missense_Mutation",1,1,1
"WT1","Missense_Mutation",1,1,1
