"gene","mutationType","mutation_records","total_records","fraction"
"KMT2D","Nonsense_Mutation",12,17,0.705882352941177
"KMT2D","Frame_Shift_Ins",2,17,0.117647058823529
"KMT2D","Missense_Mutation",2,17,0.117647058823529
"KMT2D","Frame_Shift_Del",1,17,0.0588235294117647
"FGFR3","Missense_Mutation",12,12,1
"TP53","Missense_Mutation",10,12,0.833333333333333
"TP53","Nonsense_Mutation",1,12,0.0833333333333333
"TP53","Splice_Site",1,12,0.0833333333333333
"ARID1A","Missense_Mutation",9,11,0.818181818181818
"ARID1A","Frame_Shift_Del",2,11,0.181818181818182
"ATM","Missense_Mutation",7,10,0.7
"ATM","Splice_Site",2,10,0.2
"ATM","Nonsense_Mutation",1,10,0.1
"PIK3CA","Missense_Mutation",8,8,1
"ERBB2","Missense_Mutation",4,4,1
"KDM6A","Splice_Site",2,4,0.5
"KDM6A","Frame_Shift_Ins",1,4,0.25
"KDM6A","Nonsense_Mutation",1,4,0.25
"KMT2C","Frame_Shift_Ins",1,4,0.25
"KMT2C","Missense_Mutation",1,4,0.25
"KMT2C","Nonsense_Mutation",1,4,0.25
"KMT2C","Splice_Site",1,4,0.25
"NF1","Missense_Mutation",2,4,0.5
"NF1","Nonsense_Mutation",2,4,0.5
"BAP1","Missense_Mutation",3,3,1
"GNAS","Missense_Mutation",3,3,1
"KMT2A","Missense_Mutation",2,3,0.666666666666667
"KMT2A","Nonsense_Mutation",1,3,0.333333333333333
"KRAS","Missense_Mutation",3,3,1
"STAG2","Nonsense_Mutation",2,3,0.666666666666667
"STAG2","Frame_Shift_Del",1,3,0.333333333333333
"CREBBP","Missense_Mutation",2,2,1
"FBXW7","Missense_Mutation",2,2,1
"PBRM1","Missense_Mutation",2,2,1
"RB1","Missense_Mutation",1,2,0.5
"RB1","Nonsense_Mutation",1,2,0.5
"TSC1","Frame_Shift_Del",1,2,0.5
"TSC1","Nonsense_Mutation",1,2,0.5
"APC","Missense_Mutation",1,1,1
"AR","Missense_Mutation",1,1,1
"BRAF","Missense_Mutation",1,1,1
"CDKN2A","Missense_Mutation",1,1,1
"CEBPA","Missense_Mutation",1,1,1
"EP300","Nonsense_Mutation",1,1,1
"FGFR2","Missense_Mutation",1,1,1
"FOXA1","Missense_Mutation",1,1,1
"HRAS","Missense_Mutation",1,1,1
"MDM2","Missense_Mutation",1,1,1
"MTOR","Missense_Mutation",1,1,1
"PRKAR1A","Missense_Mutation",1,1,1
"PTEN","Missense_Mutation",1,1,1
"SF3B1","Missense_Mutation",1,1,1
"SMAD4","Missense_Mutation",1,1,1
"SMO","Missense_Mutation",1,1,1
"TERT","Missense_Mutation",1,1,1
"TET2","Missense_Mutation",1,1,1
