"sample","feature","value"
"S1","G1",-1.2994671663866
"S2","G1",-0.980259420704382
"S3","G1",-0.0497413311797875
"S4","G1",-0.920136175341082
"S5","G1",-0.885700006876861
"S6","G1",-0.233419158233815
"S7","G1",-0.319228659606533
"S8","G1",-0.0950924509900002
"S9","G1",1.35887825323089
"S10","G1",0.400857537454346
"S1","G2",-0.00919961041405924
"S2","G2",-0.467930652672904
"S3","G2",2.06536748935254
"S4","G2",1.43507135236825
"S5","G2",-0.015987640116951
"S6","G2",-0.895339757483083
"S7","G2",-1.52198366581258
"S8","G2",-0.672471444447001
"S9","G2",-0.515390337822443
"S10","G2",-0.672727903616347
"S1","G3",0.493931425488921
"S2","G3",0.0985991040083759
"S3","G3",1.71470424046242
"S4","G3",0.084232154660924
"S5","G3",-0.0498592215546025
"S6","G3",-1.00848346095313
"S7","G3",1.71239001924952
"S8","G3",1.24838648793597
"S9","G3",-0.508033848946277
"S10","G3",-0.762086496014684
"S1","G4",-2.03478353577471
"S2","G4",0.424919172608708
"S3","G4",0.553182132408591
"S4","G4",-0.0964567892990263
"S5","G4",0.0371699262833769
"S6","G4",-0.655609539017387
"S7","G4",0.473973130913545
"S8","G4",0.0606106633305364
"S9","G4",-0.285365719053718
"S10","G4",0.939752300609446
"S1","G5",2.37282753722209
"S2","G5",-0.520098935270496
"S3","G5",-1.19869935907604
"S4","G5",-1.20093562102921
"S5","G5",-0.711374403180038
"S6","G5",-0.0400102530285751
"S7","G5",-1.39914237569109
"S8","G5",1.5117908946587
"S9","G5",-0.929669773349588
"S10","G5",0.703103525274365
"S1","G6",-0.150396895578675
"S2","G6",0.81585024707663
"S3","G6",-0.388842429890907
"S4","G6",0.704501161735586
"S5","G6",1.32601510426291
"S6","G6",0.957810177815948
"S7","G6",-0.529212984888735
"S8","G6",0.287542831051416
"S9","G6",-1.09489666128606
"S10","G6",-2.34013715995365
"S1","G7",0.847448546360367
"S2","G7",-0.570793882241879
"S3","G7",-0.225306904867406
"S4","G7",0.677811919091908
"S5","G7",-0.712460442039194
"S6","G7",0.723540462433023
"S7","G7",0.256464531747939
"S8","G7",1.3594926349247
"S9","G7",0.116621905268205
"S10","G7",1.20388520439937
"S1","G8",-1.65032419619053
"S2","G8",-2.04411783441172
"S3","G8",0.5208127805711
"S4","G8",0.36613828334706
"S5","G8",-1.12125758019661
"S6","G8",0.595665531649441
"S7","G8",0.600288034896623
"S8","G8",0.0191488364340368
"S9","G8",0.778615213178118
"S10","G8",0.356880284155674
"S1","G9",1.29697800467516
"S2","G9",-0.535877365490584
"S3","G9",0.993013541602549
"S4","G9",-0.175963534220314
"S5","G9",-1.27210452571043
"S6","G9",-1.69531817839144
"S7","G9",-1.201188064186
"S8","G9",-0.148508666121072
"S9","G9",-0.542334864281523
"S10","G9",-0.642920530431522
"S1","G10",0.546548023878546
"S2","G10",0.00510561380228019
"S3","G10",0.186844309202013
"S4","G10",1.16037488600383
"S5","G10",1.4541345677269
"S6","G10",0.581349201962312
"S7","G10",0.0863958428851282
"S8","G10",1.48162238366098
"S9","G10",-1.4263409761196
"S10","G10",-1.78396483960724
"S1","G11",-0.241203417344274
"S2","G11",-0.488332737612814
"S3","G11",-1.01897586375291
"S4","G11",1.13732166386547
"S5","G11",-0.104685173910497
"S6","G11",1.17437108305528
"S7","G11",-0.367710332104363
"S8","G11",0.376272577162509
"S9","G11",1.3269856103065
"S10","G11",1.11660550797535
"S1","G12",0.616232981619276
"S2","G12",-0.316576083532685
"S3","G12",-1.63448662626319
"S4","G12",-0.582668575627442
"S5","G12",-1.33230604606735
"S6","G12",-0.575324105535011
"S7","G12",-0.228716882923254
"S8","G12",1.11592072470399
"S9","G12",0.0127354177978572
"S10","G12",-0.111477274571325
"S1","G13",-1.30248126103043
"S2","G13",0.584997729464492
"S3","G13",1.50469217023406
"S4","G13",0.62037261220485
"S5","G13",0.852410885759929
"S6","G13",1.07633123185283
"S7","G13",-1.7019468774622
"S8","G13",-0.243760612670708
"S9","G13",-1.16624501434643
"S10","G13",-1.25890418268517
"S1","G14",-1.24553157316719
"S2","G14",0.625011109943867
"S3","G14",0.848898800748841
"S4","G14",-0.0570432707767368
"S5","G14",0.437564264621388
"S6","G14",0.548058007445698
"S7","G14",0.819404196028012
"S8","G14",1.10502731925553
"S9","G14",1.42493171041256
"S10","G14",-0.135463877347465
