"cell","cluster","umap_1","umap_2","IL7R","GNLY","MS4A1"
"cell_1_1","Naive CD4+ T",-1.59301078669807,1.59872028918054,2.31260322661518,0.824999772521439,0.00245144135169273
"cell_1_2","Naive CD4+ T",-1.98271771130799,1.72313147645001,1.5540367032763,0.0445705868507463,0
"cell_1_3","Naive CD4+ T",-1.75540448776572,1.41252586927563,2.01246830591755,0,0.986696071886061
"cell_1_4","Naive CD4+ T",-1.86796820335038,1.15063994517655,1.72327578039732,0,0.0661634966505325
"cell_1_5","Naive CD4+ T",-1.80637628248559,1.16440612147962,2.31011379130843,0.556504996992415,0
"cell_1_6","Naive CD4+ T",-1.84312844329595,1.59526011712563,2.23082865742586,0,0
"cell_1_7","Naive CD4+ T",-1.28842396367225,1.20364322774395,2.35926279899854,0,0.547067875258719
"cell_1_8","Naive CD4+ T",-2.41126969139902,1.59407194077054,2.20833131687563,0.381376298858407,0.248347735966603
"cell_1_9","Naive CD4+ T",-2.06090790755623,1.64608302153824,2.62603488267741,0.180873794936582,0.507410485627727
"cell_1_10","Naive CD4+ T",-1.98354966638587,1.5030877725459,2.67746680742007,0,0.443345804537755
"cell_1_11","Naive CD4+ T",-1.63884072929734,1.86007789458799,2.3862262377286,0.502567869737445,0.54862028824017
"cell_1_12","Naive CD4+ T",-2.20368895126388,1.73736360743703,3.30774395932746,0.263677065289987,0
"cell_1_13","Naive CD4+ T",-1.78695776380512,1.54623583196587,3.06887656157405,0.392701913593499,0.503243684601642
"cell_1_14","Naive CD4+ T",-2.08141070023255,1.56817071120772,1.72018596142826,0.926958148816071,0.273269351717643
"cell_1_15","Naive CD4+ T",-1.69609141927465,1.02137708572751,3.30679230137541,0.192848455378883,0.245608135436839
"cell_1_16","Naive CD4+ T",-2.64475326178928,1.27522102702192,2.12840696584744,0.215354372122016,0
"cell_1_17","Naive CD4+ T",-1.90705091824672,0.911126995092642,2.64771337106601,0,0.204521869383341
"cell_1_18","Naive CD4+ T",-2.4502091478703,1.64097952265366,2.71154453619069,0.479479769182762,0
"cell_1_19","Naive CD4+ T",-1.7030656446288,1.62601324913765,3.28150473870863,0.595751152783155,0
"cell_1_20","Naive CD4+ T",-1.8747505205997,1.51793236401492,3.23102221668977,0,0
"cell_1_21","Naive CD4+ T",-2.31691831461089,1.16111676603708,2.43476104191389,0.12188669799709,0.0226805665973326
"cell_1_22","Naive CD4+ T",-2.47822350882221,0.978306424583297,3.18375039622707,0,0.128382553230186
"cell_1_23","Naive CD4+ T",-2.18088959979431,1.62393113088554,1.80514426421938,0,0
"cell_1_24","Naive CD4+ T",-2.05441718300694,1.82791964935597,2.79085279232294,0,0.644449622417451
"cell_1_25","Naive CD4+ T",-2.26792467634296,1.54126882752262,2.85633436682878,0.565278733552845,0.187874383139733
"cell_1_26","Naive CD4+ T",-1.63504743414634,1.47896584350913,2.76019270392023,0.237234194790228,0.109190687590815
"cell_1_27","Naive CD4+ T",-2.23215526486539,1.47248342257727,1.29609014162395,0,0
"cell_1_28","Naive CD4+ T",-2.8009339169083,1.7439530833882,2.05726718583127,0.565670614111499,0.707032266794641
"cell_1_29","Naive CD4+ T",-2.60584478614209,1.34018970832863,2.53817617474595,0.908838981210188,0.509680251868656
"cell_1_30","Naive CD4+ T",-1.95927267173246,1.20447679459962,2.50478553739439,0,0.235315206051484
"cell_1_31","Naive CD4+ T",-2.11148165083703,1.55513949057055,2.04893525600232,0.407855201984711,0
"cell_1_32","Naive CD4+ T",-1.93403790283915,1.30129882724146,2.50698006170109,0.403058848182196,0
"cell_1_33","Naive CD4+ T",-2.22580632846153,1.62303898857468,2.80666738707005,0.235619510851137,0.121852081905479
"cell_1_34","Naive CD4+ T",-1.94377656909293,1.93074581208056,2.58703437169186,0,0.482433323801558
"cell_1_35","Naive CD4+ T",-2.19940178092353,1.63396674288871,2.66794537108256,0,0
"cell_1_36","Naive CD4+ T",-2.64106026070866,1.7366665833838,2.30683494702619,0.470785719655484,0.480166760810856
"cell_1_37","Naive CD4+ T",-2.42049262832256,1.84527973691012,1.64811764995865,0.286118448549638,0
"cell_1_38","Naive CD4+ T",-1.58062213480341,1.21773629366826,2.63308688303557,0,0
"cell_1_39","Naive CD4+ T",-1.80025938524185,0.968551694338059,2.4833454338389,0.00459633519616151,0
"cell_1_40","Naive CD4+ T",-1.57273427560753,1.44018490097474,2.52448557541523,0.37618738066198,0.450087191930787
"cell_1_41","Naive CD4+ T",-1.97569700201148,1.70439033661737,2.79192253755526,0.0134601052376001,0.55640202332616
"cell_1_42","Naive CD4+ T",-1.68296208582763,1.60202442407518,3.29356843702353,0,0
"cell_1_43","Naive CD4+ T",-1.84696270685289,0.789461248209516,2.43900118201774,0,0
"cell_1_44","Naive CD4+ T",-1.96598726758031,1.18528070749391,2.22308008498902,0.383736125530776,0.319276457461545
"cell_1_45","Naive CD4+ T",-2.1005592319062,1.50204793965669,1.68760092513631,0,0.601071800956059
"cell_1_46","Naive CD4+ T",-1.76498596534564,1.41284509622734,1.89434263761833,0.173531626642163,0
"cell_1_47","Naive CD4+ T",-1.867360210771,1.03690934307065,2.86506865516926,0.970635825382381,0.144419999406036
"cell_1_48","Naive CD4+ T",-1.86944436139182,1.23361674190938,2.51123490575527,0.41510585264249,0.0797279846959333
"cell_1_49","Naive CD4+ T",-1.39390447099885,1.17702989849591,2.13176615470993,0,0
"cell_1_50","Naive CD4+ T",-2.79275843934021,1.41273707796245,2.28328334319794,0.642093062768221,0
"cell_1_51","Naive CD4+ T",-2.03962768781503,1.09927817622886,2.92454537295939,0.333089172442589,0.124688719028822
"cell_1_52","Naive CD4+ T",-2.06388246833013,1.36609102319101,2.36656473499828,0.457120276709222,0
"cell_1_53","Naive CD4+ T",-2.70749700750985,1.69371628960105,3.33968210876796,0,0.228008106875332
"cell_1_54","Naive CD4+ T",-2.431671584781,1.41170097413925,1.58643776258209,0.172718845321069,0.378560503035664
"cell_1_55","Naive CD4+ T",-2.02120706960748,1.77525964948976,2.36817108791726,0.055364953541807,0
"cell_1_56","Naive CD4+ T",-2.16603933605688,1.37013536687221,1.94732871142049,0,0.4026722356965
"cell_1_57","Naive CD4+ T",-1.9682117592615,1.76140965846417,2.48960869412094,0.351414277421607,0.757481375983241
"cell_1_58","Naive CD4+ T",-1.71751294736173,1.79830748294338,2.48530638820776,0,0.0292122073187822
"cell_1_59","Naive CD4+ T",-1.63345717551288,1.56667639793464,1.93065856964052,0.246949603856726,0.801055132422071
"cell_1_60","Naive CD4+ T",-2.42326112176108,1.75716800836493,2.71619371939919,0.449952613218256,0.873841972565211
"cell_1_61","Naive CD4+ T",-1.54170181489564,1.5163209791568,2.46668230372137,0.277235630090648,0
"cell_1_62","Naive CD4+ T",-2.61663787913509,1.83370575210194,2.35043911802376,0.606898312059934,0.183956547713558
"cell_1_63","Naive CD4+ T",-2.08555543707056,1.24690099495024,2.53722478505292,0,1.10619397731143
"cell_1_64","Naive CD4+ T",-2.38083087879102,1.36331580584959,2.46033928593499,0,0.306053875655592
"cell_1_65","Naive CD4+ T",-2.1006914392743,1.61179883886277,1.90032607151476,0,0
"cell_1_66","Naive CD4+ T",-2.54322131766824,1.42137664833017,2.05847074105861,0.291575384311241,0.884771161679675
"cell_1_67","Naive CD4+ T",-2.28178344258741,1.39849078106785,3.01199117053351,0.577905660696167,0.404139351051086
"cell_1_68","Naive CD4+ T",-2.44319325543573,1.74428527735186,2.69935607867639,0.0179653181960168,0
"cell_1_69","Naive CD4+ T",-2.31672872893612,1.67494234518132,2.26395579304962,0.144407267970633,0
"cell_1_70","Naive CD4+ T",-2.19161599456798,1.54361292007784,2.99595185806909,0,0.225738108151875
"cell_1_71","Naive CD4+ T",-2.23672045067798,1.72333645157911,2.93229626105302,0,0
"cell_1_72","Naive CD4+ T",-2.13999114378185,1.86670900968986,1.21251674808607,0.0773894483525922,0
"cell_1_73","Naive CD4+ T",-2.56987581408359,1.65425626137232,3.49483979449224,0.571557825415709,0.655207435514615
"cell_1_74","Naive CD4+ T",-2.16973112701939,1.48794905706918,2.19409436125886,0,0.408364578140768
"cell_1_75","Naive CD4+ T",-2.47361910706671,1.53144799420902,2.89670613789201,0.343446667072792,0
"cell_1_76","Naive CD4+ T",-2.2960247832959,1.49019604796832,2.93277752312866,0,0.511736537066355
"cell_1_77","Naive CD4+ T",-1.61807444083169,1.37933317031764,2.34889400238924,0.332469290032157,0
"cell_1_78","Naive CD4+ T",-2.10927770057166,1.67176410055283,2.56873402794809,0,0.90048243875437
"cell_1_79","Naive CD4+ T",-2.6756343348319,1.17408549061777,1.83334488735502,0.823191914100138,0.0902882012454193
"cell_1_80","Naive CD4+ T",-2.23246109809789,1.72377949406678,1.57605157113996,0.907388165335363,0.422109235491658
"cell_1_81","Naive CD4+ T",-2.34284087168273,1.41809177067619,2.00582022003134,0.468597004540474,0.511777486670112
"cell_1_82","Naive CD4+ T",-2.33536773761963,1.43042553698564,1.73645172651409,0,0
"cell_1_83","Naive CD4+ T",-2.32913169665976,1.65171269336008,3.1063931801929,0.415925121549508,0.809546768549745
"cell_1_84","Naive CD4+ T",-1.96778510486951,1.92202075679199,2.20931769545093,0.319569592660236,0.480560794452342
"cell_1_85","Naive CD4+ T",-2.18095023872908,1.50674349265814,3.05013573217744,0.647183684329905,0.48294168908592
"cell_1_86","Naive CD4+ T",-1.95314044817448,1.32612082467113,1.49761943492807,0.251792225416357,0.79485368500785
"cell_1_87","Naive CD4+ T",-2.38425370443742,1.6437836168228,2.89093562094502,0.652881631330941,0.871296636515288
"cell_1_88","Naive CD4+ T",-1.98730516505706,1.56969948771142,3.15184183582093,0.375165882783567,0.536454269863221
"cell_1_89","Naive CD4+ T",-1.83132062940022,1.22038239855466,2.353432763553,0.401281476353985,0.504181763225195
"cell_1_90","Naive CD4+ T",-1.51081970724501,1.43306125555157,3.36043642133082,0.565624035424005,0.15937210746784
"cell_1_91","Naive CD4+ T",-1.84607306080621,1.22046746209284,2.85492803833188,0,0
"cell_1_92","Naive CD4+ T",-2.3035039258159,1.55031324331771,1.67433885225061,0.310751878901449,0.699124740980697
"cell_1_93","Naive CD4+ T",-1.96893499034761,1.7460451256385,2.41896113091747,0.406987954036512,0
"cell_1_94","Naive CD4+ T",-2.54240989968433,1.2557892803124,2.52206287044441,0,0.186171019885362
"cell_1_95","Naive CD4+ T",-2.82683333075591,1.75017869992685,3.01670883138198,0.196632274179918,0.344650755166146
"cell_1_96","Naive CD4+ T",-2.46267440765163,1.2737032072243,3.24473916540556,0.998629411907633,0.0098626729453172
"cell_1_97","Naive CD4+ T",-1.62615914975857,1.39687094615421,2.7443975812505,0.669666808154983,0.916099566886436
"cell_1_98","Naive CD4+ T",-1.84865142322502,0.791574396274922,2.28268123553335,0.452919767293991,0.5143324214349
"cell_1_99","Naive CD4+ T",-2.28950492275761,1.35062562916809,2.85381797023765,0.133397954020718,0.406739197245616
"cell_1_100","Naive CD4+ T",-2.47548520304229,1.52497068230633,2.24215782716616,0.292230458677346,0
"cell_1_101","Naive CD4+ T",-1.46046018297161,1.45360232299022,2.74277864651665,0.628172196425701,0
"cell_1_102","Naive CD4+ T",-1.5546997157096,1.71001233299836,2.11948532175571,0.474682884674198,0.0410277518115165
"cell_1_103","Naive CD4+ T",-1.94788606925407,1.57810864089641,1.57312969642364,0.729565266686732,0.822008775607276
"cell_1_104","Naive CD4+ T",-2.28168882949844,1.59608799509385,2.71555448114242,0.117974447501083,0.86899659869722
"cell_1_105","Naive CD4+ T",-2.49796633712784,0.875666590756931,1.73221701753917,0,0
"cell_1_106","Naive CD4+ T",-2.20149604427317,1.51082681822214,2.61973085290509,0,0.45419928815431
"cell_1_107","Naive CD4+ T",-1.81738931937675,1.27046442499144,2.32003662711803,0.0741122902316113,0.223389607511744
"cell_1_108","Naive CD4+ T",-1.75557334935503,1.2717028395526,1.99773980709215,0,0.666886455755852
"cell_1_109","Naive CD4+ T",-1.66174625281623,1.68357193973127,3.47467846773213,0.0043350886663415,0.775079418035711
"cell_1_110","Naive CD4+ T",-2.55223591475738,1.54930698115681,1.86194410225021,0,0.84046067114753
"cell_1_111","Naive CD4+ T",-2.48714456107363,1.74203629017986,2.16854410992394,0.285609222244701,1.162595380817
"cell_1_112","Naive CD4+ T",-1.52864133385357,1.64022776277167,3.5395520805394,0.15177463898372,0.34257961608839
"cell_1_113","Naive CD4+ T",-2.0926537332965,1.68311422278056,3.27718577340322,0,0.151972104474613
"cell_1_114","Naive CD4+ T",-2.20941074015848,1.600901787663,2.45187940344241,0.844842607975363,0.756565633289722
"cell_1_115","Naive CD4+ T",-2.40414689948958,1.55273155520122,2.60077875307894,0.749260940492237,0
"cell_1_116","Naive CD4+ T",-2.4616583692625,1.65398309152885,2.8277054729728,0,0.275029330901525
"cell_1_117","Naive CD4+ T",-1.97583630436797,1.52128424081762,2.13323360494219,0.481217471927377,0.377310500095297
"cell_1_118","Naive CD4+ T",-2.41958442273528,1.73872050841763,2.60425915708948,0,0.826229875974698
"cell_1_119","Naive CD4+ T",-2.01704863202282,1.50634472939841,1.87029041411621,0,0
"cell_1_120","Naive CD4+ T",-2.22517770688282,1.69459266466307,3.51454926009067,0,0.414855179921465
"cell_1_121","Naive CD4+ T",-1.69932322388153,1.89298479678668,3.19319696418688,0.471099822765745,0.267946507384991
"cell_1_122","Naive CD4+ T",-2.26529621970577,1.83112730763835,2.2562831649619,0,0
"cell_1_123","Naive CD4+ T",-1.74395956447325,1.34852727240271,2.38208777475049,0.463991746294115,0.00461426567308942
"cell_1_124","Naive CD4+ T",-1.84667518433175,1.67994095754568,2.10177362306979,0,0.657611594803986
"cell_1_125","Naive CD4+ T",-1.97701422388424,1.7853113164828,1.89810474332065,0.294389036266556,0.192377363100444
"cell_1_126","Naive CD4+ T",-2.16327425109132,1.36078598277624,2.06602325404754,0.0360011991264757,0.0335686445294811
"cell_1_127","Naive CD4+ T",-2.03666379068745,1.44165150228192,2.02728719136593,0.0395003759885793,0
"cell_1_128","Naive CD4+ T",-2.14175985844282,0.779806089863547,2.55156991591421,0,0.186685209313129
"cell_1_129","Naive CD4+ T",-2.24989863416591,1.23451982748316,2.26485998123528,0.205946271857191,0.342560149457498
"cell_1_130","Naive CD4+ T",-2.12606342655365,1.34772997532819,2.49999794572079,0.523688319192993,0.173681461703019
"cell_1_131","Naive CD4+ T",-1.85100398948965,1.62189269267574,3.01683625689436,0,0
"cell_1_132","Naive CD4+ T",-2.26480113589146,1.5459941312525,2.45961967407763,0,0.678512645734391
"cell_1_133","Naive CD4+ T",-2.30007284809787,1.81220000359146,2.52853236956815,0,0.0308157790076906
"cell_1_134","Naive CD4+ T",-2.14201549683616,1.17198604555124,2.86537969982798,0.289633956667851,0.0398303157874254
"cell_1_135","Naive CD4+ T",-1.97557306581333,1.36805264815672,2.89232025128152,0.330432746345658,0
"cell_1_136","Naive CD4+ T",-2.25466961155239,1.62060418461933,2.39247878141815,0,0
"cell_1_137","Naive CD4+ T",-2.82607370222403,1.38900652931324,2.94049210726697,0,0.809963413673923
"cell_1_138","Naive CD4+ T",-2.02437429328918,1.02122193067889,3.20044281217756,0.42910149362894,0.0989970869748793
"cell_1_139","Naive CD4+ T",-2.2041977868914,1.06329476749245,1.93231194544161,0,0
"cell_1_140","Naive CD4+ T",-1.72318750698367,1.69776087142262,3.00542141956475,0.2698440585274,0.0107114420579759
"cell_1_141","Naive CD4+ T",-2.48003849321568,1.01271699988348,2.49837563462391,0.341751954085928,0
"cell_1_142","Naive CD4+ T",-1.90693907262291,1.55063127858304,1.74644853072458,0.230320190833589,0
"cell_1_143","Naive CD4+ T",-1.77328992800695,1.45274115920498,2.9659770595341,0.166707860608579,0.615911075078764
"cell_1_144","Naive CD4+ T",-2.42446017383199,1.26803396471576,3.33912262427908,0,0
"cell_1_145","Naive CD4+ T",-2.3081549754505,1.4973414395199,3.24314579599843,0.658606103449241,0
"cell_1_146","Naive CD4+ T",-1.98066441917651,2.0755697112848,2.93418872220045,0.334303875461204,0
"cell_1_147","Naive CD4+ T",-1.74540753939814,1.86186652987692,1.69951661745611,0,0.72554751654161
"cell_1_148","Naive CD4+ T",-1.70831777985984,1.93159335737706,2.23706214541202,0.360839949643296,0.281586635919524
"cell_1_149","Naive CD4+ T",-2.79777164919047,1.89033853956119,3.40508681061001,0,0.100638916895046
"cell_1_150","Naive CD4+ T",-1.7671786894923,1.67492394698301,2.70155576775978,0.0569218565617661,0.274966933693289
"cell_1_151","Naive CD4+ T",-2.12826871425167,1.41858113837966,2.42006537034626,0,0.467752217714463
"cell_1_152","Naive CD4+ T",-2.46046553742158,1.12199253068072,3.07833831619688,0.535453234812897,0.389041499891518
"cell_1_153","Naive CD4+ T",-2.02604277149325,1.90936162324872,2.68963895250119,0.519483079972606,0.861553870292357
"cell_1_154","Naive CD4+ T",-2.44695399140137,1.31100035414649,1.81847141803638,0.965830575152858,0.919382083814684
"cell_1_155","Naive CD4+ T",-2.45499518765782,1.47963958888894,2.79878294442979,0,0.57821327383353
"cell_1_156","Naive CD4+ T",-2.20131469101218,1.84584754794168,2.80088896864053,1.08540724152392,0.751719517807428
"cell_2_1","Memory CD4+ T",-0.586946776579585,0.944992360337768,2.63629600006799,0.175144340344922,0.343815300669678
"cell_2_2","Memory CD4+ T",-1.16169477128065,1.51366582490124,2.31092822938633,0,0.855751029588954
"cell_2_3","Memory CD4+ T",-0.799003342267844,1.33492548624967,1.66779216742852,0,0.0309039860975817
"cell_2_4","Memory CD4+ T",-0.564462118845256,0.877659676156401,1.68667623018694,0.340623099705586,0
"cell_2_5","Memory CD4+ T",-1.20465244657961,1.39265802808214,2.55476386299655,0.296092889155429,0
"cell_2_6","Memory CD4+ T",-1.01715191950567,1.09214797254607,2.38277083563131,0,0.234176738269356
"cell_2_7","Memory CD4+ T",-0.826459004946483,1.20840382867518,2.42527135115388,0,0.384312781364846
