"gene","log2fc","p","status"
"Gene1",-1.81426739033976,0.345386652456878,"不显著"
"Gene2",0.619344568536463,0.00424152840090842,"不显著"
"Gene3",0.422591962248159,0.792160365185194,"不显著"
"Gene4",0.28470987958622,3.84877032289446e-05,"不显著"
"Gene5",-0.403876807145646,0.96801735004098,"不显著"
"Gene6",1.91757708685596,0.756532284254358,"不显著"
"Gene7",-0.13071599684659,0.450005980597635,"不显著"
"Gene8",0.434853972208479,0.40860245785427,"不显著"
"Gene9",1.17989500442319,0.238285191716153,"不显著"
"Gene10",0.338425110662351,0.549805206039031,"不显著"
"Gene11",0.0979052254268112,0.000223969660276841,"不显著"
"Gene12",1.67727576198118,0.0260651668100576,"不显著"
"Gene13",0.323676386511514,0.247470438028356,"不显著"
"Gene14",1.51620103797219,0.420294266008565,"不显著"
"Gene15",0.369989660662905,0.23887115109496,"不显著"
"Gene16",0.135256750202918,0.846392778626586,"不显著"
"Gene17",0.518560403231333,0.608542109986594,"不显著"
"Gene18",1.24535358857632,0.0372834224136529,"不显著"
"Gene19",-0.00613503673192097,0.00954699642399563,"不显著"
"Gene20",-1.30506348569732,0.764006621572617,"不显著"
"Gene21",-0.281808069499871,0.073749445244699,"不显著"
"Gene22",-0.773359747760027,0.798885060150504,"不显著"
"Gene23",1.45059997184258,0.04088137404707,"不显著"
"Gene24",0.862355308911453,0.131269464868466,"不显著"
"Gene25",1.14698290275347,0.697459671826212,"不显著"
"Gene26",-0.974949937299248,0.677811242692428,"不显著"
"Gene27",-1.04894980582756,0.385429194671016,"不显著"
"Gene28",-1.15649193629716,0.824026181575412,"不显著"
"Gene29",2.77133168077359,0.0174227266624608,"不显著"
"Gene30",0.219659943755202,0.087212622534491,"不显著"
"Gene31",0.814817180861675,0.441204422955638,"不显著"
"Gene32",1.503958600741,0.950079815626721,"不显著"
"Gene33",2.01583001068574,0.00382918625942561,"上调"
"Gene34",0.0226591510614954,0.271401456034407,"不显著"
"Gene35",0.24641975070602,0.0818950008543245,"不显著"
"Gene36",0.130402892202419,0.079471872031351,"不显著"
"Gene37",1.27061472872444,0.375969650304233,"不显著"
"Gene38",-0.324563007261707,0.0510605147786628,"不显著"
"Gene39",-1.8624673934577,0.347710332872486,"不显著"
