"sample","feature","value"
"S1","G1",1.79439900159121
"S2","G1",1.73422894839278
"S3","G1",1.97649609937387
"S4","G1",1.69640695308084
"S5","G1",1.58846042626693
"S6","G1",1.12515126647144
"S7","G1",0.943926382798016
"S8","G1",-0.0631018043104843
"S9","G1",0.0975232042771781
"S10","G1",-0.432891932063669
"S11","G1",0.471809656756606
"S12","G1",0.443061650555839
"S1","G2",1.53817578215863
"S2","G2",1.45366121364778
"S3","G2",1.36660618583995
"S4","G2",0.992718492395588
"S5","G2",1.34006172747064
"S6","G2",0.704903357064972
"S7","G2",0.205862473818981
"S8","G2",-0.228534335099741
"S9","G2",-0.146706425103779
"S10","G2",-0.679970063940908
"S11","G2",-0.48971657093105
"S12","G2",0.290503184093603
"S1","G3",0.368739307233716
"S2","G3",1.19186586066384
"S3","G3",1.29912974911897
"S4","G3",1.23660971207668
"S5","G3",0.749982022359093
"S6","G3",0.270602045038187
"S7","G3",0.0505256962257001
"S8","G3",-0.629086819167264
"S9","G3",-0.768503001529892
"S10","G3",-1.08199406555863
"S11","G3",-0.404772258403535
"S12","G3",-0.742766967153301
"S1","G4",-0.209491286892026
"S2","G4",0.120575669120505
"S3","G4",0.758025863449879
"S4","G4",0.482837166764125
"S5","G4",0.106614007838343
"S6","G4",-0.361893971360156
"S7","G4",-0.513694254796051
"S8","G4",-1.17930052379064
"S9","G4",-1.14651548942671
"S10","G4",-1.27358133029204
"S11","G4",-1.10888249730736
"S12","G4",-0.501368041613705
"S1","G5",-0.318965069462217
"S2","G5",-0.182979070942095
"S3","G5",0.174098557949155
"S4","G5",-0.137894431379149
"S5","G5",-0.342856619532677
"S6","G5",-0.5528615587827
"S7","G5",-0.98878772914296
"S8","G5",-1.7173765893157
"S9","G5",-1.66112893251461
"S10","G5",-1.68656867443448
"S11","G5",-1.18801580462248
"S12","G5",-0.881608297835525
"S1","G6",-0.348013139257664
"S2","G6",-0.369793210285674
"S3","G6",-0.0813331222579777
"S4","G6",-0.25596992222643
"S5","G6",0.0762282599190258
"S6","G6",-0.746389722315691
"S7","G6",-1.05299461476934
"S8","G6",-1.9421881806408
"S9","G6",-2.48182856187554
"S10","G6",-1.80873008535706
"S11","G6",-1.78401038899136
"S12","G6",-1.25948227876025
"S1","G7",-0.350094468678439
"S2","G7",0.0113586908603157
"S3","G7",0.350148461488256
"S4","G7",0.0147741357069648
"S5","G7",-0.307432849337676
"S6","G7",-0.807567896199653
"S7","G7",-0.928038435459321
"S8","G7",-1.62144554699189
"S9","G7",-1.60851679365343
"S10","G7",-1.85172121126983
"S11","G7",-1.52980458454028
"S12","G7",-1.16486310948323
"S1","G8",-0.05124756463179
"S2","G8",0.309854971686166
"S3","G8",0.274823942306193
"S4","G8",0.367230136137399
"S5","G8",-0.29275384081939
"S6","G8",-0.745454217914661
"S7","G8",-1.68885211998755
"S8","G8",-1.36669249047665
"S9","G8",-1.24999534463046
"S10","G8",-1.64666725099381
"S11","G8",-1.11915531430257
"S12","G8",-1.01936345438942
"S1","G9",-0.0698831373859441
"S2","G9",0.913001163624087
"S3","G9",1.02889174998242
"S4","G9",0.556066102202023
"S5","G9",-0.0992523999324228
"S6","G9",0.247125998044285
"S7","G9",-0.675393738059551
"S8","G9",-0.7530824431865
"S9","G9",-1.22688378409125
"S10","G9",-1.5000951637592
"S11","G9",-0.857451191157148
"S12","G9",-0.0570745484216366
"S1","G10",0.811334900213363
"S2","G10",0.958134071044758
"S3","G10",1.29486993842553
"S4","G10",1.24855111091903
"S5","G10",0.953175730384002
"S6","G10",0.68150078891474
"S7","G10",0.11906219628233
"S8","G10",-0.879498809042523
"S9","G10",-0.919255661750478
"S10","G10",-0.795797475122075
"S11","G10",-0.774189322455409
"S12","G10",0.296214472527573
