"sample","feature","value"
"S1","G1",1.35769394641083
"S2","G1",1.65510189288313
"S3","G1",1.92313247624215
"S4","G1",1.36103933046843
"S5","G1",1.58134660524609
"S6","G1",1.11072647812692
"S7","G1",0.173933134302935
"S8","G1",0.373979325879421
"S9","G1",0.432545930314411
"S10","G1",-0.0399414832051726
"S11","G1",0.441129659370539
"S12","G1",0.631759471436058
"S1","G2",1.30031568407571
"S2","G2",1.27546990151847
"S3","G2",1.69050851491125
"S4","G2",1.70478635974313
"S5","G2",1.27787110569875
"S6","G2",0.707740018776418
"S7","G2",0.614974339129226
"S8","G2",0.221601185043972
"S9","G2",-0.488342147058297
"S10","G2",-0.598600658706794
"S11","G2",-0.428399096093814
"S12","G2",-0.288559419612236
"S1","G3",0.465819074573945
"S2","G3",0.626188258901041
"S3","G3",1.0720135687161
"S4","G3",1.08165530553328
"S5","G3",0.544435213508808
"S6","G3",0.471424458695314
"S7","G3",-0.46332617693752
"S8","G3",-1.07006462077159
"S9","G3",-0.63460696424808
"S10","G3",-0.81983477490827
"S11","G3",-0.379499092369308
"S12","G3",0.323804982773548
"S1","G4",0.225062836354296
"S2","G4",0.470128394363845
"S3","G4",0.507308428437673
"S4","G4",0.611622841260293
"S5","G4",0.0757598020012013
"S6","G4",0.0709656309726859
"S7","G4",-0.952143891461606
"S8","G4",-1.64037272263109
"S9","G4",-1.40440174313938
"S10","G4",-1.20924496831617
"S11","G4",-1.17672433186493
"S12","G4",-0.737442248070688
"S1","G5",-0.0990053874486069
"S2","G5",0.0744781719883626
"S3","G5",0.0581943441278554
"S4","G5",0.65069740397004
"S5","G5",0.0217938189200426
"S6","G5",-0.499979021908298
"S7","G5",-0.968694157465796
"S8","G5",-2.19476125667927
"S9","G5",-1.63651788243479
"S10","G5",-2.10918655027669
"S11","G5",-1.32169673405438
"S12","G5",-1.03430151420912
"S1","G6",-0.133363040692496
"S2","G6",0.11536711706193
"S3","G6",-0.331646523845072
"S4","G6",-0.0937750395032663
"S5","G6",-0.288680145164745
"S6","G6",-0.737018343728769
"S7","G6",-0.796661407369245
"S8","G6",-1.28387392941819
"S9","G6",-1.9026222974609
"S10","G6",-1.99396609391397
"S11","G6",-1.63524743932882
"S12","G6",-1.0229133065817
"S1","G7",-0.530150047874116
"S2","G7",0.0834862694759888
"S3","G7",0.0281548035896163
"S4","G7",-0.370181332525249
"S5","G7",-0.439120896924222
"S6","G7",-0.46446761213123
"S7","G7",-1.0158994861317
"S8","G7",-1.5109936030222
"S9","G7",-2.29362104808633
"S10","G7",-2.30709142679017
"S11","G7",-1.69952525082838
"S12","G7",-1.50836428245829
"S1","G8",-0.476760146925912
"S2","G8",0.224430046385958
"S3","G8",0.423781620614327
"S4","G8",0.00402253454759488
"S5","G8",-0.283070606887223
"S6","G8",-0.52173084563019
"S7","G8",-0.6867861080926
"S8","G8",-1.33088007682748
"S9","G8",-1.78093844599676
"S10","G8",-1.81518736017334
"S11","G8",-1.37519019683169
"S12","G8",-0.838852115102892
"S1","G9",0.135579857820519
"S2","G9",0.585273335152447
"S3","G9",0.846389333907042
"S4","G9",0.637945144157028
"S5","G9",0.6939144728568
"S6","G9",-0.134343449634624
"S7","G9",-0.811743207851084
"S8","G9",-0.948633715348128
"S9","G9",-1.00499231184395
"S10","G9",-0.829517103289875
"S11","G9",-1.16467906892719
"S12","G9",0.332328380191336
"S1","G10",0.145126160511447
"S2","G10",0.970561058878214
"S3","G10",1.18370970795785
"S4","G10",1.58992022156947
"S5","G10",0.893373229210776
"S6","G10",0.205073739600763
"S7","G10",0.2915347032386
"S8","G10",-0.414635222883494
"S9","G10",-0.653717285106587
"S10","G10",-0.402225634841427
"S11","G10",0.190992958576301
"S12","G10",0.150981524325715
