"sample","feature","value"
"S1","G1",1.31773569210833
"S2","G1",1.57913986659628
"S3","G1",1.81148766118428
"S4","G1",1.64028356299853
"S5","G1",1.17934555897297
"S6","G1",1.07602794231852
"S7","G1",0.639988983201033
"S8","G1",0.255453652219833
"S9","G1",0.188047269144884
"S10","G1",0.35059740310077
"S11","G1",-0.0301718404103138
"S12","G1",0.856447028784167
"S1","G2",0.753699005019469
"S2","G2",1.20407435692381
"S3","G2",1.17676065334574
"S4","G2",0.837380173150756
"S5","G2",1.2402169217372
"S6","G2",0.470208228435574
"S7","G2",0.119724659916016
"S8","G2",-0.240364278704755
"S9","G2",-0.186332013510569
"S10","G2",-0.322559079851544
"S11","G2",0.182425303232122
"S12","G2",0.426705733574159
"S1","G3",0.495733918383428
"S2","G3",0.862899938370911
"S3","G3",1.30459769754236
"S4","G3",0.558375622006542
"S5","G3",0.628032754057234
"S6","G3",0.0407851255848497
"S7","G3",-0.282686909709469
"S8","G3",-0.878938924431964
"S9","G3",-1.20198567450179
"S10","G3",-1.04171464556852
"S11","G3",-0.485818742066594
"S12","G3",-0.319285763811774
"S1","G4",-0.0993501079285584
"S2","G4",0.71157820224976
"S3","G4",0.53667727516641
"S4","G4",0.719249314599075
"S5","G4",0.527715767181078
"S6","G4",-0.378241095121521
"S7","G4",-0.354425249160726
"S8","G4",-0.943329168151298
"S9","G4",-1.01707290659022
"S10","G4",-1.16325546956579
"S11","G4",-1.4320713792786
"S12","G4",-0.873439415040642
"S1","G5",-0.268414422499298
"S2","G5",-0.0274696219329458
"S3","G5",0.130721033015287
"S4","G5",-0.247213219673298
"S5","G5",-0.256030786599963
"S6","G5",-0.607032607856441
"S7","G5",-1.22062844648626
"S8","G5",-1.84989451127657
"S9","G5",-1.63190474945378
"S10","G5",-1.79586222556454
"S11","G5",-1.29897736416441
"S12","G5",-1.07622617844019
"S1","G6",-0.867527231358874
"S2","G6",0.0683520166477427
"S3","G6",0.00887692675294199
"S4","G6",0.155417725142596
"S5","G6",-0.28894654687278
"S6","G6",-0.714452910727193
"S7","G6",-1.52510934750002
"S8","G6",-1.75653063646286
"S9","G6",-1.72137795873726
"S10","G6",-2.16592505741097
"S11","G6",-1.65137866032674
"S12","G6",-1.26033948774309
"S1","G7",-0.264772367753058
"S2","G7",-0.0120209697966157
"S3","G7",0.152096959444119
"S4","G7",0.178974280768311
"S5","G7",-0.463806771051727
"S6","G7",-1.10617104112945
"S7","G7",-1.56175977087184
"S8","G7",-2.03256453715538
"S9","G7",-1.70215674758785
"S10","G7",-2.07578745395677
"S11","G7",-1.36976271386321
"S12","G7",-0.486630536881368
"S1","G8",-0.183254689627328
"S2","G8",0.146124840592011
"S3","G8",0.200364361425107
"S4","G8",0.519969335345818
"S5","G8",0.0776462500972326
"S6","G8",-0.5926263779399
"S7","G8",-1.48001110615845
"S8","G8",-1.33245791595754
"S9","G8",-1.16470324537985
"S10","G8",-1.61489684106364
"S11","G8",-1.30225687499331
"S12","G8",-0.836046314392333
"S1","G9",-0.441616223921905
"S2","G9",0.316363237627012
"S3","G9",0.371372599565014
"S4","G9",0.662242021485739
"S5","G9",0.389932850999009
"S6","G9",-0.219703868505027
"S7","G9",-0.197194435520527
"S8","G9",-0.633981275136472
"S9","G9",-1.34200950910756
"S10","G9",-1.22609682006432
"S11","G9",-1.12235064234582
"S12","G9",-0.629650881443003
"S1","G10",0.951485110721658
"S2","G10",0.808552370162203
"S3","G10",0.737759459361442
"S4","G10",1.4303910423185
"S5","G10",0.581634972893387
"S6","G10",0.164180346338795
"S7","G10",-0.202890159617391
"S8","G10",-0.370633383223482
"S9","G10",-0.683154552240262
"S10","G10",-1.01687809386097
"S11","G10",-0.911885034135337
"S12","G10",0.0627364513819287
