"sample","feature","value"
"S1","G1",0.891237429948224
"S2","G1",2.05433983127053
"S3","G1",1.91592463311432
"S4","G1",1.87932485154287
"S5","G1",1.70950142924206
"S6","G1",1.13637053962852
"S7","G1",0.544939238421481
"S8","G1",0.162349026144643
"S9","G1",-0.520888020041348
"S10","G1",-0.284060881864529
"S11","G1",0.250148772426056
"S12","G1",0.645752911187989
"S1","G2",1.32566745359043
"S2","G2",1.65233235140619
"S3","G2",1.32038748199172
"S4","G2",1.45885643384486
"S5","G2",1.28109114755656
"S6","G2",0.501886938633788
"S7","G2",0.104826053688668
"S8","G2",-0.514980027864938
"S9","G2",-0.437511043842364
"S10","G2",-0.243653566893456
"S11","G2",-0.708886069402895
"S12","G2",0.0360354413955034
"S1","G3",0.45059584520617
"S2","G3",1.0357502012035
"S3","G3",0.929226698144495
"S4","G3",1.1627886808365
"S5","G3",1.15339934893275
"S6","G3",0.1013863483367
"S7","G3",-0.719110980448779
"S8","G3",-0.713502775610122
"S9","G3",-1.01994330618291
"S10","G3",-0.763866320124678
"S11","G3",-0.547889787120615
"S12","G3",-0.408184986766729
"S1","G4",-0.227386259931043
"S2","G4",0.556475399747024
"S3","G4",0.884652254376539
"S4","G4",0.0603138295792152
"S5","G4",0.0995063050851352
"S6","G4",-0.10937279847695
"S7","G4",-1.03999525382581
"S8","G4",-1.19968577713262
"S9","G4",-1.8746469728246
"S10","G4",-1.16874798374232
"S11","G4",-1.34101254886427
"S12","G4",-0.570140400179313
"S1","G5",-0.111929074562949
"S2","G5",-0.00219835903375305
"S3","G5",0.394815054056505
"S4","G5",0.0655522040050045
"S5","G5",-0.0784676679711964
"S6","G5",-0.2270999911072
"S7","G5",-1.03731508063795
"S8","G5",-1.72418442321223
"S9","G5",-1.37335148851192
"S10","G5",-1.40848876043134
"S11","G5",-1.22676028921917
"S12","G5",-1.17803593575984
"S1","G6",-0.799826316944755
"S2","G6",-0.314899724052218
"S3","G6",-0.128004292629057
"S4","G6",-0.171475483135886
"S5","G6",0.280750528942177
"S6","G6",-0.814933012202299
"S7","G6",-1.09138670262466
"S8","G6",-1.9426964000959
"S9","G6",-1.92627847000083
"S10","G6",-2.39994487787381
"S11","G6",-2.12985083971964
"S12","G6",-0.937394431303834
"S1","G7",-0.512702873808097
"S2","G7",-0.0706104761623626
"S3","G7",0.128332311563351
"S4","G7",0.00267944350950476
"S5","G7",-0.257165943666773
"S6","G7",-0.933894848988249
"S7","G7",-1.10646573343179
"S8","G7",-1.83025806652946
"S9","G7",-1.84996728800968
"S10","G7",-2.09632461471131
"S11","G7",-1.59384643935709
"S12","G7",-1.36443864312712
"S1","G8",-0.0705288606603528
"S2","G8",-0.168342358626202
"S3","G8",0.222215391016296
"S4","G8",0.520291749129249
"S5","G8",0.082406083567994
"S6","G8",-0.509368496836501
"S7","G8",-0.919391927039354
"S8","G8",-1.7165428507426
"S9","G8",-2.29613868976111
"S10","G8",-1.88604901621019
"S11","G8",-1.5630180866417
"S12","G8",-1.21336756029197
"S1","G9",0.149873407674024
"S2","G9",0.414417063327356
"S3","G9",0.797038486782033
"S4","G9",0.531844966034301
"S5","G9",0.0296083965124576
"S6","G9",-0.364349127112798
"S7","G9",-0.562127163680045
"S8","G9",-0.736589544159924
"S9","G9",-1.01696170265993
"S10","G9",-0.927243226206239
"S11","G9",-1.18461028529595
"S12","G9",-0.279589371364869
"S1","G10",0.757506824001531
"S2","G10",0.731419897979041
"S3","G10",1.30433223211827
"S4","G10",0.96540981425983
"S5","G10",0.937080668199438
"S6","G10",0.336273920968486
"S7","G10",-0.128167324744688
"S8","G10",-0.399539629717089
"S9","G10",-0.167257283143917
"S10","G10",-0.439802778406235
"S11","G10",-0.234606836126615
"S12","G10",-0.00283712270880863
