"x","y","value","class"
1,1,1.2784921471044,"Tumor"
2,1,1.95774776398853,"Stroma"
3,1,2.01183919169225,"Immune"
4,1,1.7601565084786,"Tumor"
5,1,1.23099216234046,"Tumor"
6,1,1.1807363174169,"Immune"
7,1,0.452794554687272,"Tumor"
8,1,0.0915705335675431,"Immune"
9,1,-0.003724228613185,"Immune"
10,1,0.0057977148058162,"Tumor"
11,1,0.224281183985641,"Tumor"
12,1,0.737085326742936,"Tumor"
13,1,1.09353396918991,"Blank"
14,1,1.41293771353268,"Immune"
15,1,1.87718060217538,"Stroma"
16,1,2.08887835880887,"Stroma"
17,1,1.56183224536822,"Stroma"
18,1,1.34921121578588,"Stroma"
1,2,1.01435646821592,"Stroma"
2,2,1.29748924369876,"Tumor"
3,2,1.80322669683878,"Blank"
4,2,1.42858293101749,"Stroma"
5,2,0.895474574997179,"Immune"
6,2,0.900986500992034,"Tumor"
7,2,0.0214371814573847,"Tumor"
8,2,-0.306852533431797,"Blank"
9,2,-0.476634408406563,"Tumor"
10,2,-0.192046804752238,"Blank"
11,2,-0.117837980212438,"Immune"
12,2,0.159143497394506,"Tumor"
13,2,0.905120747976152,"Tumor"
14,2,1.38914025833153,"Blank"
15,2,1.15064673455468,"Stroma"
16,2,1.39454787680671,"Tumor"
17,2,1.46963957348637,"Blank"
18,2,0.712191103122999,"Immune"
1,3,0.239928717535327,"Tumor"
2,3,0.818313463277432,"Stroma"
3,3,1.30655715186469,"Stroma"
4,3,1.05349482938698,"Immune"
5,3,0.786121874803532,"Stroma"
6,3,0.221854959962467,"Tumor"
7,3,-0.40735789551037,"Stroma"
8,3,-0.720086410096298,"Stroma"
9,3,-0.760657328648199,"Stroma"
10,3,-1.04232472132226,"Tumor"
11,3,-0.695454171379167,"Tumor"
12,3,0.00396871370123766,"Stroma"
13,3,0.0954898815178628,"Immune"
14,3,0.909716187507698,"Immune"
15,3,0.818773743846391,"Immune"
16,3,0.820493253883256,"Stroma"
17,3,1.16628470325095,"Tumor"
18,3,0.601878382129709,"Tumor"
1,4,0.329957256318059,"Blank"
2,4,0.866316300345631,"Immune"
3,4,0.505689646854065,"Stroma"
4,4,0.64748885827844,"Blank"
5,4,0.198893753395361,"Immune"
6,4,-0.263039138153634,"Stroma"
7,4,-0.693111582187721,"Blank"
8,4,-1.12603625237338,"Stroma"
9,4,-1.23383990540075,"Stroma"
10,4,-1.29162446237803,"Stroma"
11,4,-1.09209925982189,"Tumor"
12,4,-0.802769903018145,"Tumor"
13,4,-0.106074773403442,"Tumor"
14,4,0.152583717769928,"Blank"
15,4,0.440189500266003,"Tumor"
16,4,0.35702138566549,"Stroma"
17,4,0.306564733698441,"Blank"
18,4,-0.00263736234883678,"Blank"
1,5,-0.521007781990591,"Tumor"
2,5,0.374390139829248,"Stroma"
3,5,0.262723201752101,"Stroma"
4,5,0.172737124503509,"Tumor"
5,5,-0.181498173282559,"Stroma"
6,5,-0.78844686069748,"Stroma"
7,5,-1.35308498812342,"Immune"
8,5,-1.31150115086871,"Blank"
9,5,-1.60311210632341,"Stroma"
10,5,-1.87325045227599,"Tumor"
11,5,-1.46563070973573,"Stroma"
12,5,-0.925276084043242,"Immune"
13,5,-0.595444350231992,"Blank"
14,5,-0.264986365533459,"Immune"
15,5,-0.00450288578399902,"Stroma"
16,5,0.26023340066727,"Blank"
17,5,0.0621367898447698,"Immune"
18,5,-0.261572455441897,"Tumor"
1,6,-0.424410103194612,"Blank"
