"sender","receiver","score","p"
"S 1","R 1",2.75489211045206,0.00226028983271681
"S 2","R 1",0.93244059914723,0.0925396677858662
"S 3","R 1",0.45583517216146,0.0365423119186889
"S 4","R 1",2.14937393330038,0.0559427887885831
"S 5","R 1",0.700865506660193,0.0948135563840624
"S 1","R 2",1.22494421228766,0.0869074885568116
"S 2","R 2",1.26198463495821,0.0289623253040481
"S 3","R 2",0.999657450057566,0.0243430838105269
"S 4","R 2",1.32040639789775,0.0344497378943488
"S 5","R 2",1.98276357036084,0.115919953828678
"S 1","R 3",0.923182591702789,0.0564135543229058
"S 2","R 3",0.908153687510639,0.101644604409579
"S 3","R 3",2.87519908733666,0.0185651257839054
"S 4","R 3",0.381169239059091,0.0914913978639524
"S 5","R 3",2.67909816512838,0.09138457522518
"S 1","R 4",0.878108480852097,0.00347284730756655
"S 2","R 4",0.596237724088132,0.096533418656094
"S 3","R 4",2.15765902558342,0.114286934982287
"S 4","R 4",0.984179368987679,0.0276891303979792
"S 5","R 4",0.619214341789484,0.0330871356264688
"S 1","R 5",2.97621004618704,0.0287028203466907
"S 2","R 5",0.320714366622269,0.044668149511097
"S 3","R 5",1.38406081851572,0.104743999245809
"S 4","R 5",2.34007889237255,0.0677390961479396
"S 5","R 5",1.14948514234275,0.109458819884341
