"group","cell_type","value"
"Healthy","Type 1",0.069500816578227
"Tumor","Type 1",0.0809079697456894
"Treated","Type 1",0.00412646500530114
"Healthy","Type 2",0.0328404053795235
"Tumor","Type 2",0.27384235642177
"Treated","Type 2",0.0752383511469099
"Healthy","Type 3",0.0829997333611096
"Tumor","Type 3",0.244670144018336
"Treated","Type 3",0.223832518327466
"Healthy","Type 4",0.0900765874549268
"Tumor","Type 4",0.242439520598655
"Treated","Type 4",0.252069732452942
"Healthy","Type 5",0.364527097798649
"Tumor","Type 5",0.128829996847811
"Treated","Type 5",0.41688203352939
"Healthy","Type 6",0.360055359427564
"Tumor","Type 6",0.0293100123677386
"Treated","Type 6",0.0278508995379905
