"from","to","weight","x","y","xend","yend"
"N4","N10",0.720864505320787,-0.309016994374947,0.951056516295154,0.809016994374947,-0.587785252292473
"N6","N7",0.332198783801869,-1,1.22460635382238e-16,-0.809016994374948,-0.587785252292473
"N2","N6",0.432152500515804,0.809016994374947,0.587785252292473,-1,1.22460635382238e-16
"N10","N3",1.47516901129857,0.809016994374947,-0.587785252292473,0.309016994374947,0.951056516295154
"N9","N3",1.67124278643169,0.309016994374947,-0.951056516295154,0.309016994374947,0.951056516295154
"N10","N2",1.05495541682467,0.809016994374947,-0.587785252292473,0.809016994374947,0.587785252292473
"N1","N9",1.17008346072398,1,0,0.309016994374947,-0.951056516295154
"N6","N5",0.977024938212708,-1,1.22460635382238e-16,-0.809016994374947,0.587785252292473
"N9","N4",1.8939181397669,0.309016994374947,-0.951056516295154,-0.309016994374947,0.951056516295154
"N8","N4",0.721332363039255,-0.309016994374948,-0.951056516295154,-0.309016994374947,0.951056516295154
"N8","N4",1.71407658648677,-0.309016994374948,-0.951056516295154,-0.309016994374947,0.951056516295154
"N6","N2",0.954684793343768,-1,1.22460635382238e-16,0.809016994374947,0.587785252292473
"N6","N3",1.61108584892936,-1,1.22460635382238e-16,0.309016994374947,0.951056516295154
"N7","N10",1.69060595883057,-0.809016994374948,-0.587785252292473,0.809016994374947,-0.587785252292473
"N1","N7",1.70042523727752,1,0,-0.809016994374948,-0.587785252292473
"N5","N9",1.54926529852673,-0.809016994374947,0.587785252292473,0.309016994374947,-0.951056516295154
"N8","N5",1.81318973787129,-0.309016994374948,-0.951056516295154,-0.809016994374947,0.587785252292473
"N6","N9",1.84650682522915,-1,1.22460635382238e-16,0.309016994374947,-0.951056516295154
