"feature","sample","value"
"F1","S1",1.39676598940894
"F2","S1",1.83144596617378
"F3","S1",2.15429548417457
"F4","S1",2.02184530260856
"F5","S1",1.76995181829387
"F6","S1",1.27084736090054
"F7","S1",0.62036595516333
"F8","S1",0.241776879163606
"F9","S1",0.0751672603221151
"F10","S1",0.131026536667546
"F11","S1",0.275774826540533
"F12","S1",0.423449978766569
"F1","S2",1.2814722936239
"F2","S2",1.50587297357817
"F3","S2",1.65599657327688
"F4","S2",1.91404422382366
"F5","S2",1.36002597519999
"F6","S2",0.924480659056701
"F7","S2",0.927106956968422
"F8","S2",0.160814162280927
"F9","S2",-0.364675810845839
"F10","S2",-0.259416764035236
"F11","S2",-0.0446423124444695
"F12","S2",0.718714056046521
"F1","S3",1.24523506945631
"F2","S3",1.56090053781023
"F3","S3",1.04735479042182
"F4","S3",1.64249036321679
"F5","S3",1.17217489974796
"F6","S3",0.520542729013046
"F7","S3",0.175863698907893
"F8","S3",-0.186206940159915
"F9","S3",-0.597547091549925
"F10","S3",-0.415945245984859
"F11","S3",-0.176289570240612
"F12","S3",0.252395181906022
"F1","S4",0.701638536385729
"F2","S4",0.85304921851473
"F3","S4",1.23319346192408
"F4","S4",1.16042493670569
"F5","S4",1.03227686225648
"F6","S4",0.259993174949655
"F7","S4",-0.416485973172963
"F8","S4",-0.537539165624324
"F9","S4",-0.745521967501953
"F10","S4",-0.741087556892934
"F11","S4",-0.63813772503279
"F12","S4",-0.056068780898591
"F1","S5",0.438565918533964
"F2","S5",0.682834449837104
"F3","S5",0.618343321318731
"F4","S5",1.0287539142119
"F5","S5",0.280988819163566
"F6","S5",0.221241715114629
"F7","S5",-0.361419311781245
"F8","S5",-1.15093517338772
"F9","S5",-1.08807615805847
"F10","S5",-1.15850694015342
"F11","S5",-0.593588384374593
"F12","S5",-0.381209470936129
"F1","S6",0.429248029418292
"F2","S6",0.285966538730648
"F3","S6",0.650476524103083
"F4","S6",0.386983272852937
"F5","S6",0.471173176063234
"F6","S6",0.0966691185846528
"F7","S6",-0.801008147538777
"F8","S6",-1.14240813903627
"F9","S6",-1.27926040359094
"F10","S6",-1.63839508462395
"F11","S6",-1.34433492088438
"F12","S6",-0.911063411724254
"F1","S7",-0.0817460636289543
"F2","S7",0.0376878922451669
"F3","S7",0.553952129586179
"F4","S7",0.484942994716884
"F5","S7",-0.110145460338994
"F6","S7",-0.784823765773403
"F7","S7",-0.972032143684355
"F8","S7",-1.68193527886148
"F9","S7",-1.45724616237802
"F10","S7",-1.57175369440547
"F11","S7",-1.26091777727281
"F12","S7",-0.824521377471883
"F1","S8",-0.387534185452094
"F2","S8",-0.238317733773434
"F3","S8",-0.0402037487706407
"F4","S8",-0.117471311626365
"F5","S8",-0.123378308491272
"F6","S8",-0.697837797078432
"F7","S8",-1.30206302561913
"F8","S8",-1.58669526714327
"F9","S8",-1.66836221913673
"F10","S8",-2.01381663257111
"F11","S8",-1.86293440092213
"F12","S8",-1.06137347418023
"F1","S9",-0.57127858930607
"F2","S9",-0.147359845252232
"F3","S9",0.0766958317693645
"F4","S9",-0.0347891278731446
"F5","S9",-0.61439345096806
"F6","S9",-0.804236447533235
"F7","S9",-1.25690059696508
"F8","S9",-1.97863144023725
"F9","S9",-2.08363738717619
"F10","S9",-1.83717924914289
"F11","S9",-2.00128695303093
"F12","S9",-1.36150872379888
"F1","S10",-0.507339417161557
"F2","S10",-0.141952573481538
"F3","S10",-0.0448239955511677
"F4","S10",0.0155158322365701
"F5","S10",-0.112372251912341
"F6","S10",-0.940832187533056
"F7","S10",-1.48685265058384
"F8","S10",-1.74877674893574
"F9","S10",-2.26964926301666
"F10","S10",-2.17512035296966
"F11","S10",-1.68858973585346
"F12","S10",-0.998980362070297
"F1","S11",-0.41130377475138
"F2","S11",0.267790861092903
"F3","S11",0.32691521043333
"F4","S11",0.262069904337144
"F5","S11",-0.22720703711311
"F6","S11",-0.723698379333717
"F7","S11",-0.987364438031349
"F8","S11",-1.5193558240179
"F9","S11",-1.89979064603177
"F10","S11",-2.0471339743752
"F11","S11",-1.5161429319616
"F12","S11",-0.916887803450782
"F1","S12",-0.271183570515977
"F2","S12",0.530888680062508
"F3","S12",0.573370714245258
"F4","S12",0.373508983100447
"F5","S12",-0.0736650970206954
"F6","S12",-0.427857532038058
"F7","S12",-1.25811958742906
"F8","S12",-1.65915899745087
"F9","S12",-1.73731645575377
"F10","S12",-1.5294063199393
"F11","S12",-1.46923462028536
"F12","S12",-0.765285510128803
