"term","ratio","count","fdr","score"
"Pathway A",0.150662749139592,9,0.0697679033712484,0.370938920520854
"Pathway B",0.224299692972563,56,0.0629987147120992,0.927494646097738
"Pathway C",0.388546547638252,28,0.0614141001871321,1.09496276659051
"Pathway D",0.187152515696362,18,0.0573593728116248,1.37148312245751
"Pathway E",0.180728845517151,53,0.0505725176556734,1.39592996175667
"Pathway F",0.211804936882108,61,0.0444591228819918,1.73219210737489
"Pathway G",0.280895440429449,58,0.0260230895029381,1.88339536428417
"Pathway H",0.383849602653645,60,0.0230152181023732,1.64299925195269
"Pathway I",0.236199424583465,20,0.00189158701815177,1.50529492275371
"Pathway J",0.326781532387249,12,0.000871526837931015,1.59309616611867
