study,effect_size,standard_error
Study_01,0.14718822556444341,0.06
Study_02,0.26303167687481327,0.06666666666666667
Study_03,0.22800131296081513,0.07333333333333333
Study_04,0.2017324046658631,0.08
Study_05,-0.010700177384595777,0.08666666666666667
Study_06,0.1402443321947084,0.09333333333333334
Study_07,0.15577052649652867,0.1
Study_08,0.1801640285836663,0.10666666666666667
Study_09,0.14560087497624227,0.11333333333333334
Study_10,0.17426798951715103,0.12000000000000001
Study_11,0.13058404464858353,0.12666666666666668
Study_12,0.05635479981073818,0.13333333333333336
Study_13,0.2473114183523884,0.14
Study_14,0.2809446813373163,0.14666666666666667
Study_15,0.017265091384389947,0.15333333333333335
Study_16,-0.10454117928164103,0.16000000000000003
Study_17,0.21189714487838024,0.16666666666666669
Study_18,0.29879999948796965,0.17333333333333334
Study_19,-0.003428032196594072,0.18000000000000002
Study_20,0.2973247958115801,0.1866666666666667
Study_21,0.18307727586647393,0.19333333333333336
Study_22,-0.2947005675839783,0.2
Study_23,0.30215815521308026,0.2066666666666667
Study_24,0.24147554327037976,0.21333333333333337
Study_25,0.21172145107590043,0.22000000000000003
Study_26,0.5220492917105184,0.22666666666666668
Study_27,-0.18107943427843998,0.23333333333333336
Study_28,-0.11565703583735443,0.24000000000000005
Study_29,0.16022123577142788,0.2466666666666667
Study_30,0.004313709965479001,0.25333333333333335
Study_31,0.1346791208989826,0.26
Study_32,0.34372653899907646,0.2666666666666667
Study_33,0.28799499602695283,0.2733333333333334
Study_34,0.22035248479001618,0.28
