"gene","sample","value"
"Gene1","S1",-0.594709619217691
"Gene2","S1",-0.917077464628704
"Gene3","S1",-1.42624984935157
"Gene4","S1",-2.07194964612027
"Gene5","S1",-2.07474515293335
"Gene6","S1",-2.18242373653932
"Gene7","S1",-1.08636616834772
"Gene8","S1",-1.05194768738386
"Gene9","S1",-1.63200205618453
"Gene10","S1",-1.43718758517052
"Gene11","S1",-2.49684725048367
"Gene12","S1",-1.55663003237973
"Gene13","S1",-1.55983650277214
"Gene14","S1",-2.4536072482801
"Gene1","S2",-1.20867474934524
"Gene2","S2",-0.78232799011416
"Gene3","S2",-1.16014483405612
"Gene4","S2",-1.94627663638257
"Gene5","S2",-0.879137016183373
"Gene6","S2",-1.42274409694455
"Gene7","S2",-1.97038556310257
"Gene8","S2",-2.28006073783647
"Gene9","S2",-1.61064052435634
"Gene10","S2",-0.157417865540177
"Gene11","S2",-1.79743598200345
"Gene12","S2",-0.790688565348192
"Gene13","S2",-0.822739334606652
"Gene14","S2",-0.831107880051642
"Gene1","S3",-0.456771506914522
"Gene2","S3",-1.05388436430464
"Gene3","S3",-0.926143665749653
"Gene4","S3",-1.34814964378132
"Gene5","S3",-0.146602742954209
"Gene6","S3",-0.888309505549091
"Gene7","S3",-0.642914066632148
"Gene8","S3",-1.61720100580644
"Gene9","S3",-0.0299840446749687
"Gene10","S3",-0.903664291872041
"Gene11","S3",-0.887347140289051
"Gene12","S3",-0.706440364830257
"Gene13","S3",0.160732550349343
"Gene14","S3",-1.02794424810296
"Gene1","S4",-0.604866511920794
"Gene2","S4",-0.0728511596510937
"Gene3","S4",-0.89263883579359
"Gene4","S4",-1.64855518756732
"Gene5","S4",-0.584866359189589
"Gene6","S4",-0.412515578868399
"Gene7","S4",0.186127035019676
"Gene8","S4",-0.863755498103715
"Gene9","S4",-1.09022323584678
"Gene10","S4",-1.1362313651047
"Gene11","S4",-1.37889717392443
"Gene12","S4",-0.630413738741353
"Gene13","S4",-1.01905474477874
"Gene14","S4",-0.659711027550506
"Gene1","S5",-0.96344624656623
"Gene2","S5",-1.32099642740724
"Gene3","S5",-1.21977927099851
"Gene4","S5",-1.22925514171647
"Gene5","S5",-0.632306804745032
"Gene6","S5",0.185953472767374
"Gene7","S5",-0.487517247746431
"Gene8","S5",0.140712998373908
"Gene9","S5",-1.80129219572201
"Gene10","S5",-0.171896838569171
"Gene11","S5",-0.601309243007641
"Gene12","S5",-0.635656712573489
"Gene13","S5",-0.36506283926266
"Gene14","S5",-0.379410750358383
"Gene1","S6",-0.989516076824131
"Gene2","S6",-0.490534927081254
"Gene3","S6",0.517827672260075
"Gene4","S6",-0.755112518261522
"Gene5","S6",-0.971120915685393
"Gene6","S6",-0.118518245822642
"Gene7","S6",0.0399786069830164
"Gene8","S6",0.370673588649034
"Gene9","S6",-0.388347129040836
"Gene10","S6",-0.813268708476397
"Gene11","S6",-0.104677301868156
"Gene12","S6",0.0649107055236326
"Gene13","S6",-0.441222758175626
"Gene14","S6",0.408270342728204
"Gene1","S7",-0.318260804543692
"Gene2","S7",0.374921878173725
"Gene3","S7",-0.236901606378664
"Gene4","S7",0.233747538715211
"Gene5","S7",0.744325622735482
"Gene6","S7",-0.304638083576152
"Gene7","S7",0.579166479980596
"Gene8","S7",0.185505652480972
"Gene9","S7",1.28218371813054
"Gene10","S7",0.4180529211307
"Gene11","S7",1.04286073046604
"Gene12","S7",-0.482855785322552
"Gene13","S7",0.0943031210528541
"Gene14","S7",-0.296640199132543
"Gene1","S8",0.769994847115515
"Gene2","S8",-0.362282826216825
"Gene3","S8",0.54741719875202
"Gene4","S8",-0.543736070313729
"Gene5","S8",0.490810705072897
"Gene6","S8",0.459754946725946
"Gene7","S8",0.174332501265886
