"time","group","survival"
0,"Low risk",0.989519631359743
3,"Low risk",0.959268801612404
6,"Low risk",0.910944221600728
9,"Low risk",0.868031317497788
12,"Low risk",0.832221653416353
15,"Low risk",0.763698234009904
18,"Low risk",0.747552977282507
21,"Low risk",0.685872555477394
24,"Low risk",0.655193461988224
27,"Low risk",0.620803570429161
30,"Low risk",0.59924899000855
33,"Low risk",0.576148200662973
36,"Low risk",0.541582059348703
0,"High risk",0.99951743382975
3,"High risk",0.896427366648252
6,"High risk",0.828020384161366
9,"High risk",0.763321201123402
12,"High risk",0.700459744224685
15,"High risk",0.648091429341429
18,"High risk",0.609569906866851
21,"High risk",0.534732164641867
24,"High risk",0.47341221732842
27,"High risk",0.441714956110476
30,"High risk",0.431356046909619
33,"High risk",0.384926762427729
36,"High risk",0.334965555495357
