"id","title"
"boxplot","Boxplot"
"violin","Violin plot"
"barplot","Grouped barplot"
"scatter","Scatter plot"
"line","Line trend"
"histogram","Histogram"
"density","Density plot"
"correlation_heatmap","Correlation heatmap"
"volcano","Volcano plot"
"ma_plot","MA plot"
"heatmap","Expression heatmap"
"gsea_curve","GSEA curve"
"ora_barplot","ORA barplot"
"enrichment_dotplot","Enrichment dotplot"
"ridgeplot_enrichment","Enrichment ridgeplot"
"umap","UMAP atlas"
"tsne","t-SNE atlas"
"marker_dotplot","Marker dotplot"
"feature_plot","Feature plot"
"violin_by_cluster","Violin by cluster"
"cell_type_proportion","Cell type proportion"
"pseudotime","Pseudotime map"
"trajectory","Trajectory graph"
"rna_velocity","RNA velocity field"
"cell_cell_communication_bubble","Cell-cell communication bubble"
"ligand_receptor_network","Ligand-receptor network"
"spatial_feature_plot","Spatial feature plot"
"spatial_cluster_map","Spatial cluster map"
"spatial_neighborhood_graph","Spatial neighborhood graph"
"spatial_ligand_receptor_map","Spatial ligand-receptor map"
"tissue_region_composition","Tissue region composition"
"circos","Circos-style relation map"
"chord_diagram","Chord diagram"
"sankey","Sankey flow"
"alluvial","Alluvial flow"
"network_graph","Network graph"
"pathway_network","Pathway network"
"multi_omics_heatmap","Multi-omics heatmap"
"upset_plot","UpSet plot"
"kaplan_meier","Kaplan-Meier curve"
"forest_plot","Forest plot"
"nomogram","Nomogram-style scorecard"
"calibration_curve","Calibration curve"
"roc","ROC curve"
"pr_curve","Precision-recall curve"
"decision_curve","Decision curve"
"subgroup_forest","Subgroup forest plot"
"consort_flow","CONSORT flow"
"prisma_flow","PRISMA flow"
"tile_grid","WSI tile grid"
"wsi_tissue_mask","WSI tissue mask"
"attention_heatmap","Attention heatmap"
"patch_embedding_umap","Patch embedding UMAP"
"prototype_atlas","Prototype atlas"
"spatial_ecology_map","Spatial ecology map"
"confusion_matrix","Confusion matrix"
"class_activation_map","Class activation map"
"gantt","Gantt chart"
"technology_roadmap","Technology roadmap"
"logic_framework","Logic framework"
"budget_sankey","Budget Sankey"
"evaluation_radar","Evaluation radar"
"workflow_diagram","Workflow diagram"
"architecture_diagram","Architecture diagram"
