"gene","sample","value"
"Gene1","S1",-1.80713758983096
"Gene2","S1",-1.4704636742346
"Gene3","S1",-3.07050892677735
"Gene4","S1",-1.91673208893455
"Gene5","S1",-1.51956351224426
"Gene6","S1",-1.42274820440595
"Gene7","S1",-1.60485896896044
"Gene8","S1",-1.34103517136009
"Gene9","S1",-1.39339599148261
"Gene10","S1",-2.03054204577777
"Gene11","S1",-0.841396335953117
"Gene12","S1",-1.54098622287425
"Gene13","S1",-1.57281524846307
"Gene14","S1",-2.14617305198902
"Gene1","S2",-0.960782999514928
"Gene2","S2",-1.9888595059804
"Gene3","S2",-1.42501567179409
"Gene4","S2",-1.79723031471533
"Gene5","S2",-1.47059418016672
"Gene6","S2",-1.69481551593199
"Gene7","S2",-0.868324864110712
"Gene8","S2",-0.819466773831364
"Gene9","S2",-1.77329678286075
"Gene10","S2",-1.83097047449035
"Gene11","S2",-1.15303488123839
"Gene12","S2",-1.39742444210017
"Gene13","S2",-0.239715118936718
"Gene14","S2",-1.59368712288053
"Gene1","S3",-0.617915051190467
"Gene2","S3",-0.50249444914364
"Gene3","S3",-2.09799213772247
"Gene4","S3",-0.255165578245133
"Gene5","S3",-1.18900165386405
"Gene6","S3",-1.10144859173471
"Gene7","S3",-1.02856656966126
"Gene8","S3",-1.42809037941451
"Gene9","S3",-0.291313672322451
"Gene10","S3",-0.134377757926012
"Gene11","S3",-0.567669587804745
"Gene12","S3",-0.680225878473087
"Gene13","S3",-0.807252744729421
"Gene14","S3",-1.01511456108061
"Gene1","S4",-1.24889374459948
"Gene2","S4",-0.829939065046442
"Gene3","S4",-1.87545156514349
"Gene4","S4",-0.709246062346412
"Gene5","S4",0.00669346067714571
"Gene6","S4",-0.648137732692814
"Gene7","S4",-0.347978200130631
"Gene8","S4",-1.43882235293583
"Gene9","S4",-0.503323290998982
"Gene10","S4",0.0462853298192767
"Gene11","S4",-1.06113454970506
"Gene12","S4",-0.017881521181735
"Gene13","S4",-0.34887901135316
"Gene14","S4",-1.23871625901943
"Gene1","S5",-0.658331461687831
"Gene2","S5",0.0978809273096507
"Gene3","S5",-0.688775071935214
"Gene4","S5",-0.458792371109236
"Gene5","S5",-0.242264208180836
"Gene6","S5",-0.838011233827775
"Gene7","S5",-1.17878449337154
"Gene8","S5",-1.09296955306733
"Gene9","S5",-0.0625958080771228
"Gene10","S5",0.257522042105289
"Gene11","S5",0.152947335341607
"Gene12","S5",-0.361514854315735
"Gene13","S5",-0.816828922850966
"Gene14","S5",-0.185488886702328
"Gene1","S6",0.488166280955719
"Gene2","S6",-0.559201412963556
"Gene3","S6",-0.678506886642162
"Gene4","S6",-1.3361151482385
"Gene5","S6",-0.705225866386339
"Gene6","S6",0.110246790685291
"Gene7","S6",-0.13652577578008
"Gene8","S6",-0.596125599811114
"Gene9","S6",-0.0749646010343631
"Gene10","S6",0.873863636814251
"Gene11","S6",-1.13685268915113
"Gene12","S6",0.139958610932299
"Gene13","S6",0.370702248827863
"Gene14","S6",-0.277812719219909
"Gene1","S7",1.31297000296693
"Gene2","S7",0.619064957184241
"Gene3","S7",-0.430288450600923
"Gene4","S7",0.762714984583228
"Gene5","S7",0.136308673466806
"Gene6","S7",0.452256164456687
"Gene7","S7",0.600202795533563
"Gene8","S7",0.208218579658034
"Gene9","S7",-0.353748040083892
"Gene10","S7",0.777619485332077
"Gene11","S7",-0.317627269465637
"Gene12","S7",-0.195196609741784
"Gene13","S7",-0.0279149324943345
"Gene14","S7",-0.117280528356779
"Gene1","S8",-0.123898416770143
"Gene2","S8",0.052181785781551
"Gene3","S8",1.78156214429943
"Gene4","S8",0.471251499886975
"Gene5","S8",0.490751497437705
"Gene6","S8",0.185359189811503
"Gene7","S8",0.637003574898031
"Gene8","S8",-0.0561857711649761
"Gene9","S8",0.603382182531861
"Gene10","S8",0.179532786717288
"Gene11","S8",-0.231432877426489
"Gene12","S8",-0.337472775495083
"Gene13","S8",0.387433880887259
"Gene14","S8",1.13747301677214
"Gene1","S9",0.44195807076709
"Gene2","S9",1.02579435489819
"Gene3","S9",1.07007881319242
"Gene4","S9",0.769390016294325
"Gene5","S9",0.0674179120288688
"Gene6","S9",1.08559507304731
"Gene7","S9",-0.0388452693640782
"Gene8","S9",0.641345848921885
"Gene9","S9",0.573790418879719
"Gene10","S9",2.01951367983014
