"term","ratio","count","fdr","score"
"Pathway A",0.218863446121104,15,0.07422550357203,0.0208426469279505
"Pathway B",0.39537864159327,36,0.0522088501657126,-0.228120398119902
"Pathway C",0.227358376290649,60,0.0472972911982797,-0.520933995945388
"Pathway D",0.127591170663945,14,0.0436247522194171,-0.349327590280238
"Pathway E",0.214930254137144,29,0.0370676523876609,-0.834224893435724
"Pathway F",0.0974943049624562,54,0.0326614661446074,-0.922083004487003
"Pathway G",0.107732665971853,35,0.0319827450434677,-0.615902200114539
"Pathway H",0.396041298564523,57,0.0311608238425106,-0.374785832030083
"Pathway I",0.0901787039730698,43,0.0260825742991874,-0.361750124137944
"Pathway J",0.13864928915631,12,0.0241320635227021,-0.455318611254423
