"cluster","cx","cy","x","y","expr"
"Cluster 1",-3,1.8,-3.42406203745613,0.93658876158257,0
"Cluster 1",-3,1.8,-2.88684876817609,2.22221150872909,0.362237289564488
"Cluster 1",-3,1.8,-2.63878948972488,1.58859338377298,1.30025495810194
"Cluster 1",-3,1.8,-3.21488647511632,2.24225231169932,0.821243806650649
"Cluster 1",-3,1.8,-3.41203647321911,2.31694055401441,0
"Cluster 1",-3,1.8,-2.41421356922748,1.36193822734085,0.715349124787327
"Cluster 1",-3,1.8,-2.4906000225946,2.23377768645325,0
"Cluster 1",-3,1.8,-3.08576521053281,1.24209710147797,1.10161564095689
"Cluster 1",-3,1.8,-2.92905501183154,1.8184157748224,1.54721663698428
"Cluster 1",-3,1.8,-2.98428942638916,1.78729088956841,1.92907708186635
"Cluster 1",-3,1.8,-2.06989396458922,1.9375890501545,0
"Cluster 1",-3,1.8,-2.59388627367867,1.89259156755444,1.11968805551437
"Cluster 1",-3,1.8,-1.6710421309773,1.90896076303385,1.64810631860573
"Cluster 1",-3,1.8,-3.05416171912305,1.73479511810495,0.280465069985717
"Cluster 1",-3,1.8,-3.29293300309002,2.52851968965377,1.07098908647296
"Cluster 1",-3,1.8,-2.74308418568176,2.42560973356858,0.831134482260992
"Cluster 1",-3,1.8,-3.34273431470033,1.32229772185321,0
"Cluster 1",-3,1.8,-3.19324517896107,1.60719054338191,0
"Cluster 1",-3,1.8,-2.99202326396905,1.29032001741643,1.11784151222067
"Cluster 1",-3,1.8,-3.052777930197,2.09893230114353,0.0920143868878865
"Cluster 1",-3,1.8,-2.70410768275447,2.20645533923649,1.90913289185932
"Cluster 1",-3,1.8,-3.27088047264607,1.75853246042314,2.00279139958456
"Cluster 1",-3,1.8,-3.61683905096676,1.80068611585462,1.17453698164687
"Cluster 1",-3,1.8,-3.38882216828298,1.80362041285365,2.14917496506248
"Cluster 1",-3,1.8,-3.42707785689429,1.58311032704225,1.70137745611093
"Cluster 1",-3,1.8,-3.15798204896399,1.55904650862874,1.1565966116641
"Cluster 1",-3,1.8,-3.34567386716263,2.05891729766232,1.04380698449478
"Cluster 1",-3,1.8,-4.34853473048805,1.88360261590153,0.987304859307164
"Cluster 1",-3,1.8,-3.10994707707428,2.25446250955657,0.206850105320718
"Cluster 1",-3,1.8,-2.91998778804891,1.80741484012936,0.353814798227142
"Cluster 1",-3,1.8,-3.89938318037131,2.15555589267622,1.58747598669138
"Cluster 1",-3,1.8,-3.46441141215609,1.79064256774088,2.04910781087542
"Cluster 1",-3,1.8,-3.08216880348461,1.11059675369761,0
"Cluster 1",-3,1.8,-3.10233619798,1.71540242118169,0.749001729689838
"Cluster 1",-3,1.8,-3.1668140504033,2.12697380644247,0.0384929134652685
"Cluster 1",-3,1.8,-3.4225295460573,1.46654121022371,0.917940212419195
"Cluster 1",-3,1.8,-3.18041357836611,1.51292470854255,0.174886371661034
"Cluster 1",-3,1.8,-3.05757049934413,2.13325086993672,2.11039851420397
"Cluster 1",-3,1.8,-2.35475434048867,2.6294889625141,0
"Cluster 1",-3,1.8,-3.06956161976406,1.91396077220486,0.613251080379759
"Cluster 1",-3,1.8,-3.32120665349366,1.76090487665099,0.24718948127159
"Cluster 1",-3,1.8,-3.26077166933889,2.10458456254353,0
"Cluster 1",-3,1.8,-2.75950749636529,2.18006616537796,2.43746703536726
"Cluster 1",-3,1.8,-3.46806886878448,2.15445891210798,0
"Cluster 1",-3,1.8,-2.17635169880403,1.91122794295157,0.620695203593709
"Cluster 1",-3,1.8,-2.19412697285417,2.07868904110843,0
"Cluster 1",-3,1.8,-2.60618364146543,1.71156233471016,0.203064080397282
"Cluster 1",-3,1.8,-2.54493199042621,2.20957876246704,0.565018676221832
"Cluster 1",-3,1.8,-2.72371977655454,2.23472663334831,0.247974838671524
"Cluster 1",-3,1.8,-3.4305358560781,1.44742245371773,0.695413741122099
"Cluster 1",-3,1.8,-2.40246386369554,1.99857529153739,1.14461683483765
"Cluster 1",-3,1.8,-3.47261997841629,1.51124250828108,1.48853843696762
