"from","to","weight","x","y","xend","yend"
"N10","N4",1.78796916413121,0.809016994374947,-0.587785252292473,-0.309016994374947,0.951056516295154
"N8","N7",1.60772798601538,-0.309016994374948,-0.951056516295154,-0.809016994374948,-0.587785252292473
"N2","N8",1.62448929371312,0.809016994374947,0.587785252292473,-0.309016994374948,-0.951056516295154
"N1","N4",1.71296797627583,1,0,-0.309016994374947,0.951056516295154
"N4","N9",1.85179341896437,-0.309016994374947,0.951056516295154,0.309016994374947,-0.951056516295154
"N3","N2",1.63331979718059,0.309016994374947,0.951056516295154,0.809016994374947,0.587785252292473
"N3","N2",0.656116654444486,0.309016994374947,0.951056516295154,0.809016994374947,0.587785252292473
"N7","N1",1.42586598293856,-0.809016994374948,-0.587785252292473,1,0
"N1","N8",1.16341283791699,1,0,-0.309016994374948,-0.951056516295154
"N7","N9",0.918144366331399,-0.809016994374948,-0.587785252292473,0.309016994374947,-0.951056516295154
"N2","N5",1.93521536472253,0.809016994374947,0.587785252292473,-0.809016994374947,0.587785252292473
"N7","N3",0.297871392965317,-0.809016994374948,-0.587785252292473,0.309016994374947,0.951056516295154
"N7","N3",0.729032898368314,-0.809016994374948,-0.587785252292473,0.309016994374947,0.951056516295154
"N6","N4",1.21426126081496,-1,1.22460635382238e-16,-0.309016994374947,0.951056516295154
"N5","N10",1.50040149320848,-0.809016994374947,0.587785252292473,0.809016994374947,-0.587785252292473
"N4","N8",1.53539372654632,-0.309016994374947,0.951056516295154,-0.309016994374948,-0.951056516295154
"N4","N9",1.92464637910016,-0.309016994374947,0.951056516295154,0.309016994374947,-0.951056516295154
"N10","N1",1.76360053499229,0.809016994374947,-0.587785252292473,1,0
