"cluster","cx","cy","x","y","expr","pseudotime"
"Cluster 1",-3,1.8,-3.11512801260128,1.846690109047,0,0.266800431614024
"Cluster 1",-3,1.8,-3.26646172211266,2.01146117261056,2.35868736415587,0.328398114959161
"Cluster 1",-3,1.8,-2.29519245181881,2.46800117247701,1.55659195631219,0.512919315941257
"Cluster 1",-3,1.8,-3.30284217686396,1.60264343469949,1.07667356694599,0.262466473487699
"Cluster 1",-3,1.8,-3.02413855226296,1.87428035695463,3.14677217604065,0.332405454271032
"Cluster 1",-3,1.8,-3.5857236988332,0.872425938869254,1.73514769158713,0.19196217591349
"Cluster 1",-3,1.8,-2.88784583024882,1.61722751332343,0.550674093052479,0.339873492744729
"Cluster 1",-3,1.8,-2.86530014457069,1.12659137936332,0,0.326722544620368
"Cluster 1",-3,1.8,-2.73745064856519,1.73880948877498,1.90106001623915,0.326475469002036
"Cluster 1",-3,1.8,-2.78262566999554,1.38292657412142,1.38442084117213,0.288543426713448
"Cluster 1",-3,1.8,-2.92388547885822,1.53006890183643,1.48932373444843,0.30262045776093
"Cluster 1",-3,1.8,-3.05420086149596,1.94439898840429,1.11111595988509,0.315170000974087
"Cluster 1",-3,1.8,-3.16774971640919,1.77733518583162,1.38946393842666,0.355434226886425
"Cluster 1",-3,1.8,-2.69888393434613,1.41060537818644,0.425843168107107,0.38343067573385
"Cluster 1",-3,1.8,-2.59302425518089,2.81394948092622,3.70792326787669,0.419339072185351
"Cluster 1",-3,1.8,-2.85791365705382,1.24202106148744,0.178483077633597,0.333716586327415
"Cluster 1",-3,1.8,-2.65747048337229,1.61172872885471,0,0.269682411849482
"Cluster 1",-3,1.8,-2.88700759016233,1.58539538625323,1.43800899978605,0.32127240554099
"Cluster 1",-3,1.8,-2.3883304066154,1.16527698480886,2.52707605752037,0.26933769933571
"Cluster 1",-3,1.8,-2.74641190217163,1.81043341128497,0.686581582763257,0.391897923073946
"Cluster 1",-3,1.8,-3.11177816604115,2.24638604705499,0,0.387826914630254
