"term","value"
"Pathway A",-1.50123915285899
"Pathway A",-1.6351770384067
"Pathway A",-1.35600008499587
"Pathway A",-1.11628136135345
"Pathway A",-1.77348791385493
"Pathway A",-1.4923217495313
"Pathway A",-1.59080311000912
"Pathway A",-2.07482898769885
"Pathway A",-1.44458932183342
"Pathway A",-1.5361037982136
"Pathway A",-1.01549383641283
"Pathway A",-0.948601032561447
"Pathway A",-0.965882261834281
"Pathway A",-1.19744837927012
"Pathway A",-1.23473599049371
"Pathway A",-1.61286227574215
"Pathway A",-1.66848752542918
"Pathway A",-1.01115636765743
"Pathway A",-2.09204696182258
"Pathway A",-1.3486506016332
"Pathway A",-2.1747516626378
"Pathway A",-1.85205607180635
"Pathway A",-1.37640875351061
"Pathway A",-1.84071515553146
"Pathway A",-1.24773864794982
"Pathway A",-1.44217108191421
"Pathway A",-1.55220356275869
"Pathway A",-1.0792757391813
"Pathway A",-1.41128026808179
"Pathway A",-1.14628074902814
"Pathway A",-1.76598276225523
"Pathway A",-1.22327611087388
"Pathway A",-1.28333652121527
"Pathway A",-1.04404915226499
"Pathway A",-1.27776202235041
"Pathway A",-1.51857873438321
"Pathway A",-1.21540005216056
"Pathway A",-1.53806937657591
"Pathway A",-1.27554632000815
"Pathway A",-1.98607197091401
"Pathway A",-1.50172661493755
"Pathway A",-1.84856683778799
"Pathway A",-1.58170105372757
"Pathway A",-1.46528695151822
"Pathway A",-1.277367185344
"Pathway A",-1.39986411926333
"Pathway A",-1.60206737105471
"Pathway A",-1.59266584428196
"Pathway A",-1.51273063562886
"Pathway A",-1.32182368223866
"Pathway A",-1.98865268913574
"Pathway A",-2.02803813334428
"Pathway A",-0.97590858700572
"Pathway A",-0.94795435781681
"Pathway A",-1.53157743877908
"Pathway A",-1.21251387053869
"Pathway A",-0.679836349581029
"Pathway A",-1.26622481162673
"Pathway A",-1.33783569770171
"Pathway A",-1.59219929055628
"Pathway A",-1.36109587567824
"Pathway A",-1.66196446065911
"Pathway A",-1.85177454549544
"Pathway A",-1.9796724180764
"Pathway A",-2.00504982166148
"Pathway A",-1.7995909893215
"Pathway A",-1.69566000632699
"Pathway A",-1.92465393740276
"Pathway A",-2.12821105941833
"Pathway A",-1.77788319518764
"Pathway B",-0.374654982327
"Pathway B",-0.532419066686111
"Pathway B",-1.17543132570071
"Pathway B",-1.03818593570579
"Pathway B",-1.76890003733208
"Pathway B",-0.81460166555687
"Pathway B",-1.38587861221314
"Pathway B",-0.8060752602372
"Pathway B",-0.320092180981387
"Pathway B",-0.939855787542053
"Pathway B",-0.907429285709638
"Pathway B",-0.680772054992845
"Pathway B",-1.02829811100974
"Pathway B",-0.94044998922963
"Pathway B",-0.717449114524876
"Pathway B",-0.689542101919545
"Pathway B",-0.850408751909362
"Pathway B",-0.747544580969532
"Pathway B",-0.846826956469716
"Pathway B",-0.647460838146855
"Pathway B",-0.402240004890919
"Pathway B",-0.627840082602978
"Pathway B",-1.30173909463946
"Pathway B",-0.122112049486089
"Pathway B",-0.560567257344059
"Pathway B",-1.05742312696925
"Pathway B",-0.436269565169678
"Pathway B",-0.984264125079718
"Pathway B",-1.40925007940745
"Pathway B",-0.864961674792164
"Pathway B",-0.864100116156284
"Pathway B",-0.501468894988235
"Pathway B",-1.4720830549695
"Pathway B",-0.885511244173995
"Pathway B",-0.211672790528902
"Pathway B",-0.753289456035137
"Pathway B",-1.36030057303176
"Pathway B",-0.909717990989768
"Pathway B",-0.631565059493106
"Pathway B",-0.415336339045924
"Pathway B",-0.972271076654247
