"cluster","cx","cy","x","y","expr"
"Cluster 1",-3,1.8,-1.96754132518449,1.51404861837044,0.0812143669723344
"Cluster 1",-3,1.8,-3.66916787351174,1.85022185880868,1.25104712354023
"Cluster 1",-3,1.8,-2.35999013107028,1.57765959714679,0.848136169469766
"Cluster 1",-3,1.8,-3.27212881843188,1.59467689258125,0.985379749302677
"Cluster 1",-3,1.8,-3.30269118003123,1.5387900817721,0.220689545655506
"Cluster 1",-3,1.8,-3.01143173967104,1.97885068222943,1.13867129954089
"Cluster 1",-3,1.8,-2.63100840861464,2.35796790395251,2.0203046090288
"Cluster 1",-3,1.8,-2.75806888450112,1.85083679496085,0.32491599753296
"Cluster 1",-3,1.8,-2.88649398500234,1.28675371608635,1.07623754905742
"Cluster 1",-3,1.8,-2.57020896384523,3.08207404506485,2.02799567563209
"Cluster 1",-3,1.8,-2.49481234121991,1.28883929204578,0
"Cluster 1",-3,1.8,-2.39020084200722,1.31557500633393,0
"Cluster 1",-3,1.8,-2.74839656613981,1.75335369374065,1.54445810456282
"Cluster 1",-3,1.8,-3.06480175114766,1.93782363059645,0
"Cluster 1",-3,1.8,-3.85357060515081,1.52709618632389,0
"Cluster 1",-3,1.8,-2.95268110510666,1.40936526854851,0
"Cluster 1",-3,1.8,-2.45290242150438,1.58607826288103,0
"Cluster 1",-3,1.8,-2.78468712006945,1.71642607422813,0
"Cluster 1",-3,1.8,-2.78315933106167,1.95210403286419,0.0979771927098898
"Cluster 1",-3,1.8,-2.93241624827302,1.69621295876729,0
"Cluster 1",-3,1.8,-2.30901997544296,1.14378592475417,0
"Cluster 1",-3,1.8,-2.95966929535376,1.47726789488899,0.847263352562171
"Cluster 1",-3,1.8,-2.96821271172734,1.85185359656575,1.29425384665535
"Cluster 1",-3,1.8,-2.38370421450322,1.72807072090415,0.872602391047565
"Cluster 1",-3,1.8,-2.13377995963699,2.02036579346417,0
"Cluster 1",-3,1.8,-3.10224200884178,1.27849476191654,0
"Cluster 1",-3,1.8,-3.92382630630316,2.33728148308578,0.53718458198864
"Cluster 1",-3,1.8,-3.79211425394932,1.42552559071756,1.0861687294931
"Cluster 1",-3,1.8,-3.44739112501907,1.86792285911032,0.604070633502274
"Cluster 1",-3,1.8,-3.85996209397311,1.76465227113922,1.25541319698778
"Cluster 1",-3,1.8,-2.9749468276248,1.746011415599,0
"Cluster 1",-3,1.8,-3.26980364885192,1.60642029499269,2.24634960275737
"Cluster 1",-3,1.8,-2.98501591388753,1.01247952535055,1.85823834391786
"Cluster 1",-3,1.8,-2.53859303311947,1.58610424107195,1.03778779674569
"Cluster 1",-3,1.8,-2.63829144852984,1.97943807052211,0.834925225778926
"Cluster 1",-3,1.8,-3.17273577844646,1.39150077089199,0.901562194438403
"Cluster 1",-3,1.8,-2.44694224676127,2.66061468288943,0.720150413328844
"Cluster 1",-3,1.8,-2.10559025057189,1.18691618133174,0.540716973266452
"Cluster 1",-3,1.8,-3.15551273312872,1.69366864650868,0.769292297145456
"Cluster 1",-3,1.8,-3.35493336254757,1.5299870991964,0.423159431198827
"Cluster 1",-3,1.8,-1.64758438900893,1.05753541618936,1.04906173977047
"Cluster 1",-3,1.8,-3.26547329780051,1.7791468145978,0
"Cluster 1",-3,1.8,-3.0159954706011,1.77364989466276,1.32583073958516
"Cluster 1",-3,1.8,-2.31805822858359,2.47188989354767,0.43723951695668
"Cluster 1",-3,1.8,-3.8213438558352,2.19699566360421,0.709517955389727
"Cluster 1",-3,1.8,-2.81040098869689,1.63043143435937,2.66736452799845
"Cluster 1",-3,1.8,-2.9877496185441,1.84958485920403,1.00262823879115
"Cluster 1",-3,1.8,-3.25753549408481,1.25579666361247,1.60407208494821
"Cluster 1",-3,1.8,-2.3462631099422,2.14553758972484,0.397020911631717
"Cluster 1",-3,1.8,-2.3942383902233,1.25901437813107,0.182126261432449
"Cluster 1",-3,1.8,-3.28045077861159,2.29696346235087,0.798088136157412
"Cluster 1",-3,1.8,-3.11345367400252,1.69311686080334,1.12232265790611
"Cluster 1",-3,1.8,-3.56785597387797,1.59304645846362,0.0862677676848276
"Cluster 1",-3,1.8,-3.34825060945061,1.08416296518426,0.996352330766938
"Cluster 1",-3,1.8,-2.87603620994111,1.63663890781162,1.35369162593409
"Cluster 1",-3,1.8,-2.94397353851371,2.25389615935449,1.3323683317691
"Cluster 1",-3,1.8,-3.4007673009071,1.90387082841114,0.558008751896317
"Cluster 1",-3,1.8,-3.37412036116543,1.5327343868427,1.83092196244858
"Cluster 1",-3,1.8,-3.07788262644699,1.6419996805219,1.52018266676371
"Cluster 1",-3,1.8,-3.25978771548841,1.59372443799193,0
"Cluster 1",-3,1.8,-3.25607710646402,1.64378447791545,1.41543157787652
"Cluster 1",-3,1.8,-2.43328895666721,2.44861857184322,0.517745121404979
"Cluster 1",-3,1.8,-3.24365202869792,2.06250402929166,1.53126597215431
