"x","y","value","class"
1,1,1.3743617898282,"Immune"
2,1,1.77168116863261,"Immune"
3,1,1.41202577240907,"Stroma"
4,1,2.12847263706005,"Stroma"
5,1,1.86957598040663,"Tumor"
6,1,1.01904084991409,"Tumor"
7,1,0.369630029624949,"Blank"
8,1,-0.188318438098003,"Tumor"
9,1,-0.0638455515192843,"Blank"
10,1,-0.10098722885523,"Immune"
11,1,-0.115468515978078,"Stroma"
12,1,0.808640406432164,"Blank"
13,1,0.840541758777997,"Tumor"
14,1,1.31773811682866,"Tumor"
15,1,1.67914991515246,"Blank"
16,1,1.83326959385349,"Stroma"
17,1,1.63761997282003,"Stroma"
18,1,1.06802609170473,"Stroma"
1,2,0.776844925089677,"Tumor"
2,2,1.61087350002211,"Tumor"
3,2,1.60504219481637,"Blank"
4,2,1.34312288625026,"Blank"
5,2,1.39353443053309,"Blank"
6,2,0.639625755761429,"Blank"
7,2,0.351021161076386,"Blank"
8,2,-0.0948706127216185,"Stroma"
9,2,-0.417840580390348,"Blank"
10,2,-0.411137415382289,"Tumor"
11,2,-0.134604713459658,"Stroma"
12,2,-0.000299393998288711,"Stroma"
13,2,0.806160892181934,"Immune"
14,2,1.27731525137517,"Immune"
15,2,1.23947384275689,"Blank"
16,2,1.66515317214544,"Tumor"
17,2,1.12610068347465,"Stroma"
18,2,1.00023968044732,"Immune"
1,3,0.942741852765192,"Stroma"
2,3,0.746087800334928,"Stroma"
3,3,1.29783427327801,"Blank"
4,3,0.870658945044207,"Tumor"
5,3,0.562886381867463,"Immune"
6,3,0.140324300616473,"Blank"
7,3,0.186398092602875,"Tumor"
8,3,-0.577974481379879,"Stroma"
9,3,-0.879364033804743,"Tumor"
10,3,-0.812503901232693,"Stroma"
11,3,-0.675193241072101,"Immune"
12,3,0.215285784194953,"Stroma"
13,3,0.0564025766568395,"Immune"
14,3,0.680437205099664,"Tumor"
15,3,0.88315231312587,"Stroma"
16,3,0.894314561000144,"Stroma"
17,3,0.86290832244433,"Tumor"
18,3,0.475731581348542,"Immune"
1,4,-0.0472178149366765,"Blank"
2,4,0.518460687429417,"Blank"
3,4,0.656700007586216,"Tumor"
4,4,0.429608687208694,"Stroma"
5,4,0.279823458956694,"Stroma"
6,4,-0.415786440060429,"Immune"
7,4,-0.968061188008545,"Stroma"
8,4,-0.83327273461833,"Stroma"
9,4,-1.03246484581353,"Tumor"
10,4,-1.4125998267726,"Stroma"
11,4,-1.31248391805896,"Immune"
12,4,-0.563506092376112,"Stroma"
13,4,-0.221339247479691,"Tumor"
14,4,0.248524391291905,"Blank"
15,4,0.907769984788645,"Stroma"
16,4,0.599473889977735,"Blank"
17,4,0.583130140025516,"Immune"
18,4,-0.199057673528497,"Stroma"
1,5,-0.521630675541946,"Immune"
2,5,0.0279953126721759,"Tumor"
3,5,0.152368048525475,"Immune"
4,5,0.152499706631035,"Stroma"
5,5,0.121190811641588,"Immune"
6,5,-0.762670859114958,"Blank"
7,5,-1.37216934795476,"Immune"
8,5,-1.19065560842372,"Stroma"
9,5,-1.74893468521507,"Blank"
10,5,-1.62957853893694,"Immune"
11,5,-1.75769932905189,"Tumor"
12,5,-0.753085814135935,"Immune"
13,5,-0.569262792895769,"Immune"
14,5,-0.391818681726742,"Stroma"
15,5,0.141041342283061,"Stroma"
16,5,0.323857457857367,"Tumor"
17,5,0.203680985892705,"Tumor"
18,5,-0.163536609680943,"Stroma"
1,6,-0.629746939733805,"Tumor"
2,6,-0.0870257657891416,"Stroma"
3,6,0.368260325730696,"Immune"
4,6,-0.17886671852243,"Immune"
5,6,-0.200946646252003,"Immune"
6,6,-0.812071946477657,"Blank"
7,6,-1.17804669554383,"Blank"
8,6,-1.95642258770084,"Stroma"
9,6,-1.97860058393214,"Tumor"
10,6,-1.70206437453048,"Tumor"
11,6,-1.71060299997324,"Immune"
12,6,-0.964359619796503,"Tumor"
13,6,-0.677543732558956,"Blank"
14,6,-0.126263172882973,"Tumor"
15,6,0.181541327077652,"Immune"
16,6,-0.291407622368104,"Immune"
17,6,-0.269375974980224,"Blank"
18,6,-0.614099454928246,"Blank"
1,7,-0.226564360529468,"Stroma"
2,7,0.167834615111816,"Tumor"
3,7,0.180923547849695,"Blank"
4,7,-0.228680134033663,"Blank"
5,7,-0.702436365489625,"Immune"
6,7,-0.703265112104325,"Tumor"
7,7,-0.98806126406262,"Immune"
8,7,-1.60267937202666,"Blank"
9,7,-1.98854553453079,"Tumor"
10,7,-2.17657289270897,"Immune"
11,7,-1.70592383570829,"Immune"
12,7,-1.21700683867895,"Stroma"
13,7,-0.867343903763894,"Tumor"
14,7,-0.171182063658216,"Blank"
15,7,0.24612696786899,"Blank"
16,7,0.1699271080371,"Immune"
17,7,-0.131078176416675,"Stroma"
18,7,-0.645723844753716,"Blank"
1,8,0.239022704712871,"Blank"
2,8,0.272634506977378,"Tumor"
3,8,0.417743067296342,"Blank"
4,8,0.175231525287446,"Blank"
5,8,0.297363193680638,"Immune"
6,8,-0.328586124746948,"Blank"
7,8,-0.964691489818481,"Blank"
8,8,-1.68778205886103,"Stroma"
9,8,-1.65147463304559,"Immune"
10,8,-1.44664527870693,"Tumor"
11,8,-1.66982760733376,"Tumor"
12,8,-0.915619341228355,"Tumor"
13,8,-0.211712804743871,"Tumor"
14,8,0.0446064410039557,"Immune"
15,8,0.19611652585276,"Immune"
16,8,0.31979155398403,"Tumor"
17,8,0.26297151202809,"Immune"
18,8,-0.136705164442152,"Tumor"
1,9,0.132630970340411,"Stroma"
2,9,0.644128120254624,"Blank"
3,9,0.625138064620808,"Blank"
4,9,0.643910664526338,"Blank"
5,9,0.425265964669914,"Immune"
6,9,-0.119846420687355,"Immune"
7,9,-0.432600958659975,"Blank"
8,9,-1.07086907173067,"Blank"
9,9,-1.09983285997829,"Immune"
10,9,-1.03532568140892,"Immune"
11,9,-0.491815063881616,"Blank"
12,9,-0.502018658679862,"Stroma"
13,9,-0.18303402454059,"Blank"
14,9,0.59421883206103,"Blank"
15,9,0.558656329492551,"Immune"
16,9,0.875111449785398,"Blank"
17,9,0.661447991769028,"Immune"
18,9,0.249821363129998,"Tumor"
1,10,0.668931310244687,"Stroma"
2,10,1.41902744648181,"Tumor"
3,10,1.64128836293868,"Blank"
4,10,0.933553277072972,"Blank"
5,10,0.855862419826445,"Immune"
6,10,0.554862879361552,"Immune"
7,10,-0.367627019757725,"Stroma"
8,10,-0.411773429319582,"Tumor"
9,10,-0.850937367580574,"Immune"
10,10,-0.627607097582622,"Blank"
11,10,-0.398875122694786,"Immune"
12,10,-0.274193039342105,"Stroma"
13,10,0.367605302656682,"Blank"
14,10,0.809305073860151,"Tumor"
15,10,0.935091304844823,"Stroma"
16,10,1.33013981238709,"Tumor"
17,10,1.12602618181065,"Immune"
18,10,0.752993039054702,"Blank"
1,11,1.00377880314694,"Stroma"
2,11,1.58865936373957,"Immune"
3,11,1.62942595371486,"Immune"
4,11,1.3279902076115,"Immune"
5,11,1.45031502793467,"Blank"
6,11,0.921603970452886,"Blank"
7,11,0.468992802529898,"Tumor"
8,11,-0.0927675647706971,"Tumor"
9,11,-0.401408533518267,"Blank"
10,11,-0.436528666999588,"Immune"
11,11,0.0940415849165271,"Tumor"
12,11,0.480089341093881,"Stroma"
13,11,1.38861481235826,"Stroma"
14,11,1.60513978882747,"Immune"
15,11,1.48717496341156,"Blank"
16,11,1.67036919249748,"Blank"
17,11,1.3227609695102,"Tumor"
18,11,1.20146875116289,"Blank"
1,12,1.62288053658541,"Tumor"
2,12,1.82452708714788,"Stroma"
3,12,1.67063599856912,"Stroma"
4,12,1.99678640126739,"Immune"
5,12,1.7489329789251,"Tumor"
6,12,1.32935490919988,"Blank"
7,12,0.555210852659317,"Blank"
8,12,-0.159189356053288,"Blank"
9,12,0.0347376930538674,"Immune"
10,12,0.104504895439265,"Immune"
11,12,-0.00923326641838029,"Stroma"
12,12,0.618208106200378,"Immune"
13,12,0.982063670979499,"Stroma"
14,12,1.57389344544148,"Immune"
15,12,1.88137457211419,"Immune"
16,12,1.88019632538294,"Tumor"
17,12,1.72696175082211,"Tumor"
18,12,1.52054376631206,"Blank"
